Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,PinnacleHomeOpen,PinnacleDrawOpen,PinnacleAwayOpen,AvgHomeOpen,AvgDrawOpen,AvgAwayOpen,MaxHomeOpen,MaxDrawOpen,MaxAwayOpen,Bet365HomeOpen,Bet365DrawOpen,Bet365AwayOpen,Bet365Over25Open,Bet365Under25Open,PinnacleOver25Open,PinnacleUnder25Open,AvgOver25Open,AvgUnder25Open,PinnacleHomeClose,PinnacleDrawClose,PinnacleAwayClose,AvgHomeClose,AvgDrawClose,AvgAwayClose,MaxHomeClose,MaxDrawClose,MaxAwayClose,Bet365HomeClose,Bet365DrawClose,Bet365AwayClose
1,Sat,2015-05-09,Chapecoense,Coritiba,2-1,,,2.0,1.0,H,,,,,,,,,,,,,,,,2.21,3.24,3.77,2.12,3.15,3.5,2.32,3.3,3.8,,,,,,,,,,,,,,,,,,,,,
1,Sat,2015-05-09,Palmeiras,Atlético-MG,2-2,,,2.0,2.0,D,,,,,,,,,,,,,,,,1.72,3.72,5.76,1.65,3.52,5.35,1.72,4.1,6.5,,,,,,,,,,,,,,,,,,,,,
1,Sun,2015-05-10,Athletico-PR,Internacional,3-0,,,3.0,0.0,H,,,,,,,,,,,,,,,,2.19,3.31,3.74,2.16,3.18,3.37,2.31,3.36,3.74,,,,,,,,,,,,,,,,,,,,,
1,Sun,2015-05-10,Avaí,Santos,1-1,,,1.0,1.0,D,,,,,,,,,,,,,,,,3.82,3.47,2.11,3.43,3.27,2.09,3.92,3.49,2.22,,,,,,,,,,,,,,,,,,,,,
1,Sun,2015-05-10,Cruzeiro,Corinthians,0-1,,,0.0,1.0,A,,,,,,,,,,,,,,,,2.84,3.24,2.74,2.76,3.09,2.57,2.95,3.3,2.83,,,,,,,,,,,,,,,,,,,,,
1,Sun,2015-05-10,Fluminense,Joinville,1-0,,,1.0,0.0,H,,,,,,,,,,,,,,,,1.62,3.89,6.69,1.57,3.72,5.96,1.67,4.01,6.73,,,,,,,,,,,,,,,,,,,,,
1,Sun,2015-05-10,Grêmio,Ponte Preta,3-3,,,3.0,3.0,D,,,,,,,,,,,,,,,,1.64,3.71,6.64,1.57,3.63,6.16,1.65,4.1,7.1,,,,,,,,,,,,,,,,,,,,,
1,Sun,2015-05-10,Sport Recife,Figueirense,4-1,,,4.0,1.0,H,,,,,,,,,,,,,,,,1.71,3.66,5.91,1.71,3.46,4.97,1.85,3.78,5.91,,,,,,,,,,,,,,,,,,,,,
1,Sun,2015-05-10,São Paulo,Flamengo,2-1,,,2.0,1.0,H,,,,,,,,,,,,,,,,2.23,3.38,3.6,2.12,3.23,3.39,2.25,3.5,3.66,,,,,,,,,,,,,,,,,,,,,
1,Sun,2015-05-10,Vasco da Gama,Goiás,0-0,,,0.0,0.0,D,,,,,,,,,,,,,,,,1.66,3.72,6.46,1.65,3.53,5.44,1.75,3.85,6.46,,,,,,,,,,,,,,,,,,,,,
