Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,Fri,2023-04-14,Guarani SP,Avaí,4-1,1-0
1,Fri,2023-04-14,Ituano SP,Ceará,2-0,1-0
1,Sat,2023-04-15,Vila Nova,Grêmio Novorizontino,2-1,2-0
1,Sat,2023-04-15,Mirassol,Chapecoense,1-0,0-0
1,Sat,2023-04-15,Sampaio Corrêa MA,Atlético-GO,3-3,1-2
1,Sat,2023-04-15,Juventude-RS,Botafogo-SP,1-2,0-1
1,Sun,2023-04-16,Criciúma,Tombense MG,2-0,1-0
1,Sun,2023-04-16,Londrina PR,ABC RN,1-0,0-0
1,Sun,2023-04-16,Vitória,Ponte Preta,3-0,2-0
1,Wed,2023-07-05,CRB,Sport Recife,2-0,1-0
2,Fri,2023-04-21,Atlético-GO,CRB,2-1,2-0
2,Fri,2023-04-21,Botafogo-SP,Sampaio Corrêa MA,1-0,1-0
2,Fri,2023-04-21,Ponte Preta,Criciúma,1-2,1-2
2,Sat,2023-04-22,Tombense MG,Ituano SP,3-0,1-0
2,Sat,2023-04-22,Avaí,Mirassol,1-0,0-0
2,Sat,2023-04-22,Grêmio Novorizontino,Juventude-RS,1-0,1-0
2,Sat,2023-04-22,Ceará,Guarani SP,0-3,0-2
2,Sun,2023-04-23,Chapecoense,Londrina PR,3-0,0-0
2,Sun,2023-04-23,ABC RN,Vitória,0-3,0-0
2,Sun,2023-06-18,Sport Recife,Vila Nova,1-0,1-0
3,Fri,2023-04-28,Criciúma,Avaí,1-0,1-0
3,Fri,2023-04-28,Vitória,Londrina PR,2-0,2-0
3,Fri,2023-04-28,Guarani SP,Ituano SP,1-0,1-0
3,Sat,2023-04-29,Sampaio Corrêa MA,Mirassol,1-3,0-1
3,Sat,2023-04-29,Botafogo-SP,CRB,2-0,1-0
3,Sat,2023-04-29,Chapecoense,Ponte Preta,1-1,0-1
3,Sat,2023-04-29,Tombense MG,Atlético-GO,1-1,0-1
3,Sun,2023-04-30,Grêmio Novorizontino,Sport Recife,0-0,
3,Sun,2023-04-30,ABC RN,Ceará,1-2,1-2
3,Sun,2023-04-30,Vila Nova,Juventude-RS,1-0,1-0
4,Mon,2023-05-01,Londrina PR,Criciúma,1-1,1-1
4,Tue,2023-05-02,CRB,Sampaio Corrêa MA,0-0,
4,Tue,2023-05-02,Ponte Preta,Botafogo-SP,2-0,0-0
4,Tue,2023-05-02,Atlético-GO,Chapecoense,2-1,1-0
4,Wed,2023-05-03,Ituano SP,ABC RN,3-0,2-0
4,Wed,2023-05-03,Juventude-RS,Guarani SP,1-0,1-0
4,Wed,2023-05-03,Mirassol,Grêmio Novorizontino,0-2,0-1
4,Wed,2023-05-03,Avaí,Vila Nova,0-3,0-2
4,Wed,2023-05-10,Ceará,Vitória,0-2,0-0
4,Wed,2023-05-10,Sport Recife,Tombense MG,3-2,2-1
5,Fri,2023-05-05,Botafogo-SP,Vitória,0-3,0-1
5,Sat,2023-05-06,Criciúma,Ituano SP,2-1,0-0
5,Sat,2023-05-06,Mirassol,Vila Nova,1-1,1-1
5,Sat,2023-05-06,Sampaio Corrêa MA,Juventude-RS,2-1,0-1
5,Sat,2023-05-06,Tombense MG,Avaí,0-1,0-1
5,Sat,2023-05-06,Chapecoense,Grêmio Novorizontino,1-1,1-1
5,Sat,2023-05-06,CRB,ABC RN,1-1,0-0
5,Sun,2023-05-07,Ponte Preta,Ceará,0-0,
5,Sun,2023-05-07,Sport Recife,Guarani SP,2-0,2-0
5,Mon,2023-05-08,Atlético-GO,Londrina PR,2-1,1-0
6,Fri,2023-05-12,Vila Nova,Criciúma,0-0,
6,Fri,2023-05-12,Avaí,Chapecoense,1-4,0-1
6,Sat,2023-05-13,Juventude-RS,Mirassol,0-1,0-0
6,Sat,2023-05-13,Guarani SP,Sampaio Corrêa MA,2-0,2-0
6,Sat,2023-05-13,Grêmio Novorizontino,CRB,0-1,0-0
6,Sat,2023-05-13,Ceará,Tombense MG,2-0,1-0
6,Sun,2023-05-14,Londrina PR,Ponte Preta,3-0,0-0
6,Sun,2023-05-14,ABC RN,Botafogo-SP,1-2,1-2
6,Sun,2023-05-14,Vitória,Atlético-GO,2-3,0-2
6,Sun,2023-05-14,Ituano SP,Sport Recife,1-1,1-1
7,Fri,2023-05-19,Mirassol,Vitória,2-0,1-0
7,Fri,2023-05-19,Tombense MG,Londrina PR,0-2,0-0
7,Fri,2023-05-19,Atlético-GO,Avaí,0-0,
7,Sat,2023-05-20,Sport Recife,Botafogo-SP,3-0,1-0
7,Sat,2023-05-20,Ituano SP,Grêmio Novorizontino,0-2,0-0
7,Sat,2023-05-20,Sampaio Corrêa MA,ABC RN,1-0,1-0
7,Sun,2023-05-21,Chapecoense,Juventude-RS,0-2,0-1
7,Sun,2023-05-21,Criciúma,Ceará,1-2,1-2
7,Sun,2023-05-21,Ponte Preta,Guarani SP,1-1,0-0
7,Sun,2023-05-21,CRB,Vila Nova,0-3,0-2
8,Tue,2023-05-23,Botafogo-SP,Mirassol,1-0,0-0
8,Tue,2023-05-23,ABC RN,Tombense MG,1-0,0-0
8,Tue,2023-05-23,Grêmio Novorizontino,Avaí,2-0,0-0
8,Wed,2023-05-24,Juventude-RS,Atlético-GO,3-0,2-0
8,Wed,2023-05-24,Londrina PR,Ceará,1-3,0-3
8,Wed,2023-05-24,Vila Nova,Ituano SP,1-0,1-0
8,Wed,2023-05-24,Vitória,CRB,1-0,0-0
8,Wed,2023-05-24,Guarani SP,Chapecoense,3-3,3-1
8,Wed,2023-05-24,Criciúma,Sport Recife,1-0,1-0
8,Wed,2023-05-24,Sampaio Corrêa MA,Ponte Preta,0-0,
9,Sat,2023-05-27,CRB,Juventude-RS,1-2,0-2
9,Sat,2023-05-27,Ituano SP,Londrina PR,3-1,2-1
9,Sat,2023-05-27,Avaí,Vitória,1-1,0-1
9,Sat,2023-05-27,Atlético-GO,Botafogo-SP,1-1,0-0
9,Sun,2023-05-28,Ponte Preta,Vila Nova,1-0,1-0
9,Sun,2023-05-28,Ceará,Grêmio Novorizontino,0-3,0-1
9,Sun,2023-05-28,Mirassol,Criciúma,1-0,0-0
9,Sun,2023-05-28,Sport Recife,ABC RN,4-1,1-1
9,Sun,2023-05-28,Tombense MG,Guarani SP,1-1,0-1
9,Mon,2023-05-29,Chapecoense,Sampaio Corrêa MA,0-1,0-1
10,Fri,2023-06-02,Botafogo-SP,Tombense MG,0-0,
10,Fri,2023-06-02,Ceará,Chapecoense,2-0,1-0
10,Fri,2023-06-02,Criciúma,Atlético-GO,3-0,0-0
10,Fri,2023-06-02,Vitória,Ituano SP,3-0,2-0
10,Sat,2023-06-03,Juventude-RS,Avaí,3-2,2-1
10,Sat,2023-06-03,ABC RN,Grêmio Novorizontino,0-1,0-0
10,Sat,2023-06-03,Mirassol,Ponte Preta,1-0,0-0
10,Sat,2023-06-03,Vila Nova,Sampaio Corrêa MA,3-0,1-0
10,Sun,2023-06-04,Guarani SP,CRB,0-1,0-1
10,Sun,2023-06-04,Londrina PR,Sport Recife,1-2,1-0
11,Tue,2023-06-06,Chapecoense,Vila Nova,0-1,0-0
11,Tue,2023-06-06,Ponte Preta,ABC RN,0-0,
11,Tue,2023-06-06,Tombense MG,Vitória,1-2,0-1
11,Tue,2023-06-06,Atlético-GO,Ceará,0-3,0-1
11,Tue,2023-06-06,Botafogo-SP,Ituano SP,0-2,0-0
11,Wed,2023-06-07,Grêmio Novorizontino,Guarani SP,1-0,0-0
11,Wed,2023-06-07,Sampaio Corrêa MA,Londrina PR,2-0,1-0
11,Wed,2023-06-07,Sport Recife,Avaí,2-1,1-0
11,Wed,2023-06-07,CRB,Mirassol,2-0,1-0
11,Thu,2023-06-08,Criciúma,Juventude-RS,0-1,0-0
12,Fri,2023-06-09,ABC RN,Chapecoense,1-1,0-0
12,Sat,2023-06-10,Vila Nova,Guarani SP,0-0,
12,Sat,2023-06-10,Ituano SP,Atlético-GO,1-1,0-0
12,Sat,2023-06-10,Grêmio Novorizontino,Sampaio Corrêa MA,1-0,1-0
12,Sat,2023-06-10,Ceará,CRB,1-3,1-1
12,Sun,2023-06-11,Londrina PR,Mirassol,1-2,1-0
12,Sun,2023-06-11,Ponte Preta,Sport Recife,1-1,1-1
12,Sun,2023-06-11,Avaí,Botafogo-SP,1-1,1-0
12,Sun,2023-06-11,Vitória,Criciúma,0-1,0-1
12,Sun,2023-06-11,Juventude-RS,Tombense MG,1-2,0-0
13,Wed,2023-06-21,CRB,Ituano SP,2-2,2-1
13,Thu,2023-06-22,Sport Recife,Juventude-RS,3-0,2-0
13,Fri,2023-06-23,Atlético-GO,Ponte Preta,1-0,1-0
13,Sat,2023-06-24,Botafogo-SP,Vila Nova,0-3,0-2
13,Sat,2023-06-24,Avaí,Londrina PR,0-0,
13,Sat,2023-06-24,Chapecoense,Criciúma,1-1,0-1
13,Sat,2023-06-24,Tombense MG,Grêmio Novorizontino,1-2,0-0
13,Sun,2023-06-25,Mirassol,ABC RN,3-2,1-1
13,Sun,2023-06-25,Sampaio Corrêa MA,Ceará,1-1,1-1
13,Sun,2023-06-25,Guarani SP,Vitória,2-0,1-0
14,Tue,2023-06-27,Chapecoense,Sport Recife,1-1,0-1
14,Tue,2023-06-27,Criciúma,CRB,2-1,2-0
14,Tue,2023-06-27,Grêmio Novorizontino,Botafogo-SP,0-1,0-1
14,Tue,2023-06-27,Vila Nova,Tombense MG,1-0,0-0
14,Wed,2023-06-28,ABC RN,Atlético-GO,1-1,0-0
14,Wed,2023-06-28,Ceará,Avaí,0-0,
14,Wed,2023-06-28,Guarani SP,Mirassol,2-1,1-0
14,Wed,2023-06-28,Ituano SP,Ponte Preta,0-1,0-0
14,Wed,2023-06-28,Londrina PR,Juventude-RS,1-2,1-0
14,Wed,2023-06-28,Vitória,Sampaio Corrêa MA,2-1,0-1
15,Fri,2023-06-30,Tombense MG,Chapecoense,4-2,1-0
15,Sat,2023-07-01,Atlético-GO,Vila Nova,1-1,0-0
15,Sat,2023-07-01,Avaí,ABC RN,0-2,0-1
15,Sat,2023-07-01,Sampaio Corrêa MA,Criciúma,0-2,0-1
15,Sat,2023-07-01,CRB,Londrina PR,2-1,2-0
15,Sun,2023-07-02,Juventude-RS,Vitória,1-0,0-0
15,Sun,2023-07-02,Sport Recife,Ceará,2-0,2-0
15,Sun,2023-07-02,Ponte Preta,Grêmio Novorizontino,1-0,0-0
15,Mon,2023-07-03,Mirassol,Ituano SP,0-1,0-0
15,Mon,2023-07-03,Botafogo-SP,Guarani SP,1-0,0-0
16,Fri,2023-07-07,Grêmio Novorizontino,Atlético-GO,2-2,1-0
16,Fri,2023-07-07,Ceará,Botafogo-SP,3-0,1-0
16,Sat,2023-07-08,Guarani SP,Londrina PR,2-1,1-1
16,Sat,2023-07-08,ABC RN,Criciúma,0-1,0-1
16,Sat,2023-07-08,Avaí,Ponte Preta,0-1,0-1
16,Sat,2023-07-08,Ituano SP,Juventude-RS,1-1,0-0
