Matchday,Day,Date,Time,Home,Away,FullTime,HalfTime
1,Fri,Apr/4,19.00,Goiás GO,Amazonas FC AM,1-0,1-0
1,Fri,Apr/4,21.00,Paysandu PA,Athletico Paranaense,1-2,1-1
1,Fri,Apr/4,,Criciúma SC,Operário Ferroviário PR,1-2,1-1
1,Sat,Apr/5,16.00,Coritiba PR,Vila Nova GO,1-0,0-0
1,Sat,Apr/5,,CR Brasil AL,Chapecoense AF,1-0,1-0
1,Sat,Apr/5,18.30,América MG,Botafogo SP,1-0,0-0
1,Sun,Apr/6,19.00,Ferroviária SP,Remo PA,1-1,0-1
1,Sun,Apr/6,,Volta Redonda RJ,Cuiabá MT,0-1,0-1
1,Sun,Apr/6,20.00,Avaí SC,Grêmio Novorizontino SP,1-1,1-1
1,Mon,Apr/7,19.00,Atlético Goianiense,Athletic MG,4-2,1-1
2,Thu,Apr/10,19.00,Athletico Paranaense,Criciúma SC,2-1,1-0
2,Thu,Apr/10,21.30,Cuiabá MT,Avaí SC,2-2,1-0
2,Sat,Apr/12,16.00,Chapecoense AF,Coritiba PR,1-2,0-0
2,Sat,Apr/12,18.00,Vila Nova GO,Paysandu PA,1-0,1-0
2,Sat,Apr/12,19.00,Amazonas FC AM,Ferroviária SP,0-0,
2,Sat,Apr/12,,Grêmio Novorizontino SP,Volta Redonda RJ,1-0,0-0
2,Sat,Apr/12,20.00,Operário Ferroviário PR,Goiás GO,1-2,0-0
2,Sun,Apr/13,16.00,Remo PA,América MG,2-0,1-0
2,Sun,Apr/13,,Athletic MG,CR Brasil AL,1-2,1-0
2,Sun,Apr/13,19.00,Botafogo SP,Atlético Goianiense,1-1,1-0
3,Tue,Apr/15,19.00,Cuiabá MT,Athletico Paranaense,2-1,0-1
3,Wed,Apr/16,20.00,Paysandu PA,Chapecoense AF,0-2,0-2
3,Wed,Apr/16,,Avaí SC,Operário Ferroviário PR,1-0,1-0
3,Wed,Apr/16,21.00,Coritiba PR,Grêmio Novorizontino SP,0-0,
3,Thu,Apr/17,19.00,Goiás GO,Vila Nova GO,2-2,1-1
3,Thu,Apr/17,20.00,Criciúma SC,Athletic MG,4-0,3-0
3,Thu,Apr/17,,CR Brasil AL,Volta Redonda RJ,1-0,1-0
3,Thu,Apr/17,,Botafogo SP,Remo PA,2-2,1-1
3,Thu,Apr/17,21.00,Ferroviária SP,Atlético Goianiense,2-0,1-0
3,Thu,Apr/17,21.35,América MG,Amazonas FC AM,3-1,1-1
4,Sat,Apr/19,16.00,Operário Ferroviário PR,Paysandu PA,0-0,
4,Sun,Apr/20,16.00,Vila Nova GO,Botafogo SP,2-0,2-0
4,Sun,Apr/20,18.00,Chapecoense AF,Athletic MG,1-0,0-0
4,Sun,Apr/20,19.00,Athletico Paranaense,CR Brasil AL,2-0,1-0
4,Sun,Apr/20,20.00,América MG,Goiás GO,1-0,1-0
4,Mon,Apr/21,18.00,Amazonas FC AM,Avaí SC,0-2,0-2
4,Mon,Apr/21,19.00,Grêmio Novorizontino SP,Criciúma SC,1-1,0-1
4,Mon,Apr/21,21.30,Remo PA,Coritiba PR,1-0,1-0
4,Tue,Apr/22,19.30,Atlético Goianiense,Cuiabá MT,1-1,1-0
4,Tue,Apr/22,20.00,Volta Redonda RJ,Ferroviária SP,0-0,
5,Thu,Apr/24,21.35,Grêmio Novorizontino SP,Athletico Paranaense,2-1,1-0
5,Fri,Apr/25,19.00,Criciúma SC,Remo PA,1-1,0-0
5,Fri,Apr/25,21.00,Vila Nova GO,Chapecoense AF,1-0,0-0
5,Sat,Apr/26,16.00,Coritiba PR,Operário Ferroviário PR,2-0,2-0
5,Sat,Apr/26,20.00,Avaí SC,América MG,3-0,1-0
5,Sun,Apr/27,16.00,Athletic MG,Volta Redonda RJ,2-1,1-0
5,Sun,Apr/27,16.30,Amazonas FC AM,Atlético Goianiense,1-1,0-1
5,Sun,Apr/27,17.00,Paysandu PA,CR Brasil AL,1-1,1-1
5,Sun,Apr/27,19.00,Cuiabá MT,Ferroviária SP,1-0,0-0
5,Mon,Apr/28,19.30,Botafogo SP,Goiás GO,0-1,0-1
6,Fri,May/2,21.35,Ferroviária SP,Coritiba PR,2-1,0-1
6,Sat,May/3,16.00,Remo PA,Amazonas FC AM,1-0,1-0
6,Sat,May/3,20.30,Volta Redonda RJ,Paysandu PA,1-0,0-0
6,Sun,May/4,16.00,Atlético Goianiense,Grêmio Novorizontino SP,1-0,1-0
6,Sun,May/4,18.30,Athletico Paranaense,Botafogo SP,1-4,1-2
6,Sun,May/4,,Chapecoense AF,Criciúma SC,2-1,1-1
6,Sun,May/4,20.30,Operário Ferroviário PR,América MG,1-0,1-0
6,Mon,May/5,19.00,Goiás GO,Avaí SC,,
6,Tue,May/6,19.30,CR Brasil AL,Cuiabá MT,,
6,Tue,May/6,21.30,Athletic MG,Vila Nova GO,,
7,Thu,May/8,21.35,Athletico Paranaense,Chapecoense AF,,
7,Sat,May/10,16.00,Avaí SC,Atlético Goianiense,,
7,Sat,May/10,18.30,Goiás GO,Coritiba PR,,
7,Sun,May/11,16.00,Criciúma SC,Volta Redonda RJ,,
7,Sun,May/11,18.30,Cuiabá MT,Operário Ferroviário PR,,
7,Sun,May/11,,Grêmio Novorizontino SP,Ferroviária SP,,
7,Mon,May/12,19.00,Botafogo SP,Athletic MG,,
7,Mon,May/12,21.00,Amazonas FC AM,CR Brasil AL,,
7,Wed,May/14,19.00,Remo PA,Vila Nova GO,,
7,Wed,May/14,19.30,América MG,Paysandu PA,,
8,Thu,May/15,21.35,Ferroviária SP,Avaí SC,,
8,Fri,May/16,19.00,Chapecoense AF,Cuiabá MT,,
8,Sat,May/17,16.00,Operário Ferroviário PR,Botafogo SP,,
8,Sat,May/17,18.30,Vila Nova GO,Athletico Paranaense,,
8,Sat,May/17,20.30,Athletic MG,Grêmio Novorizontino SP,,
8,Sun,May/18,16.00,CR Brasil AL,Criciúma SC,,
8,Sun,May/18,18.30,Paysandu PA,Goiás GO,,
8,Sun,May/18,20.30,Atlético Goianiense,Remo PA,,
8,Mon,May/19,19.00,Volta Redonda RJ,Amazonas FC AM,,
8,Mon,May/19,21.35,Coritiba PR,América MG,,
9,Fri,May/23,21.35,Goiás GO,Ferroviária SP,,
9,Sat,May/24,16.00,Athletico Paranaense,Athletic MG,,
9,Sat,May/24,18.30,Avaí SC,Chapecoense AF,,
9,Sat,May/24,20.30,Remo PA,Volta Redonda RJ,,
9,Sun,May/25,18.30,Grêmio Novorizontino SP,Paysandu PA,,
9,Sun,May/25,20.30,Amazonas FC AM,Operário Ferroviário PR,,
9,Mon,May/26,19.00,Criciúma SC,Coritiba PR,,
9,Mon,May/26,20.00,Botafogo SP,CR Brasil AL,,
9,Mon,May/26,21.00,Cuiabá MT,Vila Nova GO,,
9,Tue,May/27,19.30,América MG,Atlético Goianiense,,
10,Thu,May/29,21.35,Ferroviária SP,Botafogo SP,,
10,Fri,May/30,19.00,Vila Nova GO,Grêmio Novorizontino SP,,
10,Sat,May/31,16.00,Coritiba PR,Avaí SC,,
10,Sat,May/31,18.30,Atlético Goianiense,Goiás GO,,
10,Sat,May/31,20.30,Athletic MG,Cuiabá MT,,
10,Sun,Jun/1,16.00,Operário Ferroviário PR,Athletico Paranaense,,
10,Sun,Jun/1,18.00,CR Brasil AL,Remo PA,,
10,Sun,Jun/1,20.30,Volta Redonda RJ,América MG,,
10,Mon,Jun/2,19.00,Chapecoense AF,Amazonas FC AM,,
10,Mon,Jun/2,21.00,Paysandu PA,Criciúma SC,,
11,Fri,Jun/6,19.00,Grêmio Novorizontino SP,Chapecoense AF,,
11,Fri,Jun/6,21.35,Cuiabá MT,Paysandu PA,,
11,Sat,Jun/7,16.00,América MG,Ferroviária SP,,
11,Sat,Jun/7,18.30,Botafogo SP,Coritiba PR,,
11,Sat,Jun/7,20.30,Avaí SC,CR Brasil AL,,
11,Sun,Jun/8,16.00,Goiás GO,Volta Redonda RJ,,
11,Sun,Jun/8,18.00,Athletico Paranaense,Atlético Goianiense,,
11,Sun,Jun/8,20.30,Remo PA,Operário Ferroviário PR,,
11,Mon,Jun/9,19.00,Criciúma SC,Vila Nova GO,,
11,Mon,Jun/9,21.00,Amazonas FC AM,Athletic MG,,
12,Wed,Jun/18,,Athletico Paranaense,Remo PA,,
12,Wed,Jun/18,,Vila Nova GO,América MG,,
12,Wed,Jun/18,,Atlético Goianiense,Coritiba PR,,
12,Wed,Jun/18,,Paysandu PA,Botafogo SP,,
12,Wed,Jun/18,,Chapecoense AF,Ferroviária SP,,
12,Wed,Jun/18,,Criciúma SC,Amazonas FC AM,,
12,Wed,Jun/18,,CR Brasil AL,Goiás GO,,
12,Wed,Jun/18,,Athletic MG,Operário Ferroviário PR,,
12,Wed,Jun/18,,Grêmio Novorizontino SP,Cuiabá MT,,
12,Wed,Jun/18,,Volta Redonda RJ,Avaí SC,,
13,Fri,Jun/20,,Coritiba PR,Cuiabá MT,,
13,Fri,Jun/20,,Goiás GO,Athletic MG,,
13,Fri,Jun/20,,Atlético Goianiense,Volta Redonda RJ,,
13,Fri,Jun/20,,Remo PA,Paysandu PA,,
13,Fri,Jun/20,,Avaí SC,Athletico Paranaense,,
13,Fri,Jun/20,,Operário Ferroviário PR,Grêmio Novorizontino SP,,
13,Fri,Jun/20,,Amazonas FC AM,Vila Nova GO,,
13,Fri,Jun/20,,América MG,Criciúma SC,,
13,Fri,Jun/20,,Ferroviária SP,CR Brasil AL,,
13,Fri,Jun/20,,Botafogo SP,Chapecoense AF,,
14,Fri,Jun/27,,Athletico Paranaense,Coritiba PR,,
14,Fri,Jun/27,,Vila Nova GO,Atlético Goianiense,,
