Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,PinnacleHomeOpen,PinnacleDrawOpen,PinnacleAwayOpen,AvgHomeOpen,AvgDrawOpen,AvgAwayOpen,MaxHomeOpen,MaxDrawOpen,MaxAwayOpen,Bet365HomeOpen,Bet365DrawOpen,Bet365AwayOpen,Bet365Over25Open,Bet365Under25Open,PinnacleOver25Open,PinnacleUnder25Open,AvgOver25Open,AvgUnder25Open,PinnacleHomeClose,PinnacleDrawClose,PinnacleAwayClose,AvgHomeClose,AvgDrawClose,AvgAwayClose,MaxHomeClose,MaxDrawClose,MaxAwayClose,Bet365HomeClose,Bet365DrawClose,Bet365AwayClose
1,Fri,2004-08-06,Werder Bremen,FC Schalke 04,1-0,0-0,,1,0,H,0,0,D,9,8,,,22,19,5,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat,2004-08-07,1. FC Kaiserslautern,1. FC Nurnberg,1-3,0-1,,1,3,A,0,1,A,14,24,,,24,21,10,8,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat,2004-08-07,Bayer Leverkusen,Hannover 96,2-1,0-1,,2,1,H,0,1,A,11,14,,,21,20,2,2,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat,2004-08-07,Borussia Dortmund,Wolfsburg,1-2,1-1,,1,2,A,1,1,D,24,9,,,9,20,7,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat,2004-08-07,Freiburg,Hansa Rostock,0-0,0-0,,0,0,D,0,0,D,13,7,,,16,24,5,5,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat,2004-08-07,Hamburgo,Bayern de Munique,0-2,0-1,,0,2,A,0,1,A,13,12,,,18,24,5,3,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat,2004-08-07,Hertha Berlin,VfL Bochum,2-2,2-0,,2,2,D,2,0,H,21,12,,,18,14,2,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,2004-08-08,Arminia Bielefeld,Borussia Monchengladbach,0-0,0-0,,0,0,D,0,0,D,14,6,,,15,17,8,3,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,2004-08-08,VfB Stuttgart,Mainz 05,4-2,2-0,,4,2,H,2,0,H,11,7,,,17,13,3,4,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat,2004-08-14,1. FC Nurnberg,VfB Stuttgart,1-1,1-1,,1,1,D,1,1,D,16,5,,,19,16,2,3,2,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
