Matchday,Day,Date,Home,Away,FullTime,HalfTime
1,,2025-08-22,Bayern de Munique,RB Leipzig,6-0,3-0
1,,2025-08-23,Eintracht Frankfurt,Werder Bremen,4-1,2-0
1,,2025-08-23,Bayer Leverkusen,Hoffenheim,1-2,1-1
1,,2025-08-23,Freiburg,Augsburg,1-3,0-3
1,,2025-08-23,1.FC Union Berlin,VfB Stuttgart,2-1,2-0
1,,2025-08-23,1. FC Heidenheim,Wolfsburg,1-3,1-1
1,,2025-08-23,FC St. Pauli,Borussia Dortmund,3-3,0-1
1,,2025-08-24,Mainz 05,1. FC Köln,0-1,0-0
1,,2025-08-24,Borussia Monchengladbach,Hamburgo,0-0,
2,,2025-08-29,Hamburgo,FC St. Pauli,0-2,0-1
2,,2025-08-30,RB Leipzig,1. FC Heidenheim,2-0,0-0
2,,2025-08-30,Werder Bremen,Bayer Leverkusen,3-3,1-2
2,,2025-08-30,VfB Stuttgart,Borussia Monchengladbach,1-0,0-0
2,,2025-08-30,Hoffenheim,Eintracht Frankfurt,1-3,0-2
2,,2025-08-30,Augsburg,Bayern de Munique,2-3,0-2
2,,2025-08-31,Wolfsburg,Mainz 05,1-1,1-0
2,,2025-08-31,Borussia Dortmund,1.FC Union Berlin,3-0,1-0
2,,2025-08-31,1. FC Köln,Freiburg,4-1,1-0
3,,2025-09-12,Bayer Leverkusen,Eintracht Frankfurt,3-1,2-0
3,,2025-09-13,Freiburg,VfB Stuttgart,3-1,0-1
3,,2025-09-13,Mainz 05,RB Leipzig,0-1,0-1
3,,2025-09-13,Wolfsburg,1. FC Köln,3-3,1-1
3,,2025-09-13,1.FC Union Berlin,Hoffenheim,2-4,0-2
3,,2025-09-13,1. FC Heidenheim,Borussia Dortmund,0-2,0-2
3,,2025-09-13,Bayern de Munique,Hamburgo,5-0,4-0
3,,2025-09-14,FC St. Pauli,Augsburg,2-1,1-1
3,,2025-09-14,Borussia Monchengladbach,Werder Bremen,0-4,0-2
4,,2025-09-19,VfB Stuttgart,FC St. Pauli,2-0,1-0
4,,2025-09-20,Werder Bremen,Freiburg,0-3,0-1
4,,2025-09-20,Augsburg,Mainz 05,1-4,0-2
4,,2025-09-20,Hoffenheim,Bayern de Munique,1-4,0-1
4,,2025-09-20,Hamburgo,1. FC Heidenheim,2-1,1-0
4,,2025-09-20,RB Leipzig,1. FC Köln,3-1,3-1
4,,2025-09-21,Eintracht Frankfurt,1.FC Union Berlin,3-4,1-2
4,,2025-09-21,Bayer Leverkusen,Borussia Monchengladbach,1-1,0-0
4,,2025-09-21,Borussia Dortmund,Wolfsburg,1-0,1-0
5,,2025-09-26,Bayern de Munique,Werder Bremen,4-0,2-0
5,,2025-09-27,Mainz 05,Borussia Dortmund,0-2,0-2
5,,2025-09-27,Wolfsburg,RB Leipzig,0-1,0-1
5,,2025-09-27,FC St. Pauli,Bayer Leverkusen,1-2,1-1
5,,2025-09-27,1. FC Heidenheim,Augsburg,2-1,0-0
5,,2025-09-27,Borussia Monchengladbach,Eintracht Frankfurt,4-6,0-5
5,,2025-09-28,Freiburg,Hoffenheim,1-1,1-1
5,,2025-09-28,1. FC Köln,VfB Stuttgart,1-2,1-1
5,,2025-09-28,1.FC Union Berlin,Hamburgo,0-0,
6,,2025-10-03,Hoffenheim,1. FC Köln,0-1,0-1
6,,2025-10-04,Bayer Leverkusen,1.FC Union Berlin,2-0,1-0
6,,2025-10-04,Borussia Dortmund,RB Leipzig,1-1,1-1
6,,2025-10-04,Werder Bremen,FC St. Pauli,1-0,1-0
6,,2025-10-04,Augsburg,Wolfsburg,3-1,1-0
6,,2025-10-04,Eintracht Frankfurt,Bayern de Munique,0-3,0-2
6,,2025-10-05,VfB Stuttgart,1. FC Heidenheim,1-0,0-0
6,,2025-10-05,Hamburgo,Mainz 05,4-0,2-0
6,,2025-10-05,Borussia Monchengladbach,Freiburg,0-0,
7,,2025-10-17,1.FC Union Berlin,Borussia Monchengladbach,3-1,2-1
7,,2025-10-18,Mainz 05,Bayer Leverkusen,3-4,1-3
7,,2025-10-18,RB Leipzig,Hamburgo,2-1,1-0
7,,2025-10-18,Wolfsburg,VfB Stuttgart,0-3,0-1
7,,2025-10-18,1. FC Heidenheim,Werder Bremen,2-2,0-0
7,,2025-10-18,1. FC Köln,Augsburg,1-1,0-0
7,,2025-10-18,Bayern de Munique,Borussia Dortmund,2-1,1-0
7,,2025-10-19,Freiburg,Eintracht Frankfurt,2-2,1-2
7,,2025-10-19,FC St. Pauli,Hoffenheim,0-3,0-0
8,,2025-10-24,Werder Bremen,1.FC Union Berlin,1-0,0-0
8,,2025-10-25,Eintracht Frankfurt,FC St. Pauli,2-0,1-0
8,,2025-10-25,Augsburg,RB Leipzig,0-6,0-4
8,,2025-10-25,Hoffenheim,1. FC Heidenheim,3-1,2-0
8,,2025-10-25,Hamburgo,Wolfsburg,0-1,0-1
8,,2025-10-25,Borussia Monchengladbach,Bayern de Munique,0-3,0-0
8,,2025-10-25,Borussia Dortmund,1. FC Köln,1-0,0-0
8,,2025-10-26,Bayer Leverkusen,Freiburg,2-0,1-0
8,,2025-10-26,VfB Stuttgart,Mainz 05,2-1,1-1
9,,2025-10-31,Augsburg,Borussia Dortmund,0-1,0-1
9,,2025-11-01,Mainz 05,Werder Bremen,1-1,1-0
9,,2025-11-01,RB Leipzig,VfB Stuttgart,3-1,1-0
9,,2025-11-01,1.FC Union Berlin,Freiburg,0-0,
9,,2025-11-01,FC St. Pauli,Borussia Monchengladbach,0-4,0-2
9,,2025-11-01,1. FC Heidenheim,Eintracht Frankfurt,1-1,1-0
9,,2025-11-01,Bayern de Munique,Bayer Leverkusen,3-0,3-0
9,,2025-11-02,1. FC Köln,Hamburgo,4-1,1-0
9,,2025-11-02,Wolfsburg,Hoffenheim,2-3,1-1
10,,2025-11-07,Werder Bremen,Wolfsburg,2-1,0-1
10,,2025-11-08,Bayer Leverkusen,1. FC Heidenheim,6-0,5-0
10,,2025-11-08,1.FC Union Berlin,Bayern de Munique,2-2,1-1
10,,2025-11-08,Hoffenheim,RB Leipzig,3-1,2-1
10,,2025-11-08,Hamburgo,Borussia Dortmund,1-1,0-0
10,,2025-11-08,Borussia Monchengladbach,1. FC Köln,3-1,1-0
10,,2025-11-09,Freiburg,FC St. Pauli,2-1,1-0
10,,2025-11-09,VfB Stuttgart,Augsburg,3-2,2-2
10,,2025-11-09,Eintracht Frankfurt,Mainz 05,1-0,0-0
11,,2025-11-21,Mainz 05,Hoffenheim,1-1,0-1
11,,2025-11-22,Bayern de Munique,Freiburg,6-2,2-2
11,,2025-11-22,Borussia Dortmund,VfB Stuttgart,3-3,2-0
11,,2025-11-22,Wolfsburg,Bayer Leverkusen,1-3,0-3
11,,2025-11-22,Augsburg,Hamburgo,1-0,0-0
11,,2025-11-22,1. FC Heidenheim,Borussia Monchengladbach,0-3,0-1
11,,2025-11-22,1. FC Köln,Eintracht Frankfurt,3-4,1-2
11,,2025-11-23,RB Leipzig,Werder Bremen,2-0,0-0
11,,2025-11-23,FC St. Pauli,1.FC Union Berlin,0-1,0-1
12,,2025-11-28,Borussia Monchengladbach,RB Leipzig,0-0,0-0
12,,2025-11-29,Bayern de Munique,FC St. Pauli,3-1,1-1
12,,2025-11-29,Werder Bremen,1. FC Köln,1-1,1-0
12,,2025-11-29,1.FC Union Berlin,1. FC Heidenheim,1-2,1-0
12,,2025-11-29,Hoffenheim,Augsburg,3-0,3-0
12,,2025-11-29,Bayer Leverkusen,Borussia Dortmund,1-2,0-1
12,,2025-11-30,Hamburgo,VfB Stuttgart,2-1,1-0
12,,2025-11-30,Eintracht Frankfurt,Wolfsburg,1-1,0-0
12,,2025-11-30,Freiburg,Mainz 05,4-0,2-0
13,,2025-12-05,Mainz 05,Borussia Monchengladbach,0-1,0-0
13,,2025-12-06,VfB Stuttgart,Bayern de Munique,0-5,0-1
