Matchday,Date,Home,Away,FullTime,HalfTime
1,2000-08-13,Borussia Mönchengladbach,FC Bayern München,1-1,1-1
1,2000-08-14,VfL Wolfsburg,VfL Bochum 1848,1-0,1-0
1,2000-08-14,1. FC Union Berlin,Bayer 04 Leverkusen,1-1,1-1
1,2000-08-14,VfB Stuttgart,SpVgg Greuther Fürth 1903,5-1,2-0
1,2000-08-14,FC Augsburg,TSG 1899 Hoffenheim,0-4,0-1
1,2000-08-14,Arminia Bielefeld,SC Freiburg,0-0,
1,2000-08-14,Borussia Dortmund,Eintracht Frankfurt,5-2,3-1
1,2000-08-15,1. FSV Mainz 05,RB Leipzig,1-0,1-0
1,2000-08-15,1. FC Köln,Hertha BSC,3-1,1-1
2,2000-08-20,RB Leipzig,VfB Stuttgart,4-0,1-0
2,2000-08-21,Eintracht Frankfurt,FC Augsburg,0-0,
2,2000-08-21,SC Freiburg,Borussia Dortmund,2-1,1-0
2,2000-08-21,VfL Bochum 1848,1. FSV Mainz 05,2-0,1-0
2,2000-08-21,SpVgg Greuther Fürth 1903,Arminia Bielefeld,1-1,0-1
2,2000-08-21,Hertha BSC,VfL Wolfsburg,1-2,0-0
2,2000-08-21,Bayer 04 Leverkusen,Borussia Mönchengladbach,4-0,2-0
2,2000-08-22,TSG 1899 Hoffenheim,1. FC Union Berlin,2-2,2-1
2,2000-08-22,FC Bayern München,1. FC Köln,3-2,0-0
3,2000-08-27,Borussia Dortmund,TSG 1899 Hoffenheim,3-2,0-0
3,2000-08-28,VfB Stuttgart,SC Freiburg,2-3,2-3
3,2000-08-28,1. FSV Mainz 05,SpVgg Greuther Fürth 1903,3-0,2-0
3,2000-08-28,FC Augsburg,Bayer 04 Leverkusen,1-4,1-2
3,2000-08-28,Arminia Bielefeld,Eintracht Frankfurt,1-1,0-1
3,2000-08-28,1. FC Köln,VfL Bochum 1848,2-1,0-0
3,2000-08-28,FC Bayern München,Hertha BSC,5-0,2-0
3,2000-08-29,1. FC Union Berlin,Borussia Mönchengladbach,2-1,2-0
3,2000-08-29,VfL Wolfsburg,RB Leipzig,1-0,0-0
4,2000-09-11,Bayer 04 Leverkusen,Borussia Dortmund,3-4,2-1
4,2000-09-11,1. FC Union Berlin,FC Augsburg,0-0,
4,2000-09-11,SC Freiburg,1. FC Köln,1-1,0-1
4,2000-09-11,TSG 1899 Hoffenheim,1. FSV Mainz 05,0-2,0-1
4,2000-09-11,SpVgg Greuther Fürth 1903,VfL Wolfsburg,0-2,0-1
4,2000-09-11,RB Leipzig,FC Bayern München,1-4,0-1
4,2000-09-12,Eintracht Frankfurt,VfB Stuttgart,1-1,0-0
4,2000-09-12,VfL Bochum 1848,Hertha BSC,1-3,0-2
4,2000-09-12,Borussia Mönchengladbach,Arminia Bielefeld,3-1,1-1
5,2000-09-17,Hertha BSC,SpVgg Greuther Fürth 1903,2-1,0-0
5,2000-09-18,FC Bayern München,VfL Bochum 1848,7-0,4-0
5,2000-09-18,1. FSV Mainz 05,SC Freiburg,0-0,
5,2000-09-18,FC Augsburg,Borussia Mönchengladbach,1-0,0-0
5,2000-09-18,Arminia Bielefeld,TSG 1899 Hoffenheim,0-0,
5,2000-09-18,1. FC Köln,RB Leipzig,1-1,0-0
