Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
1,Tue,2016-09-13,Basel,Ludogorets,1-1,0-1,
1,Tue,2016-09-13,Paris Saint Germain,Arsenal,1-1,1-0,
1,Wed,2016-09-28,Arsenal,Basel,2-0,2-0,
1,Wed,2016-09-28,Ludogorets,Paris Saint Germain,1-3,1-1,
1,Wed,2016-10-19,Arsenal,Ludogorets,6-0,2-0,
1,Wed,2016-10-19,Paris Saint Germain,Basel,3-0,1-0,
1,Tue,2016-11-01,Basel,Paris Saint Germain,1-2,0-1,
1,Tue,2016-11-01,Ludogorets,Arsenal,2-3,2-2,
1,Wed,2016-11-23,Arsenal,Paris Saint Germain,2-2,1-1,
1,Wed,2016-11-23,Ludogorets,Basel,0-0,,
1,Tue,2016-12-06,Basel,Arsenal,1-4,0-2,
1,Tue,2016-12-06,Paris Saint Germain,Ludogorets,2-2,0-1,
1,Tue,2016-09-13,Dínamo Kiev,Napoli,1-2,1-2,
1,Tue,2016-09-13,SL Benfica,Besiktas,1-1,1-0,
1,Wed,2016-09-28,Besiktas,Dínamo Kiev,1-1,1-0,
1,Wed,2016-09-28,Napoli,SL Benfica,4-2,1-0,
2,Wed,2016-10-19,Dínamo Kiev,SL Benfica,0-2,0-1,
2,Wed,2016-10-19,Napoli,Besiktas,2-3,1-2,
2,Tue,2016-11-01,Besiktas,Napoli,1-1,0-0,
2,Tue,2016-11-01,SL Benfica,Dínamo Kiev,1-0,1-0,
2,Wed,2016-11-23,Besiktas,SL Benfica,3-3,0-3,
2,Wed,2016-11-23,Napoli,Dínamo Kiev,0-0,,
2,Tue,2016-12-06,Dínamo Kiev,Besiktas,6-0,4-0,
2,Tue,2016-12-06,SL Benfica,Napoli,1-2,0-0,
2,Tue,2016-09-13,Barcelona,Celtic,7-0,2-0,
2,Wed,2016-09-14,Manchester City,Borussia Monchengladbach,4-0,2-0,
2,Wed,2016-09-28,Borussia Monchengladbach,Barcelona,1-2,1-0,
2,Wed,2016-09-28,Celtic,Manchester City,3-3,2-2,
2,Wed,2016-10-19,Celtic,Borussia Monchengladbach,0-2,0-0,
2,Wed,2016-10-19,Barcelona,Manchester City,4-0,1-0,
2,Tue,2016-11-01,Borussia Monchengladbach,Celtic,1-1,1-0,
2,Tue,2016-11-01,Manchester City,Barcelona,3-1,1-1,
3,Wed,2016-11-23,Borussia Monchengladbach,Manchester City,1-1,1-1,
3,Wed,2016-11-23,Celtic,Barcelona,0-2,0-1,
3,Tue,2016-12-06,Barcelona,Borussia Monchengladbach,4-0,1-0,
3,Tue,2016-12-06,Manchester City,Celtic,1-1,1-1,
3,Tue,2016-09-13,Bayern de Munique,FK Rostov (RUS),5-0,2-0,
3,Tue,2016-09-13,PSV Eindhoven,Atlético de Madrid,0-1,0-1,
3,Wed,2016-09-28,Atlético de Madrid,Bayern de Munique,1-0,1-0,
3,Wed,2016-09-28,FK Rostov (RUS),PSV Eindhoven,2-2,2-2,
3,Wed,2016-10-19,Bayern de Munique,PSV Eindhoven,4-1,2-1,
3,Wed,2016-10-19,FK Rostov (RUS),Atlético de Madrid,0-1,0-0,
3,Tue,2016-11-01,Atlético de Madrid,FK Rostov (RUS),2-1,1-1,
3,Tue,2016-11-01,PSV Eindhoven,Bayern de Munique,1-2,1-1,
3,Wed,2016-11-23,FK Rostov (RUS),Bayern de Munique,3-2,1-1,
3,Wed,2016-11-23,Atlético de Madrid,PSV Eindhoven,2-0,0-0,
3,Tue,2016-12-06,Bayern de Munique,Atlético de Madrid,1-0,1-0,
3,Tue,2016-12-06,PSV Eindhoven,FK Rostov (RUS),0-0,,
4,Wed,2016-09-14,Bayer Leverkusen,CSKA Moskva (RUS),2-2,2-2,
4,Wed,2016-09-14,Tottenham,Monaco,1-2,1-2,
4,Tue,2016-09-27,Monaco,Bayer Leverkusen,1-1,0-0,
4,Tue,2016-09-27,CSKA Moskva (RUS),Tottenham,0-1,0-0,
4,Tue,2016-10-18,Bayer Leverkusen,Tottenham,0-0,,
4,Tue,2016-10-18,CSKA Moskva (RUS),Monaco,1-1,1-0,
4,Wed,2016-11-02,Monaco,CSKA Moskva (RUS),3-0,3-0,
4,Wed,2016-11-02,Tottenham,Bayer Leverkusen,0-1,0-0,
4,Tue,2016-11-22,CSKA Moskva (RUS),Bayer Leverkusen,1-1,0-1,
4,Tue,2016-11-22,Monaco,Tottenham,2-1,0-0,
4,Wed,2016-12-07,Bayer Leverkusen,Monaco,3-0,1-0,
4,Wed,2016-12-07,Tottenham,CSKA Moskva (RUS),3-1,2-1,
4,Wed,2016-09-14,Legia Varsóvia,Borussia Dortmund,0-6,0-3,
4,Wed,2016-09-14,Real Madrid,Sporting CP,2-1,0-0,
4,Tue,2016-09-27,Borussia Dortmund,Real Madrid,2-2,1-1,
4,Tue,2016-09-27,Sporting CP,Legia Varsóvia,2-0,2-0,
5,Tue,2016-10-18,Real Madrid,Legia Varsóvia,5-1,3-1,
5,Tue,2016-10-18,Sporting CP,Borussia Dortmund,1-2,0-2,
5,Wed,2016-11-02,Borussia Dortmund,Sporting CP,1-0,1-0,
5,Wed,2016-11-02,Legia Varsóvia,Real Madrid,3-3,1-2,
5,Tue,2016-11-22,Borussia Dortmund,Legia Varsóvia,8-4,5-2,
5,Tue,2016-11-22,Sporting CP,Real Madrid,1-2,0-1,
5,Wed,2016-12-07,Legia Varsóvia,Sporting CP,1-0,1-0,
5,Wed,2016-12-07,Real Madrid,Borussia Dortmund,2-2,1-0,
5,Wed,2016-09-14,Club Brugge KV,Leicester,0-3,0-2,
5,Wed,2016-09-14,FC Porto,FC Copenhagen,1-1,1-0,
5,Tue,2016-09-27,FC Copenhagen,Club Brugge KV,4-0,0-0,
5,Tue,2016-09-27,Leicester,FC Porto,1-0,1-0,
5,Tue,2016-10-18,Club Brugge KV,FC Porto,1-2,1-0,
5,Tue,2016-10-18,Leicester,FC Copenhagen,1-0,1-0,
5,Wed,2016-11-02,FC Copenhagen,Leicester,0-0,,
5,Wed,2016-11-02,FC Porto,Club Brugge KV,1-0,1-0,
6,Tue,2016-11-22,FC Copenhagen,FC Porto,0-0,,
6,Tue,2016-11-22,Leicester,Club Brugge KV,2-1,2-0,
6,Wed,2016-12-07,Club Brugge KV,FC Copenhagen,0-2,0-2,
6,Wed,2016-12-07,FC Porto,Leicester,5-0,3-0,
