Matchday,Day,Date,Home,Away,Fulltime,Halftime,Penalties
1,Tue,2017-09-12,Manchester United (ENG),FC Basel 1893 (SUI),3-0,1-0,
1,Tue,2017-09-12,SL Benfica (POR),CSKA Moskva (RUS),1-2,0-0,
1,Wed,2017-09-27,FC Basel 1893 (SUI),SL Benfica (POR),5-0,2-0,
1,Wed,2017-09-27,CSKA Moskva (RUS),Manchester United (ENG),1-4,0-3,
1,Wed,2017-10-18,SL Benfica (POR),Manchester United (ENG),0-1,0-0,
1,Wed,2017-10-18,CSKA Moskva (RUS),FC Basel 1893 (SUI),0-2,0-1,
1,Tue,2017-10-31,Manchester United (ENG),SL Benfica (POR),2-0,1-0,
1,Tue,2017-10-31,FC Basel 1893 (SUI),CSKA Moskva (RUS),1-2,1-0,
1,Wed,2017-11-22,CSKA Moskva (RUS),SL Benfica (POR),2-0,1-0,
1,Wed,2017-11-22,FC Basel 1893 (SUI),Manchester United (ENG),1-0,0-0,
1,Tue,2017-12-05,SL Benfica (POR),FC Basel 1893 (SUI),0-2,0-1,
1,Tue,2017-12-05,Manchester United (ENG),CSKA Moskva (RUS),2-1,0-1,
1,Tue,2017-09-12,Bayern München (GER),RSC Anderlecht (BEL),3-0,1-0,
1,Tue,2017-09-12,Celtic FC (SCO),Paris Saint-Germain (FRA),0-5,0-3,
1,Wed,2017-09-27,Paris Saint-Germain (FRA),Bayern München (GER),3-0,2-0,
1,Wed,2017-09-27,RSC Anderlecht (BEL),Celtic FC (SCO),0-3,0-1,
2,Wed,2017-10-18,RSC Anderlecht (BEL),Paris Saint-Germain (FRA),0-4,0-2,
2,Wed,2017-10-18,Bayern München (GER),Celtic FC (SCO),3-0,2-0,
2,Tue,2017-10-31,Paris Saint-Germain (FRA),RSC Anderlecht (BEL),5-0,2-0,
2,Tue,2017-10-31,Celtic FC (SCO),Bayern München (GER),1-2,0-1,
2,Wed,2017-11-22,RSC Anderlecht (BEL),Bayern München (GER),1-2,0-0,
2,Wed,2017-11-22,Paris Saint-Germain (FRA),Celtic FC (SCO),7-1,4-1,
2,Tue,2017-12-05,Bayern München (GER),Paris Saint-Germain (FRA),3-1,2-0,
2,Tue,2017-12-05,Celtic FC (SCO),RSC Anderlecht (BEL),0-1,0-0,
2,Tue,2017-09-12,AS Roma (ITA),Atlético Madrid (ESP),0-0,,
2,Tue,2017-09-12,Chelsea FC (ENG),Qarabağ FK (AZE),6-0,2-0,
2,Wed,2017-09-27,Qarabağ FK (AZE),AS Roma (ITA),1-2,1-2,
2,Wed,2017-09-27,Atlético Madrid (ESP),Chelsea FC (ENG),1-2,1-0,
2,Wed,2017-10-18,Qarabağ FK (AZE),Atlético Madrid (ESP),0-0,,
2,Wed,2017-10-18,Chelsea FC (ENG),AS Roma (ITA),3-3,2-1,
2,Tue,2017-10-31,AS Roma (ITA),Chelsea FC (ENG),3-0,2-0,
2,Tue,2017-10-31,Atlético Madrid (ESP),Qarabağ FK (AZE),1-1,0-1,
3,Wed,2017-11-22,Qarabağ FK (AZE),Chelsea FC (ENG),0-4,0-2,
3,Wed,2017-11-22,Atlético Madrid (ESP),AS Roma (ITA),2-0,0-0,
3,Tue,2017-12-05,Chelsea FC (ENG),Atlético Madrid (ESP),1-1,0-0,
3,Tue,2017-12-05,AS Roma (ITA),Qarabağ FK (AZE),1-0,0-0,
3,Tue,2017-09-12,FC Barcelona (ESP),Juventus (ITA),3-0,1-0,
3,Tue,2017-09-12,Olympiakos Piraeus (GRE),Sporting CP (POR),2-3,0-3,
3,Wed,2017-09-27,Juventus (ITA),Olympiakos Piraeus (GRE),2-0,0-0,
3,Wed,2017-09-27,Sporting CP (POR),FC Barcelona (ESP),0-1,0-0,
3,Wed,2017-10-18,FC Barcelona (ESP),Olympiakos Piraeus (GRE),3-1,1-0,
3,Wed,2017-10-18,Juventus (ITA),Sporting CP (POR),2-1,1-1,
3,Tue,2017-10-31,Olympiakos Piraeus (GRE),FC Barcelona (ESP),0-0,,
3,Tue,2017-10-31,Sporting CP (POR),Juventus (ITA),1-1,1-0,
3,Wed,2017-11-22,Juventus (ITA),FC Barcelona (ESP),0-0,,
3,Wed,2017-11-22,Sporting CP (POR),Olympiakos Piraeus (GRE),3-1,2-0,
3,Tue,2017-12-05,FC Barcelona (ESP),Sporting CP (POR),2-0,0-0,
3,Tue,2017-12-05,Olympiakos Piraeus (GRE),Juventus (ITA),0-2,0-1,
