season,stage,day,date,home,away,score,ht,penalties
2022/23,Group Stage,Wed,2022-09-07,AFC Ajax (NED),Rangers FC (SCO),4-0,3-0,
2022/23,Group Stage,Wed,2022-09-07,SSC Napoli (ITA),Liverpool FC (ENG),4-1,3-0,
2022/23,Group Stage,Tue,2022-09-13,Liverpool FC (ENG),AFC Ajax (NED),2-1,1-1,
2022/23,Group Stage,Wed,2022-09-14,Rangers FC (SCO),SSC Napoli (ITA),0-3,0-0,
2022/23,Group Stage,Tue,2022-10-04,AFC Ajax (NED),SSC Napoli (ITA),1-6,1-3,
2022/23,Group Stage,Tue,2022-10-04,Liverpool FC (ENG),Rangers FC (SCO),2-0,1-0,
2022/23,Group Stage,Wed,2022-10-12,SSC Napoli (ITA),AFC Ajax (NED),4-2,2-0,
2022/23,Group Stage,Wed,2022-10-12,Rangers FC (SCO),Liverpool FC (ENG),1-7,1-1,
2022/23,Group Stage,Wed,2022-10-26,AFC Ajax (NED),Liverpool FC (ENG),0-3,0-1,
2022/23,Group Stage,Wed,2022-10-26,SSC Napoli (ITA),Rangers FC (SCO),3-0,2-0,
2022/23,Group Stage,Tue,2022-11-01,Rangers FC (SCO),AFC Ajax (NED),1-3,0-2,
2022/23,Group Stage,Tue,2022-11-01,Liverpool FC (ENG),SSC Napoli (ITA),2-0,0-0,
2022/23,Group Stage,Wed,2022-09-07,Atlético Madrid (ESP),FC Porto (POR),2-1,0-0,
2022/23,Group Stage,Wed,2022-09-07,Club Brugge KV (BEL),Bayer Leverkusen (GER),1-0,1-0,
2022/23,Group Stage,Tue,2022-09-13,Bayer Leverkusen (GER),Atlético Madrid (ESP),2-0,0-0,
2022/23,Group Stage,Tue,2022-09-13,FC Porto (POR),Club Brugge KV (BEL),0-4,0-1,
2022/23,Group Stage,Tue,2022-10-04,Club Brugge KV (BEL),Atlético Madrid (ESP),2-0,1-0,
2022/23,Group Stage,Tue,2022-10-04,FC Porto (POR),Bayer Leverkusen (GER),2-0,0-0,
2022/23,Group Stage,Wed,2022-10-12,Atlético Madrid (ESP),Club Brugge KV (BEL),0-0,,
2022/23,Group Stage,Wed,2022-10-12,Bayer Leverkusen (GER),FC Porto (POR),0-3,0-1,
2022/23,Group Stage,Wed,2022-10-26,Club Brugge KV (BEL),FC Porto (POR),0-4,0-1,
2022/23,Group Stage,Wed,2022-10-26,Atlético Madrid (ESP),Bayer Leverkusen (GER),2-2,1-2,
2022/23,Group Stage,Tue,2022-11-01,FC Porto (POR),Atlético Madrid (ESP),2-1,2-0,
2022/23,Group Stage,Tue,2022-11-01,Bayer Leverkusen (GER),Club Brugge KV (BEL),0-0,,
2022/23,Group Stage,Wed,2022-09-07,Inter (ITA),Bayern München (GER),0-2,0-1,
2022/23,Group Stage,Wed,2022-09-07,FC Barcelona (ESP),Viktoria Plzeň (CZE),5-1,3-1,
2022/23,Group Stage,Tue,2022-09-13,Viktoria Plzeň (CZE),Inter (ITA),0-2,0-1,
2022/23,Group Stage,Tue,2022-09-13,Bayern München (GER),FC Barcelona (ESP),2-0,0-0,
2022/23,Group Stage,Tue,2022-10-04,Bayern München (GER),Viktoria Plzeň (CZE),5-0,3-0,
2022/23,Group Stage,Tue,2022-10-04,Inter (ITA),FC Barcelona (ESP),1-0,1-0,
2022/23,Group Stage,Wed,2022-10-12,Viktoria Plzeň (CZE),Bayern München (GER),2-4,0-4,
2022/23,Group Stage,Wed,2022-10-12,FC Barcelona (ESP),Inter (ITA),3-3,1-0,
2022/23,Group Stage,Wed,2022-10-26,Inter (ITA),Viktoria Plzeň (CZE),4-0,2-0,
2022/23,Group Stage,Wed,2022-10-26,FC Barcelona (ESP),Bayern München (GER),0-3,0-2,
2022/23,Group Stage,Tue,2022-11-01,Bayern München (GER),Inter (ITA),2-0,1-0,
2022/23,Group Stage,Tue,2022-11-01,Viktoria Plzeň (CZE),FC Barcelona (ESP),2-4,0-2,
2022/23,Group Stage,Wed,2022-09-07,Eintracht Frankfurt (GER),Sporting CP (POR),0-3,0-0,
2022/23,Group Stage,Wed,2022-09-07,Tottenham Hotspur (ENG),Olympique Marseille (FRA),2-0,0-0,
2022/23,Group Stage,Tue,2022-09-13,Sporting CP (POR),Tottenham Hotspur (ENG),2-0,0-0,
2022/23,Group Stage,Tue,2022-09-13,Olympique Marseille (FRA),Eintracht Frankfurt (GER),0-1,0-1,
2022/23,Group Stage,Tue,2022-10-04,Olympique Marseille (FRA),Sporting CP (POR),4-1,3-1,
2022/23,Group Stage,Tue,2022-10-04,Eintracht Frankfurt (GER),Tottenham Hotspur (ENG),0-0,,
2022/23,Group Stage,Wed,2022-10-12,Tottenham Hotspur (ENG),Eintracht Frankfurt (GER),3-2,3-1,
2022/23,Group Stage,Wed,2022-10-12,Sporting CP (POR),Olympique Marseille (FRA),0-2,0-2,
2022/23,Group Stage,Wed,2022-10-26,Eintracht Frankfurt (GER),Olympique Marseille (FRA),2-1,2-1,
2022/23,Group Stage,Wed,2022-10-26,Tottenham Hotspur (ENG),Sporting CP (POR),1-1,0-1,
2022/23,Group Stage,Tue,2022-11-01,Sporting CP (POR),Eintracht Frankfurt (GER),1-2,1-0,
2022/23,Group Stage,Tue,2022-11-01,Olympique Marseille (FRA),Tottenham Hotspur (ENG),1-2,1-0,
2022/23,Group Stage,Tue,2022-09-06,Dinamo Zagreb (CRO),Chelsea FC (ENG),1-0,1-0,
2022/23,Group Stage,Tue,2022-09-06,RB Salzburg (AUT),AC Milan (ITA),1-1,1-1,
2022/23,Group Stage,Wed,2022-09-14,AC Milan (ITA),Dinamo Zagreb (CRO),3-1,1-0,
2022/23,Group Stage,Wed,2022-09-14,Chelsea FC (ENG),RB Salzburg (AUT),1-1,0-0,
2022/23,Group Stage,Wed,2022-10-05,RB Salzburg (AUT),Dinamo Zagreb (CRO),1-0,0-0,
2022/23,Group Stage,Wed,2022-10-05,Chelsea FC (ENG),AC Milan (ITA),3-0,1-0,
2022/23,Group Stage,Tue,2022-10-11,AC Milan (ITA),Chelsea FC (ENG),0-2,0-2,
2022/23,Group Stage,Tue,2022-10-11,Dinamo Zagreb (CRO),RB Salzburg (AUT),1-1,1-1,
2022/23,Group Stage,Tue,2022-10-25,RB Salzburg (AUT),Chelsea FC (ENG),1-2,0-1,
2022/23,Group Stage,Tue,2022-10-25,Dinamo Zagreb (CRO),AC Milan (ITA),0-4,0-1,
2022/23,Group Stage,Wed,2022-11-02,AC Milan (ITA),RB Salzburg (AUT),4-0,1-0,
2022/23,Group Stage,Wed,2022-11-02,Chelsea FC (ENG),Dinamo Zagreb (CRO),2-1,2-1,
2022/23,Group Stage,Tue,2022-09-06,Celtic FC (SCO),Real Madrid (ESP),0-3,0-0,
2022/23,Group Stage,Tue,2022-09-06,RB Leipzig (GER),Shakhtar Donetsk (UKR),1-4,0-1,
2022/23,Group Stage,Wed,2022-09-14,Shakhtar Donetsk (UKR),Celtic FC (SCO),1-1,1-1,
2022/23,Group Stage,Wed,2022-09-14,Real Madrid (ESP),RB Leipzig (GER),2-0,0-0,
2022/23,Group Stage,Wed,2022-10-05,RB Leipzig (GER),Celtic FC (SCO),3-1,1-0,
2022/23,Group Stage,Wed,2022-10-05,Real Madrid (ESP),Shakhtar Donetsk (UKR),2-1,2-1,
2022/23,Group Stage,Tue,2022-10-11,Celtic FC (SCO),RB Leipzig (GER),0-2,0-0,
2022/23,Group Stage,Tue,2022-10-11,Shakhtar Donetsk (UKR),Real Madrid (ESP),1-1,0-0,
2022/23,Group Stage,Tue,2022-10-25,Celtic FC (SCO),Shakhtar Donetsk (UKR),1-1,1-0,
2022/23,Group Stage,Tue,2022-10-25,RB Leipzig (GER),Real Madrid (ESP),3-2,2-1,
2022/23,Group Stage,Wed,2022-11-02,Real Madrid (ESP),Celtic FC (SCO),5-1,2-0,
2022/23,Group Stage,Wed,2022-11-02,Shakhtar Donetsk (UKR),RB Leipzig (GER),0-4,0-1,
2022/23,Gruppe G,Tue,2022-09-06,Borussia Dortmund (GER),FC København (DEN),3-0,2-0,
2022/23,Gruppe G,Tue,2022-09-06,Sevilla FC (ESP),Manchester City (ENG),0-4,0-1,
2022/23,Gruppe G,Wed,2022-09-14,Manchester City (ENG),Borussia Dortmund (GER),2-1,0-0,
2022/23,Gruppe G,Wed,2022-09-14,FC København (DEN),Sevilla FC (ESP),0-0,,
2022/23,Gruppe G,Wed,2022-10-05,Sevilla FC (ESP),Borussia Dortmund (GER),1-4,0-3,
2022/23,Gruppe G,Wed,2022-10-05,Manchester City (ENG),FC København (DEN),5-0,3-0,
2022/23,Gruppe G,Tue,2022-10-11,FC København (DEN),Manchester City (ENG),0-0,,
2022/23,Gruppe G,Tue,2022-10-11,Borussia Dortmund (GER),Sevilla FC (ESP),1-1,1-1,
2022/23,Gruppe G,Tue,2022-10-25,Sevilla FC (ESP),FC København (DEN),3-0,0-0,
2022/23,Gruppe G,Tue,2022-10-25,Borussia Dortmund (GER),Manchester City (ENG),0-0,,
2022/23,Gruppe G,Wed,2022-11-02,FC København (DEN),Borussia Dortmund (GER),1-1,1-1,
2022/23,Gruppe G,Wed,2022-11-02,Manchester City (ENG),Sevilla FC (ESP),3-1,0-1,
2022/23,Gruppe H,Tue,2022-09-06,Paris Saint-Germain (FRA),Juventus (ITA),2-1,2-0,
2022/23,Gruppe H,Tue,2022-09-06,SL Benfica (POR),Maccabi Haifa (ISR),2-0,0-0,
2022/23,Gruppe H,Wed,2022-09-14,Juventus (ITA),SL Benfica (POR),1-2,1-1,
2022/23,Gruppe H,Wed,2022-09-14,Maccabi Haifa (ISR),Paris Saint-Germain (FRA),1-3,1-1,
2022/23,Gruppe H,Wed,2022-10-05,Juventus (ITA),Maccabi Haifa (ISR),3-1,1-0,
2022/23,Gruppe H,Wed,2022-10-05,SL Benfica (POR),Paris Saint-Germain (FRA),1-1,1-1,
2022/23,Gruppe H,Tue,2022-10-11,Maccabi Haifa (ISR),Juventus (ITA),2-0,2-0,
