Matchday,Date,Home,Away,FullTime,HalfTime,Penalties
Group 1,1950-06-24,Brazil,Mexico,4-0,1-0,
Group 2,1950-06-25,England,Chile,2-0,1-0,
Group 2,1950-06-25,Spain,USA,3-1,0-1,
Group 3,1950-06-25,Sweden,Italy,3-2,2-1,
Group 1,1950-06-25,Yugoslavia,Switzerland,3-0,0-0,
Group 1,1950-06-28,Brazil,Switzerland,2-2,2-1,
Group 1,1950-06-28,Yugoslavia,Mexico,4-1,2-0,
Group 2,1950-06-29,Spain,Chile,2-0,2-0,
Group 3,1950-06-29,Sweden,Paraguay,2-2,2-1,
Group 2,1950-06-29,USA,England,1-0,1-0,
Group 1,1950-07-01,Brazil,Yugoslavia,2-0,1-0,
Group 2,1950-07-02,Spain,England,1-0,0-0,
Group 3,1950-07-02,Italy,Paraguay,2-0,1-0,
Group 4,1950-07-02,Uruguay,Bolivia,8-0,4-0,
Group 1,1950-07-02,Switzerland,Mexico,2-1,2-0,
Group 2,1950-07-02,Chile,USA,5-2,2-0,
Group 6,1950-07-09,Uruguay,Spain,2-2,1-2,
Group 6,1950-07-09,Brazil,Sweden,7-1,3-0,
Group 6,1950-07-13,Brazil,Spain,6-1,3-0,
Group 6,1950-07-13,Uruguay,Sweden,3-2,1-2,
Group 6,1950-07-16,Sweden,Spain,3-1,2-0,
Group 6,1950-07-16,Uruguay,Brazil,2-1,0-0,
