Matchday,Date,Home,Away,FullTime
African Games,1965-07-19,Congo,Uganda,2-1
African Games,1965-07-19,DR Congo,Madagascar,7-0
African Games,1965-07-19,Togo,Mali,2-1
African Games,1965-07-19,Ivory Coast,Algeria,1-0
African Games,1965-07-20,Mali,Uganda,5-1
African Games,1965-07-20,Ivory Coast,Madagascar,5-0
African Games,1965-07-20,Algeria,DR Congo,4-1
African Games,1965-07-20,Congo,Togo,7-2
African Games,1965-07-21,Togo,Uganda,1-1
African Games,1965-07-21,Algeria,Madagascar,1-0
African Games,1965-07-21,DR Congo,Ivory Coast,1-1
African Games,1965-07-21,Congo,Mali,1-2
African Games,1965-07-23,Uganda,Madagascar,5-0
African Games,1965-07-23,DR Congo,Togo,5-1
African Games,1965-07-23,Mali,Algeria,2-1
African Games,1965-07-23,Congo,Ivory Coast,1-0
African Games,1965-07-25,DR Congo,Uganda,6-2
African Games,1965-07-25,Togo,Madagascar,1-0
African Games,1965-07-25,Congo,Mali,0-0
African Games,1965-07-25,Ivory Coast,Algeria,2-0
African Games,1973-01-08,Guinea,Egypt,4-1
African Games,1973-01-08,Algeria,Tanzania,4-2
African Games,1973-01-08,Nigeria,Ghana,4-2
African Games,1973-01-08,Congo,Upper Volta,3-0
African Games,1973-01-10,Egypt,Congo,3-1
African Games,1973-01-10,Ghana,Tanzania,1-0
African Games,1973-01-10,Nigeria,Algeria,2-2
African Games,1973-01-10,Guinea,Upper Volta,3-2
African Games,1973-01-12,Egypt,Upper Volta,4-2
African Games,1973-01-12,Nigeria,Tanzania,2-1
African Games,1973-01-12,Ghana,Algeria,2-0
African Games,1973-01-12,Guinea,Congo,5-1
African Games,1973-01-14,Nigeria,Egypt,4-2
African Games,1973-01-14,Guinea,Ghana,2-1
African Games,1973-01-16,Egypt,Ghana,2-1
African Games,1973-01-18,Nigeria,Guinea,2-0
African Games,1978-07-13,Algeria,Egypt,1-1
African Games,1978-07-14,Nigeria,Mali,3-1
African Games,1978-07-14,Ghana,Cameroon,2-1
African Games,1978-07-14,Libya,Malawi,2-1
African Games,1978-07-17,Cameroon,Nigeria,0-0
African Games,1978-07-17,Ghana,Mali,1-1
African Games,1978-07-18,Egypt,Malawi,4-1
African Games,1978-07-18,Algeria,Libya,2-1
African Games,1978-07-21,Ghana,Nigeria,0-0
African Games,1978-07-21,Cameroon,Mali,1-1
African Games,1978-07-22,Egypt,Libya,1-0
African Games,1978-07-22,Algeria,Malawi,3-0
African Games,1978-07-25,Nigeria,Malawi,3-2
African Games,1978-07-25,Algeria,Ghana,2-0
African Games,1978-07-28,Algeria,Nigeria,1-0
African Games,1978-07-28,Ghana,Malawi,1-0
African Games,1987-08-01,Kenya,Tunisia,1-0
African Games,1987-08-01,Cameroon,Madagascar,3-0
African Games,1987-08-02,Egypt,Senegal,1-0
African Games,1987-08-02,Ivory Coast,Malawi,1-0
African Games,1987-08-03,Kenya,Cameroon,3-3
African Games,1987-08-03,Madagascar,Tunisia,3-0
African Games,1987-08-04,Egypt,Ivory Coast,2-1
African Games,1987-08-04,Malawi,Senegal,2-0
African Games,1987-08-05,Kenya,Madagascar,2-1
African Games,1987-08-05,Cameroon,Tunisia,3-1
African Games,1987-08-06,Malawi,Egypt,2-1
African Games,1987-08-06,Ivory Coast,Senegal,1-0
African Games,1987-08-08,Ivory Coast,Madagascar,1-1
African Games,1987-08-08,Senegal,Tunisia,1-0
African Games,1987-08-09,Cameroon,Egypt,1-1
African Games,1987-08-10,Kenya,Malawi,1-1
African Games,1987-08-12,Kenya,Egypt,0-1
African Games,1987-08-12,Malawi,Cameroon,3-1
