Matchday,Date,Home,Away,FullTime
African Games qualifier,1964-12-25,Ivory Coast,Guinea,1-1
African Games qualifier,1964-12-26,Ghana,Liberia,5-1
African Games qualifier,1964-12-27,Nigeria,Togo,1-2
African Games qualifier,1964-12-27,Algeria,Tunisia,1-0
African Games qualifier,1964-12-28,Dahomey,Niger,4-2
African Games qualifier,1964-12-29,Nigeria,Upper Volta,6-1
African Games qualifier,1964-12-30,Togo,Niger,3-0
African Games qualifier,1964-12-30,Ivory Coast,Liberia,4-2
African Games qualifier,1964-12-31,Ghana,Guinea,3-3
African Games qualifier,1964-12-31,Upper Volta,Dahomey,2-0
African Games qualifier,1965-01-01,Nigeria,Niger,4-0
African Games qualifier,1965-01-01,Guinea,Liberia,3-3
African Games qualifier,1965-01-02,Nigeria,Dahomey,1-1
African Games qualifier,1965-01-02,Ivory Coast,Ghana,1-0
African Games qualifier,1965-01-03,Togo,Upper Volta,2-1
African Games qualifier,1965-01-04,Dahomey,Togo,2-2
African Games qualifier,1965-01-05,Niger,Upper Volta,2-2
African Games qualifier,1965-03-07,Senegal,Mali,3-0
African Games qualifier,1965-03-13,Tanzania,Madagascar,1-5
African Games qualifier,1965-03-14,Tunisia,Algeria,0-0
African Games qualifier,1965-03-14,Mali,Senegal,4-0
African Games qualifier,1965-03-15,Tanzania,Madagascar,2-1
African Games qualifier,1965-03-23,Uganda,Kenya,1-3
African Games qualifier,1965-03-25,Egypt,Kenya,4-3
African Games qualifier,1965-03-27,Uganda,Egypt,5-1
African Games qualifier,1965-04-03,DR Congo,Cameroon,3-2
African Games qualifier,1965-04-07,DR Congo,Central African Republic,8-2
African Games qualifier,1965-04-07,Cameroon,Chad,9-0
African Games qualifier,1965-04-14,DR Congo,Cameroon,3-1
African Games qualifier,1972-07-13,Congo,Chad,7-1
African Games qualifier,1972-07-16,Chad,Central African Republic,2-1
African Games qualifier,1972-07-18,Cameroon,Chad,4-1
African Games qualifier,1972-07-22,Gabon,Chad,1-0
African Games qualifier,1972-09-17,Upper Volta,Niger,2-0
African Games qualifier,1972-09-23,Ghana,Sierra Leone,1-1
African Games qualifier,1972-09-24,Ivory Coast,Liberia,0-0
African Games qualifier,1972-09-26,Ghana,Liberia,1-0
African Games qualifier,1972-09-27,Ivory Coast,Sierra Leone,1-0
African Games qualifier,1972-09-29,Liberia,Sierra Leone,1-1
African Games qualifier,1972-09-30,Ghana,Ivory Coast,1-0
African Games qualifier,1972-10-01,Dahomey,Upper Volta,3-2
African Games qualifier,1972-10-06,Tanzania,Mauritius,4-1
African Games qualifier,1972-10-08,Mauritius,Lesotho,4-3
African Games qualifier,1972-10-10,Tanzania,Lesotho,4-1
African Games qualifier,1972-10-15,Niger,Dahomey,2-2
African Games qualifier,1972-10-29,Upper Volta,Niger,2-1
African Games qualifier,1972-11-12,Upper Volta,Dahomey,3-1
African Games qualifier,1972-11-24,Egypt,Somalia,4-2
African Games qualifier,1972-11-25,Uganda,Kenya,1-0
African Games qualifier,1972-11-26,Dahomey,Niger,1-0
African Games qualifier,1972-11-27,Egypt,Uganda,2-2
African Games qualifier,1972-11-28,Kenya,Somalia,2-2
African Games qualifier,1972-11-30,Somalia,Uganda,1-0
African Games qualifier,1972-12-01,Egypt,Kenya,1-0
African Games qualifier,1977-11-10,Egypt,Ethiopia,2-1
African Games qualifier,1977-11-12,Egypt,Somalia,4-0
African Games qualifier,1977-11-13,Tanzania,Uganda,1-1
African Games qualifier,1977-11-14,Sudan,Somalia,2-0
African Games qualifier,1977-11-15,Tanzania,Uganda,1-1
African Games qualifier,1977-11-16,Egypt,Sudan,1-0
African Games qualifier,1977-11-18,Egypt,Uganda,1-0
African Games qualifier,1977-12-16,Ivory Coast,Ghana,2-1
African Games qualifier,1977-12-18,Ivory Coast,Ghana,1-2
African Games qualifier,1977-12-23,Cameroon,Chad,0-0
African Games qualifier,1977-12-24,Congo,Burundi,8-0
African Games qualifier,1977-12-24,Gabon,Equatorial Guinea,2-0
African Games qualifier,1977-12-25,Chad,Rwanda,3-0
African Games qualifier,1977-12-26,Burundi,Equatorial Guinea,4-2
African Games qualifier,1977-12-26,Gabon,Congo,1-0
African Games qualifier,1977-12-27,Cameroon,Rwanda,4-0
African Games qualifier,1977-12-27,Mali,Mauritania,2-1
African Games qualifier,1977-12-28,Gabon,Burundi,2-0
African Games qualifier,1977-12-28,Congo,Equatorial Guinea,4-0
African Games qualifier,1977-12-30,Cameroon,Congo,1-2
African Games qualifier,1977-12-30,Chad,Gabon,3-1
African Games qualifier,1978-01-03,Cameroon,Chad,3-0
African Games qualifier,1978-01-13,Libya,Tunisia,1-0
African Games qualifier,1978-01-14,Nigeria,Benin,7-0
African Games qualifier,1978-01-17,Nigeria,Benin,2-0
African Games qualifier,1978-01-24,Mauritius,Malawi,1-2
African Games qualifier,1978-01-25,Tunisia,Libya,2-1
African Games qualifier,1986-07-19,Malawi,Zimbabwe,1-1
African Games qualifier,1986-08-03,Zimbabwe,Malawi,1-1
African Games qualifier,1986-08-09,Djibouti,Madagascar,1-7
African Games qualifier,1986-08-10,Ivory Coast,Liberia,2-1
African Games qualifier,1986-08-24,Liberia,Ivory Coast,1-2
African Games qualifier,1986-08-31,Seychelles,Mauritius,1-2
African Games qualifier,1986-09-14,Mauritius,Seychelles,2-0
African Games qualifier,1987-01-04,Nigeria,Ivory Coast,0-0
African Games qualifier,1987-01-04,Swaziland,Malawi,1-3
African Games qualifier,1987-01-06,Ghana,Togo,3-0
African Games qualifier,1987-01-11,Tunisia,Algeria,0-2
African Games qualifier,1987-01-18,Ivory Coast,Nigeria,1-0
African Games qualifier,1987-01-18,Togo,Ghana,1-1
African Games qualifier,1987-01-18,Malawi,Swaziland,6-1
African Games qualifier,1987-04-04,Tanzania,Egypt,2-4
African Games qualifier,1987-04-05,Zambia,Malawi,3-1
African Games qualifier,1987-04-05,Madagascar,Mauritius,2-1
African Games qualifier,1987-04-17,Egypt,Tanzania,6-0
African Games qualifier,1987-04-19,Malawi,Zambia,2-0
African Games qualifier,1987-04-19,Mauritius,Madagascar,2-1
African Games qualifier,1987-04-19,Ghana,Ivory Coast,1-2
African Games qualifier,1987-04-26,Ivory Coast,Ghana,1-0
