Matchday,Date,Home,Away,FullTime
Amilcar Cabral Cup,1979-01-07,Guinea-Bissau,Cape Verde,3-0
Amilcar Cabral Cup,1979-01-08,Gambia,Mauritania,3-1
Amilcar Cabral Cup,1979-01-08,Mali,Guinea,1-0
Amilcar Cabral Cup,1979-01-09,Senegal,Cape Verde,1-0
Amilcar Cabral Cup,1979-01-10,Mali,Gambia,1-0
Amilcar Cabral Cup,1979-01-10,Guinea,Mauritania,4-1
Amilcar Cabral Cup,1979-01-11,Guinea-Bissau,Senegal,0-2
Amilcar Cabral Cup,1979-01-12,Gambia,Guinea,1-1
Amilcar Cabral Cup,1979-01-12,Mali,Mauritania,4-2
Amilcar Cabral Cup,1979-01-13,Guinea-Bissau,Mali,1-1
Amilcar Cabral Cup,1979-01-13,Senegal,Guinea,3-1
Amilcar Cabral Cup,1979-01-14,Guinea-Bissau,Guinea,2-2
Amilcar Cabral Cup,1979-01-14,Senegal,Mali,1-0
Amilcar Cabral Cup,1980-02-09,Gambia,Guinea-Bissau,2-0
Amilcar Cabral Cup,1980-02-10,Mali,Senegal,1-0
Amilcar Cabral Cup,1980-02-11,Guinea,Guinea-Bissau,2-1
Amilcar Cabral Cup,1980-02-12,Mauritania,Mali,1-0
Amilcar Cabral Cup,1980-02-13,Gambia,Guinea,0-0
Amilcar Cabral Cup,1980-02-14,Senegal,Mauritania,2-1
Amilcar Cabral Cup,1980-02-16,Gambia,Mauritania,2-2
Amilcar Cabral Cup,1980-02-16,Senegal,Guinea,2-1
Amilcar Cabral Cup,1980-02-17,Mali,Guinea-Bissau,4-2
Amilcar Cabral Cup,1980-02-18,Gambia,Senegal,0-1
Amilcar Cabral Cup,1981-02-02,Gambia,Guinea,1-1
Amilcar Cabral Cup,1981-02-02,Mali,Mauritania,2-0
Amilcar Cabral Cup,1981-02-03,Senegal,Cape Verde,1-0
Amilcar Cabral Cup,1981-02-04,Mali,Guinea,1-1
Amilcar Cabral Cup,1981-02-05,Senegal,Guinea-Bissau,1-0
Amilcar Cabral Cup,1981-02-06,Mali,Gambia,4-1
Amilcar Cabral Cup,1981-02-06,Guinea,Mauritania,2-1
Amilcar Cabral Cup,1981-02-07,Cape Verde,Guinea-Bissau,3-0
Amilcar Cabral Cup,1981-02-09,Mali,Cape Verde,2-0
Amilcar Cabral Cup,1981-02-10,Guinea,Senegal,1-0
Amilcar Cabral Cup,1981-02-11,Guinea-Bissau,Mauritania,4-3
Amilcar Cabral Cup,1981-02-12,Senegal,Cape Verde,5-1
Amilcar Cabral Cup,1981-02-13,Mali,Guinea,0-0
Amilcar Cabral Cup,1982-02-11,Sierra Leone,Guinea-Bissau,2-1
Amilcar Cabral Cup,1982-02-11,Cape Verde,Gambia,2-0
Amilcar Cabral Cup,1982-02-11,Mali,Mauritania,4-0
Amilcar Cabral Cup,1982-02-11,Guinea,Senegal,1-1
Amilcar Cabral Cup,1982-02-13,Guinea,Sierra Leone,1-0
Amilcar Cabral Cup,1982-02-13,Gambia,Mauritania,3-1
Amilcar Cabral Cup,1982-02-13,Senegal,Guinea-Bissau,1-0
Amilcar Cabral Cup,1982-02-13,Cape Verde,Mali,1-0
Amilcar Cabral Cup,1982-02-15,Senegal,Sierra Leone,2-0
Amilcar Cabral Cup,1982-02-15,Gambia,Mali,1-1
