Matchday,Date,Home,Away,FullTime
CECAFA Cup,1973-09-22,Uganda,Somalia,6-1
CECAFA Cup,1973-09-23,Kenya,Zanzibar,2-0
CECAFA Cup,1973-09-24,Zambia,Somalia,6-1
CECAFA Cup,1973-09-25,Tanzania,Zanzibar,1-0
CECAFA Cup,1973-09-26,Uganda,Zambia,1-1
CECAFA Cup,1973-09-27,Tanzania,Kenya,2-1
CECAFA Cup,1973-09-28,Uganda,Zambia,2-1
CECAFA Cup,1973-09-29,Uganda,Tanzania,2-1
CECAFA Cup,1974-11-01,Tanzania,Zambia,1-0
CECAFA Cup,1974-11-02,Zambia,Kenya,3-2
CECAFA Cup,1974-11-02,Uganda,Zanzibar,2-1
CECAFA Cup,1974-11-03,Tanzania,Kenya,0-0
CECAFA Cup,1974-11-03,Zanzibar,Somalia,2-1
CECAFA Cup,1974-11-04,Somalia,Uganda,1-1
CECAFA Cup,1974-11-07,Tanzania,Uganda,1-1
CECAFA Cup,1975-10-31,Zambia,Kenya,1-2
CECAFA Cup,1975-11-01,Malawi,Tanzania,3-1
CECAFA Cup,1975-11-02,Zambia,Uganda,0-1
CECAFA Cup,1975-11-03,Malawi,Zanzibar,4-2
CECAFA Cup,1975-11-04,Kenya,Uganda,1-1
CECAFA Cup,1975-11-05,Tanzania,Zanzibar,4-0
CECAFA Cup,1975-11-07,Kenya,Tanzania,3-2
CECAFA Cup,1975-11-07,Malawi,Uganda,2-1
CECAFA Cup,1975-11-09,Kenya,Malawi,2-2
CECAFA Cup,1976-11-06,Kenya,Tanzania,1-1
CECAFA Cup,1976-11-06,Uganda,Somalia,2-0
CECAFA Cup,1976-11-06,Zanzibar,Zambia,0-3
CECAFA Cup,1976-11-07,Malawi,Tanzania,1-1
CECAFA Cup,1976-11-08,Zanzibar,Uganda,0-1
CECAFA Cup,1976-11-08,Zambia,Somalia,4-2
CECAFA Cup,1976-11-09,Kenya,Malawi,2-2
CECAFA Cup,1976-11-11,Zambia,Uganda,3-2
CECAFA Cup,1976-11-11,Zanzibar,Somalia,1-0
CECAFA Cup,1976-11-12,Zambia,Kenya,2-0
CECAFA Cup,1976-11-12,Uganda,Malawi,2-1
CECAFA Cup,1976-11-14,Uganda,Zambia,2-0
CECAFA Cup,1977-11-25,Somalia,Kenya,0-1
CECAFA Cup,1977-11-26,Zanzibar,Uganda,1-0
CECAFA Cup,1977-11-27,Zambia,Tanzania,4-2
CECAFA Cup,1977-11-28,Uganda,Kenya,3-1
CECAFA Cup,1977-11-29,Malawi,Zambia,1-0
