Matchday,Date,Home,Away,FullTime
Indian Ocean Games,1979-08-26,Mauritius,Comoros,3-0
Indian Ocean Games,1979-08-26,Reunion,Seychelles,3-0
Indian Ocean Games,1979-08-27,Seychelles,Maldives,9-0
Indian Ocean Games,1979-08-28,Reunion,Maldives,9-0
Indian Ocean Games,1979-08-28,Mauritius,Comoros,3-1
Indian Ocean Games,1979-08-29,Comoros,Maldives,2-1
Indian Ocean Games,1979-08-31,Mauritius,Seychelles,1-1
Indian Ocean Games,1979-08-31,Reunion,Comoros,6-1
Indian Ocean Games,1979-09-01,Reunion,Seychelles,2-1
Indian Ocean Games,1985-08-27,Mauritius,Seychelles,3-1
Indian Ocean Games,1985-08-27,Reunion,Comoros,1-0
Indian Ocean Games,1985-08-28,Madagascar,Seychelles,1-0
Indian Ocean Games,1985-08-29,Comoros,Maldives,2-2
Indian Ocean Games,1985-08-29,Mauritius,Madagascar,3-1
Indian Ocean Games,1985-08-30,Reunion,Maldives,9-0
Indian Ocean Games,1985-08-31,Mauritius,Reunion,4-4
Indian Ocean Games,1990-08-21,Madagascar,Comoros,1-0
Indian Ocean Games,1990-08-23,Comoros,Reunion,1-0
Indian Ocean Games,1990-08-25,Madagascar,Reunion,0-0
Indian Ocean Games,1990-08-25,Mauritius,Seychelles,2-0
Indian Ocean Games,1990-08-27,Madagascar,Seychelles,6-0
Indian Ocean Games,1990-08-27,Mauritius,Comoros,4-0
Indian Ocean Games,1990-08-29,Seychelles,Comoros,3-1
Indian Ocean Games,1990-08-30,Madagascar,Mauritius,5-1
Indian Ocean Games,1993-08-20,Madagascar,Comoros,5-0
Indian Ocean Games,1993-08-22,Mauritius,Comoros,3-0
Indian Ocean Games,1993-08-22,Seychelles,Reunion,0-2
Indian Ocean Games,1993-08-24,Madagascar,Mauritius,2-1
Indian Ocean Games,1993-08-24,Seychelles,Reunion,0-2
Indian Ocean Games,1993-08-26,Seychelles,Madagascar,1-2
