Matchday,Date,Home,Away,FullTime
Indian Ocean Tournament,1982-08-29,Mauritius,Zimbabwe,2-0
Indian Ocean Tournament,1982-09-01,Reunion,Zimbabwe,0-1
Indian Ocean Tournament,1982-09-05,Reunion,Mauritius,1-1
Indian Ocean Tournament,1983-07-10,Madagascar,Mauritius,1-1
Indian Ocean Tournament,1983-07-13,Reunion,Madagascar,0-3
Indian Ocean Tournament,1983-07-16,Reunion,Mauritius,1-1
Indian Ocean Tournament,1984-05-19,Reunion,Tanzania,1-1
Indian Ocean Tournament,1985-06-30,Reunion,Zaire,1-2
Indian Ocean Tournament,1985-07-01,Reunion,Malawi,2-8
Indian Ocean Tournament,1985-07-02,Zaire,Malawi,1-0
Indian Ocean Tournament,1987-06-14,Reunion,Madagascar,0-1
Indian Ocean Tournament,1987-06-14,Congo,Seychelles,1-1
Indian Ocean Tournament,1987-06-16,Madagascar,Seychelles,2-0
Indian Ocean Tournament,1987-06-18,Reunion,Congo,1-1
Indian Ocean Tournament,1987-06-21,Madagascar,Congo,3-2
Indian Ocean Tournament,1987-06-21,Reunion,Seychelles,3-1
