Matchday,Date,Home,Away,FullTime
SADCC Tournament,1990-01-20,Malawi,Tanzania,2-2
SADCC Tournament,1990-01-20,Swaziland,Botswana,3-1
SADCC Tournament,1990-01-21,Swaziland,Tanzania,0-1
SADCC Tournament,1990-01-21,Botswana,Malawi,2-2
SADCC Tournament,1990-01-23,Botswana,Tanzania,0-0
SADCC Tournament,1990-01-23,Swaziland,Malawi,0-0
SADCC Tournament,1990-03-06,Mozambique,Angola,2-1
SADCC Tournament,1990-03-07,Zimbabwe,Lesotho,4-1
SADCC Tournament,1990-03-08,Zimbabwe,Angola,2-0
SADCC Tournament,1990-03-10,Mozambique,Zimbabwe,3-1
SADCC Tournament,1990-03-10,Angola,Lesotho,3-1
SADCC Tournament,1990-03-11,Mozambique,Lesotho,3-0
SADCC Tournament,1990-04-01,Zambia,Tanzania,2-0
SADCC Tournament,1990-04-01,Swaziland,Zimbabwe,4-4
SADCC Tournament,1990-08-25,Zambia,Zimbabwe,3-1
