Matchday,Date,Home,Away,FullTime
Tropical Cup,1962-07-14,Gabon,Congo,3-1
Tropical Cup,1962-09-16,Congo,Gabon,3-1
Tropical Cup,1962-12-24,Congo,Madagascar,6-1
Tropical Cup,1962-12-24,Central African Republic,Cameroon,1-4
Tropical Cup,1962-12-27,Central African Republic,Madagascar,4-1
Tropical Cup,1962-12-27,Congo,Cameroon,3-0
Tropical Cup,1964-07-12,Congo-Leopoldville,Central African Republic,1-0
Tropical Cup,1964-07-12,Gabon,Chad,2-1
Tropical Cup,1964-07-13,Cameroon,Congo-Leopoldville,1-1
Tropical Cup,1964-07-13,Congo,Chad,4-1
Tropical Cup,1964-07-14,Cameroon,Central African Republic,2-1
Tropical Cup,1964-07-14,Congo,Gabon,2-1
Tropical Cup,1964-07-17,Cameroon,Congo,3-1
Tropical Cup,1964-07-19,Cameroon,Congo-Leopoldville,2-1
