Matchday,Date,Home,Away,FullTime
UDEAC Cup,1975-12-31,Cameroon,Congo,3-1
UDEAC Cup,1984-12-09,Congo,Equatorial Guinea,5-0
UDEAC Cup,1984-12-10,Cameroon,Chad,2-0
UDEAC Cup,1984-12-12,Congo,Central African Republic,2-1
UDEAC Cup,1984-12-12,Chad,Gabon,3-3
UDEAC Cup,1984-12-14,Cameroon,Gabon,0-0
UDEAC Cup,1984-12-14,Central African Republic,Equatorial Guinea,1-1
UDEAC Cup,1984-12-16,Chad,Equatorial Guinea,1-1
UDEAC Cup,1984-12-17,Cameroon,Central African Republic,7-1
UDEAC Cup,1984-12-17,Congo,Gabon,3-0
UDEAC Cup,1984-12-19,Central African Republic,Gabon,2-2
UDEAC Cup,1984-12-20,Congo,Cameroon,2-2
UDEAC Cup,1985-12-07,Gabon,Congo,1-0
UDEAC Cup,1985-12-08,Cameroon,Equatorial Guinea,2-0
UDEAC Cup,1985-12-09,Congo,Central African Republic,4-1
UDEAC Cup,1985-12-10,Chad,Equatorial Guinea,1-1
UDEAC Cup,1985-12-11,Gabon,Central African Republic,4-0
UDEAC Cup,1985-12-12,Cameroon,Chad,2-2
UDEAC Cup,1985-12-14,Gabon,Chad,3-0
UDEAC Cup,1985-12-15,Congo,Cameroon,1-0
UDEAC Cup,1985-12-18,Cameroon,Chad,2-1
UDEAC Cup,1985-12-19,Gabon,Congo,3-0
UDEAC Cup,1986-12-09,Equatorial Guinea,Cameroon,0-2
UDEAC Cup,1986-12-10,Gabon,Congo,1-0
UDEAC Cup,1986-12-11,Cameroon,Chad,3-1
UDEAC Cup,1986-12-12,Congo,Central African Republic,3-1
UDEAC Cup,1986-12-13,Equatorial Guinea,Chad,0-1
UDEAC Cup,1986-12-14,Gabon,Central African Republic,1-0
UDEAC Cup,1986-12-16,Cameroon,Congo,1-0
UDEAC Cup,1986-12-17,Chad,Gabon,0-0
UDEAC Cup,1986-12-19,Cameroon,Chad,4-1
UDEAC Cup,1987-12-07,Chad,Central African Republic,2-1
UDEAC Cup,1987-12-08,Cameroon,Equatorial Guinea,1-0
UDEAC Cup,1987-12-09,Central African Republic,Gabon,1-1
UDEAC Cup,1987-12-10,Cameroon,Equatorial Guinea,0-0
UDEAC Cup,1987-12-11,Chad,Gabon,1-1
UDEAC Cup,1987-12-15,Chad,Equatorial Guinea,4-0
UDEAC Cup,1987-12-16,Cameroon,Gabon,1-0
UDEAC Cup,1987-12-18,Chad,Cameroon,0-1
UDEAC Cup,1987-12-18,Equatorial Guinea,Gabon,0-0
UDEAC Cup,1988-11-30,Cameroon,Gabon,0-0
UDEAC Cup,1988-11-30,Congo,Chad,2-1
UDEAC Cup,1988-12-02,Cameroon,Equatorial Guinea,2-1
UDEAC Cup,1988-12-02,Central African Republic,Chad,2-1
UDEAC Cup,1988-12-04,Congo,Central African Republic,1-0
UDEAC Cup,1988-12-04,Gabon,Equatorial Guinea,3-0
UDEAC Cup,1988-12-06,Cameroon,Congo,2-0
UDEAC Cup,1988-12-06,Central African Republic,Gabon,0-0
UDEAC Cup,1988-12-08,Cameroon,Gabon,0-1
UDEAC Cup,1988-12-08,Congo,Central African Republic,3-0
UDEAC Cup,1989-12-02,Central African Republic,Chad,1-1
UDEAC Cup,1989-12-03,Congo,Gabon,1-0
UDEAC Cup,1989-12-04,Central African Republic,Cameroon,1-2
UDEAC Cup,1989-12-05,Gabon,Congo,2-0
UDEAC Cup,1989-12-06,Cameroon,Chad,1-0
UDEAC Cup,1989-12-08,Chad,Congo,2-1
UDEAC Cup,1989-12-10,Central African Republic,Gabon,2-0
UDEAC Cup,1989-12-11,Cameroon,Chad,0-0
UDEAC Cup,1989-12-12,Gabon,Chad,2-0
UDEAC Cup,1989-12-13,Central African Republic,Cameroon,1-2
UDEAC Cup,1990-12-08,Congo,Chad,3-0
UDEAC Cup,1990-12-09,Cameroon,Gabon,2-1
UDEAC Cup,1990-12-11,Gabon,Central African Republic,1-0
UDEAC Cup,1990-12-12,Chad,Equatorial Guinea,1-0
UDEAC Cup,1990-12-13,Cameroon,Central African Republic,3-0
UDEAC Cup,1990-12-13,Congo,Equatorial Guinea,6-0
UDEAC Cup,1990-12-15,Cameroon,Chad,1-0
UDEAC Cup,1990-12-15,Congo,Gabon,1-0
UDEAC Cup,1990-12-17,Central African Republic,Equatorial Guinea,3-3
UDEAC Cup,1990-12-17,Chad,Gabon,2-1
UDEAC Cup,1990-12-18,Congo,Cameroon,2-1
