Matchday,Date,Home,Away,FullTime
West African Nations Cup,1982-02-13,Benin,Ghana,0-4
West African Nations Cup,1982-02-13,Togo,Liberia,1-0
West African Nations Cup,1982-02-15,Ghana,Ivory Coast,5-5
West African Nations Cup,1982-02-15,Benin,Niger,2-0
West African Nations Cup,1982-02-15,Upper Volta,Liberia,2-1
West African Nations Cup,1982-02-17,Ghana,Niger,2-2
West African Nations Cup,1982-02-17,Togo,Upper Volta,2-1
West African Nations Cup,1982-02-17,Benin,Ivory Coast,3-3
West African Nations Cup,1982-02-19,Ghana,Upper Volta,1-0
West African Nations Cup,1982-02-19,Ivory Coast,Niger,1-1
West African Nations Cup,1982-02-21,Ivory Coast,Togo,1-1
West African Nations Cup,1982-02-22,Ivory Coast,Upper Volta,1-1
West African Nations Cup,1982-02-23,Ghana,Togo,2-1
West African Nations Cup,1983-09-25,Ivory Coast,Liberia,0-0
West African Nations Cup,1983-09-27,Ghana,Togo,1-1
West African Nations Cup,1983-09-28,Ghana,Liberia,1-0
West African Nations Cup,1983-09-28,Ivory Coast,Togo,3-0
West African Nations Cup,1983-09-30,Ivory Coast,Ghana,0-2
West African Nations Cup,1983-09-30,Togo,Liberia,4-0
West African Nations Cup,1983-10-02,Ghana,Togo,3-1
West African Nations Cup,1983-10-02,Ivory Coast,Liberia,2-1
West African Nations Cup,1984-11-17,Burkina Faso,Togo,1-1
West African Nations Cup,1984-11-18,Ghana,Ivory Coast,2-0
West African Nations Cup,1984-11-20,Burkina Faso,Ivory Coast,2-2
West African Nations Cup,1984-11-21,Ghana,Togo,2-2
West African Nations Cup,1984-11-22,Burkina Faso,Benin,2-1
West African Nations Cup,1984-11-23,Ivory Coast,Togo,1-1
West African Nations Cup,1984-11-24,Burkina Faso,Ghana,1-1
West African Nations Cup,1984-11-24,Ivory Coast,Benin,2-1
West African Nations Cup,1984-11-25,Togo,Benin,2-0
West African Nations Cup,1984-11-27,Ghana,Benin,3-1
West African Nations Cup,1984-11-28,Ghana,Togo,1-1
West African Nations Cup,1984-11-28,Burkina Faso,Ivory Coast,0-2
West African Nations Cup,1986-02-23,Burkina Faso,Liberia,1-0
West African Nations Cup,1986-02-24,Ghana,Niger,2-0
West African Nations Cup,1986-02-24,Togo,Burkina Faso,1-0
West African Nations Cup,1986-02-25,Ghana,Togo,2-2
West African Nations Cup,1986-02-25,Liberia,Niger,3-0
West African Nations Cup,1986-02-26,Ghana,Liberia,3-0
West African Nations Cup,1986-02-26,Burkina Faso,Niger,0-0
West African Nations Cup,1986-02-27,Ghana,Burkina Faso,2-0
West African Nations Cup,1986-02-27,Togo,Liberia,1-0
West African Nations Cup,1986-02-28,Niger,Togo,3-1
West African Nations Cup,1986-03-01,Ghana,Burkina Faso,2-0
West African Nations Cup,1986-03-01,Togo,Niger,3-1
West African Nations Cup,1986-03-02,Ghana,Togo,1-0
West African Nations Cup,1986-03-02,Niger,Burkina Faso,2-1
West African Nations Cup,1987-01-30,Liberia,Nigeria,2-0
West African Nations Cup,1987-01-31,Ghana,Ivory Coast,2-0
West African Nations Cup,1987-01-31,Togo,Niger,1-0
West African Nations Cup,1987-02-01,Benin,Nigeria,1-1
West African Nations Cup,1987-02-01,Liberia,Burkina Faso,2-0
West African Nations Cup,1987-02-02,Ghana,Niger,4-0
West African Nations Cup,1987-02-02,Togo,Ivory Coast,1-0
West African Nations Cup,1987-02-03,Nigeria,Burkina Faso,3-0
West African Nations Cup,1987-02-03,Liberia,Benin,0-0
West African Nations Cup,1987-02-04,Ghana,Togo,3-0
West African Nations Cup,1987-02-04,Ivory Coast,Niger,1-0
West African Nations Cup,1987-02-05,Burkina Faso,Benin,3-2
West African Nations Cup,1987-02-06,Ghana,Nigeria,3-1
West African Nations Cup,1987-02-06,Liberia,Togo,3-0
West African Nations Cup,1987-02-08,Nigeria,Togo,3-1
West African Nations Cup,1987-02-08,Liberia,Ghana,1-2
