Matchday,Date,Home,Away,FullTime
World Cup and African Cup qual,2003-10-10,Guinea-Bissau,Mali,1-2
World Cup and African Cup qual,2003-10-11,Tanzania,Kenya,0-0
World Cup and African Cup qual,2003-10-11,Uganda,Mauritius,3-0
World Cup and African Cup qual,2003-10-11,Seychelles,Zambia,0-4
World Cup and African Cup qual,2003-10-11,Madagascar,Benin,1-1
World Cup and African Cup qual,2003-10-11,Equatorial Guinea,Togo,1-0
World Cup and African Cup qual,2003-10-11,São Tomé and Príncipe,Libya,0-1
World Cup and African Cup qual,2003-10-11,Niger,Algeria,0-1
World Cup and African Cup qual,2003-10-11,Botswana,Lesotho,4-1
World Cup and African Cup qual,2003-10-12,Zimbabwe,Mauritania,3-0
World Cup and African Cup qual,2003-10-12,Ethiopia,Malawi,1-3
World Cup and African Cup qual,2003-10-12,Congo,Sierra Leone,1-0
World Cup and African Cup qual,2003-10-12,Gambia,Liberia,2-0
World Cup and African Cup qual,2003-10-12,Burundi,Gabon,0-0
World Cup and African Cup qual,2003-10-12,Sudan,Eritrea,3-0
World Cup and African Cup qual,2003-10-12,Swaziland,Cape Verde,1-1
World Cup and African Cup qual,2003-10-12,Guinea,Mozambique,1-0
World Cup and African Cup qual,2003-10-12,Chad,Angola,3-1
World Cup and African Cup qual,2003-10-12,Rwanda,Namibia,3-0
World Cup and African Cup qual,2003-11-14,Mauritania,Zimbabwe,2-1
World Cup and African Cup qual,2003-11-14,Mali,Guinea-Bissau,2-0
World Cup and African Cup qual,2003-11-14,Algeria,Niger,6-0
World Cup and African Cup qual,2003-11-15,Kenya,Tanzania,3-0
World Cup and African Cup qual,2003-11-15,Zambia,Seychelles,1-1
World Cup and African Cup qual,2003-11-15,Malawi,Ethiopia,0-0
World Cup and African Cup qual,2003-11-15,Gabon,Burundi,4-1
World Cup and African Cup qual,2003-11-15,Namibia,Rwanda,1-1
World Cup and African Cup qual,2003-11-16,Mauritius,Uganda,3-1
World Cup and African Cup qual,2003-11-16,Benin,Madagascar,3-2
World Cup and African Cup qual,2003-11-16,Sierra Leone,Congo,1-1
World Cup and African Cup qual,2003-11-16,Ghana,Somalia,5-0
World Cup and African Cup qual,2003-11-16,Liberia,Gambia,3-0
World Cup and African Cup qual,2003-11-16,Togo,Equatorial Guinea,2-0
World Cup and African Cup qual,2003-11-16,Eritrea,Sudan,0-0
World Cup and African Cup qual,2003-11-16,Libya,São Tomé and Príncipe,8-0
World Cup and African Cup qual,2003-11-16,Cape Verde,Swaziland,3-0
World Cup and African Cup qual,2003-11-16,Mozambique,Guinea,3-4
World Cup and African Cup qual,2003-11-16,Angola,Chad,2-0
World Cup and African Cup qual,2003-11-16,Lesotho,Botswana,0-0
World Cup and African Cup qual,2003-11-19,Ghana,Somalia,2-0
World Cup and African Cup qual,2004-06-05,South Africa,Cape Verde,2-1
World Cup and African Cup qual,2004-06-05,Gabon,Zimbabwe,1-1
World Cup and African Cup qual,2004-06-05,Zambia,Togo,1-0
World Cup and African Cup qual,2004-06-05,Nigeria,Rwanda,2-0
World Cup and African Cup qual,2004-06-05,Burkina Faso,Ghana,1-0
World Cup and African Cup qual,2004-06-05,Tunisia,Botswana,4-1
World Cup and African Cup qual,2004-06-05,Malawi,Morocco,1-1
World Cup and African Cup qual,2004-06-05,Senegal,Congo,2-0
World Cup and African Cup qual,2004-06-05,Algeria,Angola,0-0
World Cup and African Cup qual,2004-06-06,Sudan,Egypt,0-3
World Cup and African Cup qual,2004-06-06,Uganda,DR Congo,1-0
World Cup and African Cup qual,2004-06-06,Ivory Coast,Libya,2-0
World Cup and African Cup qual,2004-06-06,Cameroon,Benin,2-1
World Cup and African Cup qual,2004-06-06,Liberia,Mali,1-0
World Cup and African Cup qual,2004-06-18,Libya,Cameroon,0-0
World Cup and African Cup qual,2004-06-19,Cape Verde,Uganda,1-0
World Cup and African Cup qual,2004-06-19,Mali,Zambia,1-1
World Cup and African Cup qual,2004-06-19,Botswana,Malawi,2-0
World Cup and African Cup qual,2004-06-19,Rwanda,Gabon,3-1
World Cup and African Cup qual,2004-06-20,Egypt,Ivory Coast,1-2
World Cup and African Cup qual,2004-06-20,Ghana,South Africa,3-0
World Cup and African Cup qual,2004-06-20,Zimbabwe,Algeria,1-1
World Cup and African Cup qual,2004-06-20,DR Congo,Burkina Faso,3-2
World Cup and African Cup qual,2004-06-20,Angola,Nigeria,1-0
World Cup and African Cup qual,2004-06-20,Togo,Senegal,3-1
World Cup and African Cup qual,2004-06-20,Benin,Sudan,1-1
World Cup and African Cup qual,2004-06-20,Guinea,Tunisia,2-1
World Cup and African Cup qual,2004-06-20,Congo,Liberia,3-0
World Cup and African Cup qual,2004-07-03,South Africa,Burkina Faso,2-0
World Cup and African Cup qual,2004-07-03,Uganda,Ghana,1-1
World Cup and African Cup qual,2004-07-03,Rwanda,Zimbabwe,0-2
World Cup and African Cup qual,2004-07-03,Senegal,Zambia,1-0
World Cup and African Cup qual,2004-07-03,Cape Verde,DR Congo,1-1
World Cup and African Cup qual,2004-07-03,Nigeria,Algeria,1-0
World Cup and African Cup qual,2004-07-03,Sudan,Libya,0-1
World Cup and African Cup qual,2004-07-03,Malawi,Guinea,1-1
World Cup and African Cup qual,2004-07-03,Botswana,Morocco,0-1
World Cup and African Cup qual,2004-07-03,Gabon,Angola,2-2
World Cup and African Cup qual,2004-07-04,Benin,Egypt,3-3
World Cup and African Cup qual,2004-07-04,Liberia,Togo,0-0
World Cup and African Cup qual,2004-07-04,Cameroon,Ivory Coast,2-0
World Cup and African Cup qual,2004-07-04,Congo,Mali,1-0
World Cup and African Cup qual,2004-09-03,Libya,Benin,4-1
World Cup and African Cup qual,2004-09-04,Kenya,Malawi,3-2
World Cup and African Cup qual,2004-09-04,Burkina Faso,Uganda,2-0
World Cup and African Cup qual,2004-09-04,Zambia,Liberia,1-0
World Cup and African Cup qual,2004-09-04,Morocco,Tunisia,1-1
World Cup and African Cup qual,2004-09-05,Egypt,Cameroon,3-2
World Cup and African Cup qual,2004-09-05,DR Congo,South Africa,1-0
World Cup and African Cup qual,2004-09-05,Zimbabwe,Nigeria,0-3
World Cup and African Cup qual,2004-09-05,Ghana,Cape Verde,2-0
World Cup and African Cup qual,2004-09-05,Togo,Congo,2-0
World Cup and African Cup qual,2004-09-05,Ivory Coast,Sudan,5-0
World Cup and African Cup qual,2004-09-05,Mali,Senegal,2-2
World Cup and African Cup qual,2004-09-05,Algeria,Gabon,0-3
World Cup and African Cup qual,2004-09-05,Guinea,Botswana,4-0
World Cup and African Cup qual,2004-09-05,Angola,Rwanda,1-0
World Cup and African Cup qual,2004-10-08,Libya,Egypt,2-1
World Cup and African Cup qual,2004-10-09,Botswana,Kenya,2-1
World Cup and African Cup qual,2004-10-09,Gabon,Nigeria,1-1
World Cup and African Cup qual,2004-10-09,Sudan,Cameroon,1-1
World Cup and African Cup qual,2004-10-09,Malawi,Tunisia,2-2
World Cup and African Cup qual,2004-10-09,Cape Verde,Burkina Faso,1-0
World Cup and African Cup qual,2004-10-09,Rwanda,Algeria,1-1
World Cup and African Cup qual,2004-10-10,Uganda,South Africa,0-1
World Cup and African Cup qual,2004-10-10,Angola,Zimbabwe,1-0
World Cup and African Cup qual,2004-10-10,Congo,Zambia,2-3
World Cup and African Cup qual,2004-10-10,Ghana,DR Congo,0-0
World Cup and African Cup qual,2004-10-10,Togo,Mali,1-0
World Cup and African Cup qual,2004-10-10,Guinea,Morocco,1-1
World Cup and African Cup qual,2004-10-10,Benin,Ivory Coast,0-1
World Cup and African Cup qual,2004-10-10,Liberia,Senegal,0-3
World Cup and African Cup qual,2004-11-17,Kenya,Guinea,2-1
World Cup and African Cup qual,2005-02-09,Morocco,Kenya,5-1
World Cup and African Cup qual,2005-03-26,South Africa,Uganda,2-1
World Cup and African Cup qual,2005-03-26,Kenya,Botswana,1-0
World Cup and African Cup qual,2005-03-26,Zambia,Congo,2-0
World Cup and African Cup qual,2005-03-26,Nigeria,Gabon,2-0
World Cup and African Cup qual,2005-03-26,Tunisia,Malawi,7-0
World Cup and African Cup qual,2005-03-26,Morocco,Guinea,1-0
World Cup and African Cup qual,2005-03-26,Burkina Faso,Cape Verde,1-2
World Cup and African Cup qual,2005-03-26,Senegal,Liberia,6-1
World Cup and African Cup qual,2005-03-27,Egypt,Libya,4-1
World Cup and African Cup qual,2005-03-27,Zimbabwe,Angola,2-0
World Cup and African Cup qual,2005-03-27,DR Congo,Ghana,1-1
World Cup and African Cup qual,2005-03-27,Mali,Togo,1-2
World Cup and African Cup qual,2005-03-27,Cameroon,Sudan,2-1
World Cup and African Cup qual,2005-03-27,Ivory Coast,Benin,3-0
World Cup and African Cup qual,2005-03-27,Algeria,Rwanda,1-0
World Cup and African Cup qual,2005-06-03,Libya,Ivory Coast,0-0
World Cup and African Cup qual,2005-06-04,Cape Verde,South Africa,1-2
World Cup and African Cup qual,2005-06-04,Botswana,Tunisia,1-3
World Cup and African Cup qual,2005-06-04,Morocco,Malawi,4-1
World Cup and African Cup qual,2005-06-04,Benin,Cameroon,1-4
World Cup and African Cup qual,2005-06-05,Egypt,Sudan,6-1
World Cup and African Cup qual,2005-06-05,Guinea,Kenya,1-0
World Cup and African Cup qual,2005-06-05,DR Congo,Uganda,4-0
World Cup and African Cup qual,2005-06-05,Zimbabwe,Gabon,1-0
World Cup and African Cup qual,2005-06-05,Togo,Zambia,4-1
World Cup and African Cup qual,2005-06-05,Rwanda,Nigeria,1-1
World Cup and African Cup qual,2005-06-05,Ghana,Burkina Faso,2-1
World Cup and African Cup qual,2005-06-05,Mali,Liberia,4-1
World Cup and African Cup qual,2005-06-05,Congo,Senegal,0-0
World Cup and African Cup qual,2005-06-05,Angola,Algeria,2-1
World Cup and African Cup qual,2005-06-11,Tunisia,Guinea,2-0
World Cup and African Cup qual,2005-06-18,South Africa,Ghana,0-2
World Cup and African Cup qual,2005-06-18,Kenya,Morocco,0-0
World Cup and African Cup qual,2005-06-18,Uganda,Cape Verde,1-0
World Cup and African Cup qual,2005-06-18,Zambia,Mali,2-1
World Cup and African Cup qual,2005-06-18,Burkina Faso,DR Congo,2-0
World Cup and African Cup qual,2005-06-18,Nigeria,Angola,1-1
World Cup and African Cup qual,2005-06-18,Senegal,Togo,2-2
World Cup and African Cup qual,2005-06-18,Malawi,Botswana,1-3
World Cup and African Cup qual,2005-06-18,Gabon,Rwanda,3-0
World Cup and African Cup qual,2005-06-19,Ivory Coast,Egypt,2-0
World Cup and African Cup qual,2005-06-19,Algeria,Zimbabwe,2-2
World Cup and African Cup qual,2005-06-19,Cameroon,Libya,1-0
World Cup and African Cup qual,2005-06-19,Liberia,Congo,0-2
World Cup and African Cup qual,2005-08-17,Tunisia,Kenya,1-0
World Cup and African Cup qual,2005-08-17,Sudan,Benin,1-0
World Cup and African Cup qual,2005-09-02,Libya,Sudan,0-0
World Cup and African Cup qual,2005-09-03,Burkina Faso,South Africa,3-1
World Cup and African Cup qual,2005-09-03,Kenya,Tunisia,0-2
World Cup and African Cup qual,2005-09-03,Zambia,Senegal,0-1
World Cup and African Cup qual,2005-09-03,Morocco,Botswana,1-0
World Cup and African Cup qual,2005-09-03,Mali,Congo,2-0
World Cup and African Cup qual,2005-09-04,Egypt,Benin,4-1
World Cup and African Cup qual,2005-09-04,Ghana,Uganda,2-0
World Cup and African Cup qual,2005-09-04,Zimbabwe,Rwanda,3-1
World Cup and African Cup qual,2005-09-04,DR Congo,Cape Verde,2-1
World Cup and African Cup qual,2005-09-04,Algeria,Nigeria,2-5
World Cup and African Cup qual,2005-09-04,Togo,Liberia,3-0
World Cup and African Cup qual,2005-09-04,Guinea,Malawi,3-1
