Matchday,Date,Home,Away,FullTime
Arab Cup,1963-03-31,Lebanon,Kuwait,6-0
Arab Cup,1963-03-31,Syria,Jordan,4-0
Arab Cup,1963-04-02,Tunisia,Syria,1-0
Arab Cup,1963-04-02,Kuwait,Jordan,4-0
Arab Cup,1963-04-04,Lebanon,Syria,2-3
Arab Cup,1963-04-04,Tunisia,Jordan,4-0
Arab Cup,1963-04-06,Lebanon,Jordan,5-0
Arab Cup,1963-04-06,Tunisia,Kuwait,5-1
Arab Cup,1963-04-07,Lebanon,Tunisia,0-1
Arab Cup,1963-04-07,Syria,Kuwait,4-0
Arab Cup,1964-11-13,Jordan,Lebanon,0-0
Arab Cup,1964-11-13,Kuwait,Iraq,0-1
Arab Cup,1964-11-14,Libya,Lebanon,2-1
Arab Cup,1964-11-15,Kuwait,Jordan,2-0
Arab Cup,1964-11-16,Iraq,Jordan,3-1
Arab Cup,1964-11-16,Kuwait,Libya,1-1
Arab Cup,1964-11-18,Iraq,Lebanon,1-0
Arab Cup,1964-11-18,Libya,Jordan,5-2
Arab Cup,1964-11-20,Kuwait,Lebanon,2-3
Arab Cup,1964-11-20,Iraq,Libya,1-1
Arab Cup,1966-04-01,Iraq,Lebanon,0-0
Arab Cup,1966-04-01,Bahrain,Kuwait,4-4
Arab Cup,1966-04-01,Libya,Oman,21-0
Arab Cup,1966-04-02,Syria,North Yemen,4-1
Arab Cup,1966-04-02,Jordan,Kuwait,2-2
Arab Cup,1966-04-02,Libya,Palestine,0-0
Arab Cup,1966-04-03,Lebanon,Bahrain,6-1
Arab Cup,1966-04-03,Iraq,Jordan,2-1
Arab Cup,1966-04-04,Lebanon,Jordan,2-1
Arab Cup,1966-04-04,Libya,Syria,0-0
Arab Cup,1966-04-04,Iraq,Kuwait,3-1
Arab Cup,1966-04-04,Palestine,North Yemen,7-0
Arab Cup,1966-04-05,Iraq,Bahrain,10-1
Arab Cup,1966-04-06,Lebanon,Kuwait,2-1
Arab Cup,1966-04-06,Syria,Palestine,3-1
Arab Cup,1966-04-06,Jordan,Bahrain,2-1
Arab Cup,1966-04-06,Libya,North Yemen,14-0
Arab Cup,1966-04-08,Syria,Lebanon,1-0
Arab Cup,1966-04-08,Iraq,Libya,3-1
Arab Cup,1966-04-10,Libya,Lebanon,6-1
Arab Cup,1966-04-10,Iraq,Syria,2-1
Arab Cup,1985-07-03,Saudi Arabia,Jordan,4-0
Arab Cup,1985-07-04,Bahrain,Iraq,1-1
Arab Cup,1985-07-05,Qatar,Jordan,2-0
Arab Cup,1985-07-06,Bahrain,Mauritania,2-0
Arab Cup,1985-07-07,Saudi Arabia,Qatar,1-0
Arab Cup,1985-07-08,Iraq,Mauritania,2-0
Arab Cup,1985-07-10,Saudi Arabia,Iraq,2-3
Arab Cup,1985-07-10,Bahrain,Qatar,1-1
Arab Cup,1985-07-12,Iraq,Bahrain,1-0
Arab Cup,1985-07-12,Saudi Arabia,Qatar,0-0
