Matchday,Date,Home,Away,FullTime
Asian Cup,1956-09-01,Hong Kong,Israel,2-3
Asian Cup,1956-09-06,Hong Kong,South Korea,2-2
Asian Cup,1956-09-08,South Korea,Israel,2-1
Asian Cup,1956-09-09,Hong Kong,South Vietnam,2-2
Asian Cup,1956-09-12,Israel,South Vietnam,2-1
Asian Cup,1956-09-15,South Korea,South Vietnam,5-3
Asian Cup,1960-10-14,South Korea,South Vietnam,5-1
Asian Cup,1960-10-16,Taiwan,South Vietnam,2-0
Asian Cup,1960-10-17,South Korea,Israel,3-0
Asian Cup,1960-10-19,Israel,South Vietnam,5-1
Asian Cup,1960-10-21,South Korea,Taiwan,1-0
Asian Cup,1960-10-23,Israel,Taiwan,1-0
Asian Cup,1964-05-26,Israel,Hong Kong,1-0
Asian Cup,1964-05-27,India,South Korea,2-0
Asian Cup,1964-05-29,Israel,India,2-0
Asian Cup,1964-05-31,South Korea,Hong Kong,1-0
Asian Cup,1964-06-02,India,Hong Kong,3-1
Asian Cup,1964-06-03,Israel,South Korea,2-1
Asian Cup,1968-05-10,Iran,Hong Kong,2-0
Asian Cup,1968-05-11,Burma,Taiwan,1-1
Asian Cup,1968-05-12,Israel,Hong Kong,6-1
Asian Cup,1968-05-13,Iran,Taiwan,4-0
Asian Cup,1968-05-14,Burma,Israel,1-0
Asian Cup,1968-05-15,Hong Kong,Taiwan,1-1
Asian Cup,1968-05-16,Iran,Burma,3-1
Asian Cup,1968-05-17,Israel,Taiwan,4-1
Asian Cup,1968-05-18,Burma,Hong Kong,2-0
Asian Cup,1968-05-19,Iran,Israel,2-1
Asian Cup,1972-05-07,Iran,Khmer Republic,2-0
Asian Cup,1972-05-07,Iraq,South Korea,0-0
Asian Cup,1972-05-08,Thailand,Kuwait,0-2
Asian Cup,1972-05-09,Iran,Iraq,3-0
Asian Cup,1972-05-10,South Korea,Khmer Republic,4-1
Asian Cup,1972-05-11,Thailand,Iraq,1-1
Asian Cup,1972-05-12,Kuwait,South Korea,2-1
Asian Cup,1972-05-13,Thailand,Iran,2-3
Asian Cup,1972-05-14,Khmer Republic,Kuwait,4-0
Asian Cup,1972-05-16,Iran,Khmer Republic,2-1
Asian Cup,1972-05-17,Thailand,South Korea,1-1
Asian Cup,1972-05-19,Iran,South Korea,2-1
Asian Cup,1972-05-19,Thailand,Khmer Republic,2-2
Asian Cup,1976-06-03,Kuwait,Malaysia,2-0
Asian Cup,1976-06-04,Iran,Iraq,2-0
Asian Cup,1976-06-05,China,Malaysia,1-1
Asian Cup,1976-06-06,Iraq,South Yemen,1-0
Asian Cup,1976-06-07,Kuwait,China,1-0
Asian Cup,1976-06-08,Iran,South Yemen,8-0
Asian Cup,1976-06-11,Iran,China,2-0
Asian Cup,1976-06-11,Kuwait,Iraq,3-2
Asian Cup,1976-06-13,China,Iraq,1-0
Asian Cup,1976-06-13,Iran,Kuwait,1-0
Asian Cup,1980-09-15,Kuwait,United Arab Emirates,1-1
Asian Cup,1980-09-16,Malaysia,South Korea,1-1
Asian Cup,1980-09-16,North Korea,Bangladesh,3-2
Asian Cup,1980-09-17,Iran,Syria,0-0
Asian Cup,1980-09-17,Qatar,United Arab Emirates,2-1
Asian Cup,1980-09-18,North Korea,China,2-1
Asian Cup,1980-09-18,Kuwait,Malaysia,3-1
Asian Cup,1980-09-19,South Korea,Qatar,2-0
Asian Cup,1980-09-19,Syria,Bangladesh,1-0
Asian Cup,1980-09-20,China,Iran,2-2
Asian Cup,1980-09-20,Malaysia,United Arab Emirates,2-0
Asian Cup,1980-09-21,Kuwait,South Korea,0-3
Asian Cup,1980-09-22,Iran,Bangladesh,7-0
Asian Cup,1980-09-23,Syria,China,1-0
Asian Cup,1980-09-23,Malaysia,Qatar,1-1
Asian Cup,1980-09-24,Iran,North Korea,3-2
Asian Cup,1980-09-24,South Korea,United Arab Emirates,4-1
Asian Cup,1980-09-25,China,Bangladesh,6-0
Asian Cup,1980-09-25,Kuwait,Qatar,4-0
Asian Cup,1980-09-26,North Korea,Syria,2-1
Asian Cup,1980-09-28,Kuwait,Iran,2-1
Asian Cup,1980-09-28,South Korea,North Korea,2-1
Asian Cup,1980-09-29,Iran,North Korea,3-0
Asian Cup,1980-09-30,Kuwait,South Korea,3-0
Asian Cup,1984-12-01,Iran,United Arab Emirates,3-0
Asian Cup,1984-12-01,Qatar,Syria,1-1
Asian Cup,1984-12-02,Singapore,India,2-0
Asian Cup,1984-12-02,Saudi Arabia,South Korea,1-1
Asian Cup,1984-12-03,Iran,China,2-0
Asian Cup,1984-12-03,Kuwait,Qatar,1-0
Asian Cup,1984-12-04,United Arab Emirates,India,2-0
Asian Cup,1984-12-04,Saudi Arabia,Syria,1-0
Asian Cup,1984-12-05,Singapore,China,0-2
Asian Cup,1984-12-05,Kuwait,South Korea,0-0
Asian Cup,1984-12-07,India,Iran,0-0
Asian Cup,1984-12-07,Syria,South Korea,1-0
Asian Cup,1984-12-08,Singapore,United Arab Emirates,0-1
Asian Cup,1984-12-08,Qatar,Saudi Arabia,1-1
Asian Cup,1984-12-09,China,India,3-0
Asian Cup,1984-12-09,Kuwait,Syria,3-1
Asian Cup,1984-12-10,Singapore,Iran,1-1
Asian Cup,1984-12-10,Qatar,South Korea,1-0
Asian Cup,1984-12-11,China,United Arab Emirates,5-0
Asian Cup,1984-12-11,Saudi Arabia,Kuwait,1-0
Asian Cup,1984-12-13,Iran,Saudi Arabia,1-1
Asian Cup,1984-12-14,China,Kuwait,1-0
Asian Cup,1984-12-16,Saudi Arabia,China,2-0
Asian Cup,1984-12-16,Iran,Kuwait,1-1
Asian Cup,1988-12-02,Qatar,Iran,0-2
Asian Cup,1988-12-02,Saudi Arabia,Syria,2-0
Asian Cup,1988-12-03,South Korea,United Arab Emirates,1-0
Asian Cup,1988-12-03,Bahrain,Kuwait,0-0
Asian Cup,1988-12-04,Iran,Japan,0-0
Asian Cup,1988-12-04,China,Syria,3-0
Asian Cup,1988-12-05,Kuwait,Saudi Arabia,0-0
Asian Cup,1988-12-05,Qatar,United Arab Emirates,2-1
Asian Cup,1988-12-06,South Korea,Japan,2-0
Asian Cup,1988-12-06,China,Bahrain,1-0
Asian Cup,1988-12-08,Iran,United Arab Emirates,1-0
Asian Cup,1988-12-08,Syria,Kuwait,1-0
Asian Cup,1988-12-09,Qatar,South Korea,2-3
Asian Cup,1988-12-09,Bahrain,Saudi Arabia,1-1
Asian Cup,1988-12-10,United Arab Emirates,Japan,1-0
Asian Cup,1988-12-10,China,Kuwait,2-2
Asian Cup,1988-12-11,South Korea,Iran,3-0
Asian Cup,1988-12-11,Syria,Bahrain,1-0
Asian Cup,1988-12-12,Qatar,Japan,3-0
Asian Cup,1988-12-12,Saudi Arabia,China,1-0
Asian Cup,1988-12-14,South Korea,China,2-1
Asian Cup,1988-12-15,Saudi Arabia,Iran,1-0
Asian Cup,1988-12-17,China,Iran,0-0
Asian Cup,1988-12-18,Saudi Arabia,South Korea,0-0
Asian Cup,1992-10-29,China,Saudi Arabia,1-1
Asian Cup,1992-10-29,Qatar,Thailand,1-1
Asian Cup,1992-10-30,Japan,United Arab Emirates,0-0
Asian Cup,1992-10-30,Iran,North Korea,2-0
Asian Cup,1992-10-31,China,Thailand,0-0
Asian Cup,1992-10-31,Qatar,Saudi Arabia,1-1
Asian Cup,1992-11-01,Japan,North Korea,1-1
Asian Cup,1992-11-01,Iran,United Arab Emirates,0-0
Asian Cup,1992-11-02,China,Qatar,2-1
Asian Cup,1992-11-02,Saudi Arabia,Thailand,4-0
Asian Cup,1992-11-03,Japan,Iran,1-0
Asian Cup,1992-11-03,United Arab Emirates,North Korea,2-1
Asian Cup,1992-11-06,Japan,China,3-2
Asian Cup,1992-11-06,Saudi Arabia,United Arab Emirates,2-0
Asian Cup,1992-11-08,Japan,Saudi Arabia,1-0
Asian Cup,1992-11-08,China,United Arab Emirates,1-1
Asian Cup,1996-12-04,Indonesia,Kuwait,2-2
Asian Cup,1996-12-04,United Arab Emirates,South Korea,1-1
Asian Cup,1996-12-05,Iraq,Iran,2-1
Asian Cup,1996-12-05,Saudi Arabia,Thailand,6-0
Asian Cup,1996-12-06,Japan,Syria,2-1
Asian Cup,1996-12-06,Uzbekistan,China,2-0
Asian Cup,1996-12-07,South Korea,Indonesia,4-2
Asian Cup,1996-12-07,United Arab Emirates,Kuwait,3-2
Asian Cup,1996-12-08,Iran,Thailand,3-1
Asian Cup,1996-12-08,Saudi Arabia,Iraq,1-0
Asian Cup,1996-12-09,Japan,Uzbekistan,4-0
Asian Cup,1996-12-09,China,Syria,3-0
Asian Cup,1996-12-10,United Arab Emirates,Indonesia,2-0
Asian Cup,1996-12-10,Kuwait,South Korea,2-0
Asian Cup,1996-12-11,Iran,Saudi Arabia,3-0
Asian Cup,1996-12-11,Iraq,Thailand,4-1
Asian Cup,1996-12-12,Japan,China,1-0
Asian Cup,1996-12-12,Syria,Uzbekistan,2-1
Asian Cup,1996-12-15,Kuwait,Japan,2-0
Asian Cup,1996-12-15,United Arab Emirates,Iraq,1-0
Asian Cup,1996-12-16,Saudi Arabia,China,4-3
Asian Cup,1996-12-16,Iran,South Korea,6-2
Asian Cup,1996-12-18,Iran,Saudi Arabia,0-0
Asian Cup,1996-12-18,United Arab Emirates,Kuwait,1-0
Asian Cup,1996-12-21,Iran,Kuwait,1-1
Asian Cup,1996-12-21,United Arab Emirates,Saudi Arabia,0-0
Asian Cup,2000-10-12,Lebanon,Iran,0-4
Asian Cup,2000-10-12,Iraq,Thailand,2-0
Asian Cup,2000-10-13,China,South Korea,2-2
Asian Cup,2000-10-13,Indonesia,Kuwait,0-0
Asian Cup,2000-10-14,Japan,Saudi Arabia,4-1
Asian Cup,2000-10-14,Qatar,Uzbekistan,1-1
Asian Cup,2000-10-15,Lebanon,Iraq,2-2
Asian Cup,2000-10-15,Iran,Thailand,1-1
Asian Cup,2000-10-16,China,Indonesia,4-0
