Matchday,Date,Home,Away,FullTime
Asian Cup & Asian Chlg Cup q,2008-04-02,Taiwan,Pakistan,1-2
Asian Cup & Asian Chlg Cup q,2008-04-02,Sri Lanka,Guam,5-1
Asian Cup & Asian Chlg Cup q,2008-04-04,Taiwan,Guam,4-1
Asian Cup & Asian Chlg Cup q,2008-04-04,Sri Lanka,Pakistan,7-1
Asian Cup & Asian Chlg Cup q,2008-04-06,Taiwan,Sri Lanka,2-2
Asian Cup & Asian Chlg Cup q,2008-04-06,Pakistan,Guam,9-2
Asian Cup & Asian Chlg Cup q,2008-05-05,Afghanistan,Bangladesh,0-0
Asian Cup & Asian Chlg Cup q,2008-05-07,Kyrgyzstan,Afghanistan,0-1
Asian Cup & Asian Chlg Cup q,2008-05-09,Kyrgyzstan,Bangladesh,2-1
Asian Cup & Asian Chlg Cup q,2008-05-13,Philippines,Brunei,1-0
Asian Cup & Asian Chlg Cup q,2008-05-13,Tajikistan,Bhutan,3-1
Asian Cup & Asian Chlg Cup q,2008-05-15,Philippines,Tajikistan,0-0
Asian Cup & Asian Chlg Cup q,2008-05-15,Bhutan,Brunei,1-1
Asian Cup & Asian Chlg Cup q,2008-05-17,Philippines,Bhutan,3-0
Asian Cup & Asian Chlg Cup q,2008-05-17,Tajikistan,Brunei,4-0
Asian Cup & Asian Chlg Cup q,2008-05-24,Nepal,Macao,3-2
Asian Cup & Asian Chlg Cup q,2008-05-26,Cambodia,Nepal,0-1
Asian Cup & Asian Chlg Cup q,2008-05-28,Cambodia,Macao,3-1
Asian Cup & Asian Chlg Cup q,2009-03-26,Nepal,Palestine,0-0
Asian Cup & Asian Chlg Cup q,2009-03-28,Nepal,Kyrgyzstan,1-1
Asian Cup & Asian Chlg Cup q,2009-03-30,Kyrgyzstan,Palestine,1-1
Asian Cup & Asian Chlg Cup q,2009-04-04,Pakistan,Taiwan,1-1
Asian Cup & Asian Chlg Cup q,2009-04-04,Sri Lanka,Brunei,5-1
Asian Cup & Asian Chlg Cup q,2009-04-06,Sri Lanka,Taiwan,2-1
Asian Cup & Asian Chlg Cup q,2009-04-06,Pakistan,Brunei,6-0
Asian Cup & Asian Chlg Cup q,2009-04-07,Macao,Mongolia,2-0
Asian Cup & Asian Chlg Cup q,2009-04-08,Taiwan,Brunei,5-0
Asian Cup & Asian Chlg Cup q,2009-04-08,Sri Lanka,Pakistan,2-2
Asian Cup & Asian Chlg Cup q,2009-04-14,Philippines,Bhutan,1-0
Asian Cup & Asian Chlg Cup q,2009-04-14,Mongolia,Macao,3-1
Asian Cup & Asian Chlg Cup q,2009-04-14,Maldives,Turkmenistan,1-3
Asian Cup & Asian Chlg Cup q,2009-04-16,Maldives,Philippines,3-2
Asian Cup & Asian Chlg Cup q,2009-04-16,Turkmenistan,Bhutan,7-0
Asian Cup & Asian Chlg Cup q,2009-04-18,Turkmenistan,Philippines,5-0
Asian Cup & Asian Chlg Cup q,2009-04-18,Maldives,Bhutan,5-0
Asian Cup & Asian Chlg Cup q,2009-04-26,Myanmar,Macao,4-0
Asian Cup & Asian Chlg Cup q,2009-04-26,Bangladesh,Cambodia,1-0
Asian Cup & Asian Chlg Cup q,2009-04-28,Cambodia,Macao,2-1
Asian Cup & Asian Chlg Cup q,2009-04-28,Bangladesh,Myanmar,1-2
