Matchday,Date,Home,Away,FullTime
Asian Cup q & Asian Chlg Cup,2008-07-30,India,Afghanistan,1-0
Asian Cup q & Asian Chlg Cup,2008-07-30,Tajikistan,Turkmenistan,0-0
Asian Cup q & Asian Chlg Cup,2008-07-31,Myanmar,Nepal,3-0
Asian Cup q & Asian Chlg Cup,2008-07-31,North Korea,Sri Lanka,3-0
Asian Cup q & Asian Chlg Cup,2008-08-01,India,Tajikistan,1-1
Asian Cup q & Asian Chlg Cup,2008-08-01,Turkmenistan,Afghanistan,5-0
Asian Cup q & Asian Chlg Cup,2008-08-02,Myanmar,Sri Lanka,3-1
Asian Cup q & Asian Chlg Cup,2008-08-02,North Korea,Nepal,1-0
Asian Cup q & Asian Chlg Cup,2008-08-03,India,Turkmenistan,2-1
Asian Cup q & Asian Chlg Cup,2008-08-03,Tajikistan,Afghanistan,4-0
Asian Cup q & Asian Chlg Cup,2008-08-04,North Korea,Myanmar,1-0
Asian Cup q & Asian Chlg Cup,2008-08-04,Nepal,Sri Lanka,3-0
Asian Cup q & Asian Chlg Cup,2008-08-07,India,Myanmar,1-0
Asian Cup q & Asian Chlg Cup,2008-08-07,Tajikistan,North Korea,1-0
Asian Cup q & Asian Chlg Cup,2008-08-13,India,Tajikistan,4-1
Asian Cup q & Asian Chlg Cup,2008-08-13,North Korea,Myanmar,4-0
Asian Cup q & Asian Chlg Cup,2010-02-16,Sri Lanka,Myanmar,0-4
Asian Cup q & Asian Chlg Cup,2010-02-16,Bangladesh,Tajikistan,2-1
Asian Cup q & Asian Chlg Cup,2010-02-17,Kyrgyzstan,India,2-1
Asian Cup q & Asian Chlg Cup,2010-02-17,North Korea,Turkmenistan,1-1
Asian Cup q & Asian Chlg Cup,2010-02-18,Myanmar,Bangladesh,2-1
Asian Cup q & Asian Chlg Cup,2010-02-18,Sri Lanka,Tajikistan,1-3
Asian Cup q & Asian Chlg Cup,2010-02-19,Turkmenistan,India,1-0
Asian Cup q & Asian Chlg Cup,2010-02-19,North Korea,Kyrgyzstan,4-0
Asian Cup q & Asian Chlg Cup,2010-02-20,Tajikistan,Myanmar,3-0
Asian Cup q & Asian Chlg Cup,2010-02-20,Sri Lanka,Bangladesh,3-0
Asian Cup q & Asian Chlg Cup,2010-02-21,North Korea,India,3-0
Asian Cup q & Asian Chlg Cup,2010-02-21,Turkmenistan,Kyrgyzstan,1-0
Asian Cup q & Asian Chlg Cup,2010-02-24,North Korea,Myanmar,5-0
Asian Cup q & Asian Chlg Cup,2010-02-24,Turkmenistan,Tajikistan,2-0
Asian Cup q & Asian Chlg Cup,2010-02-27,Tajikistan,Myanmar,1-0
Asian Cup q & Asian Chlg Cup,2010-02-27,North Korea,Turkmenistan,1-1
Asian Cup q & Asian Chlg Cup,2012-03-08,Nepal,Palestine,0-2
Asian Cup q & Asian Chlg Cup,2012-03-08,Turkmenistan,Maldives,3-1
Asian Cup q & Asian Chlg Cup,2012-03-09,North Korea,Philippines,2-0
Asian Cup q & Asian Chlg Cup,2012-03-09,Tajikistan,India,2-0
Asian Cup q & Asian Chlg Cup,2012-03-10,Palestine,Turkmenistan,0-0
Asian Cup q & Asian Chlg Cup,2012-03-10,Nepal,Maldives,0-1
Asian Cup q & Asian Chlg Cup,2012-03-11,Philippines,India,2-0
Asian Cup q & Asian Chlg Cup,2012-03-11,North Korea,Tajikistan,2-0
Asian Cup q & Asian Chlg Cup,2012-03-12,Palestine,Maldives,2-0
Asian Cup q & Asian Chlg Cup,2012-03-12,Nepal,Turkmenistan,0-3
Asian Cup q & Asian Chlg Cup,2012-03-13,Philippines,Tajikistan,2-1
Asian Cup q & Asian Chlg Cup,2012-03-13,North Korea,India,4-0
Asian Cup q & Asian Chlg Cup,2012-03-16,Turkmenistan,Philippines,2-1
Asian Cup q & Asian Chlg Cup,2012-03-16,North Korea,Palestine,2-0
Asian Cup q & Asian Chlg Cup,2012-03-19,Philippines,Palestine,4-3
Asian Cup q & Asian Chlg Cup,2012-03-19,North Korea,Turkmenistan,2-1
Asian Cup q & Asian Chlg Cup,2014-05-19,Maldives,Myanmar,2-3
Asian Cup q & Asian Chlg Cup,2014-05-19,Palestine,Kyrgyzstan,1-0
Asian Cup q & Asian Chlg Cup,2014-05-20,Afghanistan,Philippines,0-0
Asian Cup q & Asian Chlg Cup,2014-05-20,Turkmenistan,Laos,5-1
Asian Cup q & Asian Chlg Cup,2014-05-21,Palestine,Myanmar,2-0
Asian Cup q & Asian Chlg Cup,2014-05-21,Maldives,Kyrgyzstan,2-0
Asian Cup q & Asian Chlg Cup,2014-05-22,Philippines,Laos,2-0
Asian Cup q & Asian Chlg Cup,2014-05-22,Afghanistan,Turkmenistan,3-1
Asian Cup q & Asian Chlg Cup,2014-05-23,Kyrgyzstan,Myanmar,1-0
Asian Cup q & Asian Chlg Cup,2014-05-23,Maldives,Palestine,0-0
Asian Cup q & Asian Chlg Cup,2014-05-24,Philippines,Turkmenistan,2-0
Asian Cup q & Asian Chlg Cup,2014-05-24,Afghanistan,Laos,0-0
Asian Cup q & Asian Chlg Cup,2014-05-27,Maldives,Philippines,2-3
Asian Cup q & Asian Chlg Cup,2014-05-27,Palestine,Afghanistan,2-0
Asian Cup q & Asian Chlg Cup,2014-05-29,Maldives,Afghanistan,1-1
Asian Cup q & Asian Chlg Cup,2014-05-30,Palestine,Philippines,1-0
