Matchday,Date,Home,Away,FullTime
Asian Cup qualifier,1956-02-25,Philippines,South Korea,0-2
Asian Cup qualifier,1956-03-17,Malaya,Cambodia,9-2
Asian Cup qualifier,1956-04-21,South Korea,Philippines,3-0
Asian Cup qualifier,1956-04-24,Cambodia,Malaya,3-2
Asian Cup qualifier,1956-05-03,South Vietnam,Malaya,4-0
Asian Cup qualifier,1956-05-24,Malaya,South Vietnam,3-3
Asian Cup qualifier,1956-08-26,South Korea,Taiwan,2-0
Asian Cup qualifier,1956-09-02,Taiwan,South Korea,1-2
Asian Cup qualifier,1959-03-29,Philippines,Hong Kong,0-7
Asian Cup qualifier,1959-03-31,Philippines,Taiwan,4-7
Asian Cup qualifier,1959-04-03,Taiwan,Hong Kong,7-4
Asian Cup qualifier,1959-05-09,Singapore,South Vietnam,1-4
Asian Cup qualifier,1959-05-11,Singapore,Malaya,2-5
Asian Cup qualifier,1959-05-13,South Vietnam,Malaya,1-0
Asian Cup qualifier,1959-12-05,Iran,Israel,3-0
Asian Cup qualifier,1959-12-07,India,Pakistan,1-0
Asian Cup qualifier,1959-12-08,India,Israel,1-3
Asian Cup qualifier,1959-12-09,Pakistan,Iran,4-1
Asian Cup qualifier,1959-12-10,Israel,Pakistan,2-0
Asian Cup qualifier,1959-12-11,India,Iran,3-1
Asian Cup qualifier,1959-12-12,Iran,Israel,1-1
Asian Cup qualifier,1959-12-13,India,Pakistan,0-1
Asian Cup qualifier,1959-12-15,Iran,Pakistan,4-1
Asian Cup qualifier,1959-12-16,India,Israel,1-2
Asian Cup qualifier,1959-12-17,Israel,Pakistan,2-2
Asian Cup qualifier,1959-12-18,India,Iran,1-2
Asian Cup qualifier,1963-12-07,South Vietnam,Malaysia,5-3
Asian Cup qualifier,1963-12-07,Hong Kong,Thailand,3-3
Asian Cup qualifier,1963-12-11,South Vietnam,Hong Kong,1-4
Asian Cup qualifier,1963-12-11,Malaysia,Thailand,3-1
Asian Cup qualifier,1963-12-14,South Vietnam,Thailand,3-0
Asian Cup qualifier,1963-12-14,Hong Kong,Malaysia,4-3
Asian Cup qualifier,1967-03-22,Hong Kong,South Vietnam,2-0
Asian Cup qualifier,1967-03-24,South Vietnam,Thailand,1-0
Asian Cup qualifier,1967-03-24,Malaysia,Singapore,1-1
Asian Cup qualifier,1967-03-26,Hong Kong,Malaysia,3-1
Asian Cup qualifier,1967-03-26,Thailand,Singapore,4-1
Asian Cup qualifier,1967-03-29,Malaysia,South Vietnam,2-0
Asian Cup qualifier,1967-03-29,Hong Kong,Singapore,2-0
Asian Cup qualifier,1967-03-31,Thailand,Malaysia,1-0
Asian Cup qualifier,1967-04-02,South Vietnam,Singapore,3-0
Asian Cup qualifier,1967-04-02,Hong Kong,Thailand,2-0
Asian Cup qualifier,1967-07-28,Taiwan,Philippines,9-0
Asian Cup qualifier,1967-07-29,Indonesia,South Korea,1-1
Asian Cup qualifier,1967-07-30,Taiwan,Japan,2-2
Asian Cup qualifier,1967-08-01,Japan,South Korea,2-1
Asian Cup qualifier,1967-08-01,Indonesia,Philippines,6-0
Asian Cup qualifier,1967-08-03,Japan,Philippines,2-0
Asian Cup qualifier,1967-08-03,Taiwan,Indonesia,3-2
Asian Cup qualifier,1967-08-05,South Korea,Philippines,7-0
Asian Cup qualifier,1967-08-06,Japan,Indonesia,2-1
Asian Cup qualifier,1967-08-07,Taiwan,South Korea,1-0
Asian Cup qualifier,1967-11-12,Burma,India,2-0
Asian Cup qualifier,1967-11-13,Cambodia,Pakistan,1-0
Asian Cup qualifier,1967-11-15,India,Pakistan,1-1
Asian Cup qualifier,1967-11-16,Burma,Cambodia,1-0
Asian Cup qualifier,1967-11-18,Cambodia,India,3-1
Asian Cup qualifier,1967-11-19,Burma,Pakistan,2-0
Asian Cup qualifier,1971-05-21,Thailand,Khmer Republic,1-1
Asian Cup qualifier,1971-05-22,Indonesia,Hong Kong,2-1
Asian Cup qualifier,1971-05-22,Malaysia,Brunei,8-0
Asian Cup qualifier,1971-05-24,Khmer Republic,Hong Kong,2-1
Asian Cup qualifier,1971-05-24,Thailand,Brunei,10-0
Asian Cup qualifier,1971-05-26,Thailand,Indonesia,0-1
Asian Cup qualifier,1971-05-26,Malaysia,Khmer Republic,2-1
Asian Cup qualifier,1971-05-28,Indonesia,Brunei,9-0
Asian Cup qualifier,1971-05-28,Malaysia,Hong Kong,2-1
Asian Cup qualifier,1971-05-30,Khmer Republic,Indonesia,2-0
Asian Cup qualifier,1971-05-30,Thailand,Malaysia,1-0
Asian Cup qualifier,1971-06-01,Malaysia,Indonesia,3-0
Asian Cup qualifier,1971-06-01,Thailand,Khmer Republic,4-2
Asian Cup qualifier,1971-12-10,Kuwait,Iraq,1-1
Asian Cup qualifier,1971-12-11,Bahrain,Lebanon,3-0
Asian Cup qualifier,1971-12-11,Jordan,Syria,0-0
Asian Cup qualifier,1971-12-13,Iraq,Ceylon,5-0
Asian Cup qualifier,1971-12-13,Jordan,Bahrain,3-2
Asian Cup qualifier,1971-12-14,Kuwait,Lebanon,1-0
Asian Cup qualifier,1971-12-15,Iraq,Bahrain,1-0
Asian Cup qualifier,1971-12-16,Jordan,Ceylon,2-1
Asian Cup qualifier,1971-12-17,Kuwait,Syria,2-2
Asian Cup qualifier,1971-12-18,Iraq,Jordan,2-0
Asian Cup qualifier,1971-12-19,Lebanon,Syria,3-2
Asian Cup qualifier,1971-12-20,Bahrain,Ceylon,3-0
Asian Cup qualifier,1971-12-21,Kuwait,Jordan,2-0
Asian Cup qualifier,1971-12-22,Iraq,Lebanon,4-1
Asian Cup qualifier,1971-12-24,Lebanon,Jordan,2-0
Asian Cup qualifier,1971-12-24,Kuwait,Iraq,0-1
Asian Cup qualifier,1975-03-15,Thailand,Indonesia,3-1
Asian Cup qualifier,1975-03-16,Malaysia,South Korea,2-1
Asian Cup qualifier,1975-03-17,Indonesia,South Vietnam,2-1
Asian Cup qualifier,1975-03-18,Thailand,Malaysia,0-1
Asian Cup qualifier,1975-03-19,South Korea,South Vietnam,1-0
Asian Cup qualifier,1975-03-20,Indonesia,Malaysia,0-0
Asian Cup qualifier,1975-03-21,Thailand,South Vietnam,4-0
Asian Cup qualifier,1975-03-22,South Korea,Indonesia,1-0
Asian Cup qualifier,1975-03-23,Malaysia,South Vietnam,3-0
Asian Cup qualifier,1975-03-24,Thailand,South Korea,1-0
Asian Cup qualifier,1975-06-14,Hong Kong,Japan,0-0
Asian Cup qualifier,1975-06-15,China,North Korea,1-0
Asian Cup qualifier,1975-06-15,Singapore,Brunei,6-0
Asian Cup qualifier,1975-06-17,North Korea,Japan,1-0
