Matchday,Date,Home,Away,FullTime
Asian Games,1951-03-05,India,Indonesia,3-0
Asian Games,1951-03-05,Iran,Burma,2-0
Asian Games,1951-03-07,Iran,Japan,0-0
Asian Games,1951-03-07,India,Afghanistan,3-0
Asian Games,1951-03-08,Iran,Japan,3-2
Asian Games,1951-03-09,Japan,Afghanistan,2-0
Asian Games,1951-03-10,India,Iran,1-0
Asian Games,1954-05-01,Indonesia,Japan,5-3
Asian Games,1954-05-01,Taiwan,South Vietnam,3-2
Asian Games,1954-05-02,Hong Kong,South Korea,3-3
Asian Games,1954-05-02,Pakistan,Singapore,6-2
Asian Games,1954-05-03,India,Japan,3-2
Asian Games,1954-05-03,Philippines,South Vietnam,2-3
Asian Games,1954-05-04,South Korea,Afghanistan,8-2
Asian Games,1954-05-04,Burma,Singapore,1-1
Asian Games,1954-05-05,Indonesia,India,4-0
Asian Games,1954-05-05,Burma,Pakistan,2-1
Asian Games,1954-05-06,Philippines,Taiwan,0-4
Asian Games,1954-05-06,Hong Kong,Afghanistan,4-2
Asian Games,1954-05-07,Taiwan,Indonesia,4-2
Asian Games,1954-05-07,Burma,South Korea,2-2
Asian Games,1954-05-08,Burma,Indonesia,5-4
Asian Games,1954-05-08,Taiwan,South Korea,5-2
Asian Games,1958-05-25,Hong Kong,Philippines,4-1
Asian Games,1958-05-25,Indonesia,Burma,4-2
Asian Games,1958-05-25,Pakistan,South Vietnam,1-1
Asian Games,1958-05-25,Taiwan,Malaya,2-1
Asian Games,1958-05-26,Japan,Philippines,0-1
Asian Games,1958-05-26,India,Burma,3-2
Asian Games,1958-05-26,Israel,Iran,4-0
Asian Games,1958-05-26,South Korea,Singapore,2-1
Asian Games,1958-05-27,South Vietnam,Malaya,6-1
Asian Games,1958-05-27,Taiwan,Pakistan,3-1
Asian Games,1958-05-28,Japan,Hong Kong,0-2
Asian Games,1958-05-28,Indonesia,India,2-1
Asian Games,1958-05-28,South Korea,Iran,5-0
Asian Games,1958-05-28,Israel,Singapore,2-1
Asian Games,1958-05-30,Indonesia,Philippines,5-2
Asian Games,1958-05-30,India,Hong Kong,5-2
Asian Games,1958-05-30,South Korea,South Vietnam,3-1
Asian Games,1958-05-30,Taiwan,Israel,2-0
Asian Games,1958-05-31,Taiwan,Indonesia,1-0
Asian Games,1958-05-31,South Korea,India,3-1
Asian Games,1958-06-01,Indonesia,India,4-1
Asian Games,1958-06-01,Taiwan,South Korea,3-2
Asian Games,1962-08-25,Japan,Thailand,3-1
Asian Games,1962-08-25,Indonesia,South Vietnam,1-0
Asian Games,1962-08-26,Malaya,Philippines,15-1
Asian Games,1962-08-26,South Korea,India,2-0
Asian Games,1962-08-27,Indonesia,Philippines,6-0
Asian Games,1962-08-27,South Korea,Thailand,3-2
Asian Games,1962-08-28,Indonesia,Malaya,2-3
Asian Games,1962-08-28,India,Thailand,4-1
Asian Games,1962-08-29,India,Japan,2-0
Asian Games,1962-08-29,South Vietnam,Malaya,3-0
