Matchday,Date,Home,Away,FullTime
East Asian Championship qual,2003-02-22,Macao,Mongolia,2-0
East Asian Championship qual,2003-02-22,Hong Kong,Taiwan,2-0
East Asian Championship qual,2003-02-24,Mongolia,Guam,2-0
East Asian Championship qual,2003-02-24,Hong Kong,Macao,3-0
East Asian Championship qual,2003-02-26,Taiwan,Mongolia,4-0
East Asian Championship qual,2003-02-26,Macao,Guam,2-0
East Asian Championship qual,2003-02-28,Hong Kong,Mongolia,10-0
East Asian Championship qual,2003-02-28,Taiwan,Guam,7-0
East Asian Championship qual,2003-03-02,Taiwan,Macao,2-1
East Asian Championship qual,2003-03-02,Hong Kong,Guam,11-0
East Asian Championship qual,2005-03-05,Hong Kong,Mongolia,6-0
East Asian Championship qual,2005-03-05,Taiwan,Guam,9-0
East Asian Championship qual,2005-03-07,North Korea,Mongolia,6-0
East Asian Championship qual,2005-03-07,Hong Kong,Guam,15-0
East Asian Championship qual,2005-03-09,Mongolia,Guam,4-1
East Asian Championship qual,2005-03-09,Taiwan,North Korea,0-2
East Asian Championship qual,2005-03-11,Taiwan,Hong Kong,0-5
East Asian Championship qual,2005-03-11,North Korea,Guam,21-0
East Asian Championship qual,2005-03-13,Taiwan,Mongolia,0-0
East Asian Championship qual,2005-03-13,North Korea,Hong Kong,2-0
East Asian Championship qual,2007-03-25,Northern Mariana Islands,Guam,2-3
East Asian Championship qual,2007-04-01,Guam,Northern Mariana Islands,9-0
East Asian Championship qual,2007-06-17,Macao,Mongolia,0-0
East Asian Championship qual,2007-06-17,Taiwan,Guam,10-0
East Asian Championship qual,2007-06-19,North Korea,Mongolia,7-0
East Asian Championship qual,2007-06-19,Hong Kong,Taiwan,1-1
East Asian Championship qual,2007-06-21,Macao,North Korea,1-7
East Asian Championship qual,2007-06-21,Hong Kong,Guam,15-1
East Asian Championship qual,2007-06-23,Mongolia,Guam,5-2
East Asian Championship qual,2007-06-24,Macao,Taiwan,2-7
East Asian Championship qual,2007-06-24,North Korea,Hong Kong,1-0
East Asian Championship qual,2009-03-11,Guam,Mongolia,1-0
East Asian Championship qual,2009-03-11,Macao,Northern Mariana Islands,6-1
East Asian Championship qual,2009-03-13,Mongolia,Macao,2-1
East Asian Championship qual,2009-03-13,Guam,Northern Mariana Islands,2-1
East Asian Championship qual,2009-03-15,Mongolia,Northern Mariana Islands,4-1
East Asian Championship qual,2009-03-15,Guam,Macao,2-2
East Asian Championship qual,2009-08-23,Taiwan,Hong Kong,0-4
East Asian Championship qual,2009-08-23,North Korea,Guam,9-2
East Asian Championship qual,2009-08-25,Taiwan,Guam,4-2
East Asian Championship qual,2009-08-25,Hong Kong,North Korea,0-0
East Asian Championship qual,2009-08-27,Taiwan,North Korea,1-2
East Asian Championship qual,2009-08-27,Hong Kong,Guam,12-0
East Asian Championship qual,2012-07-18,Guam,Northern Mariana Islands,3-1
East Asian Championship qual,2012-07-20,Macao,Northern Mariana Islands,5-1
East Asian Championship qual,2012-07-22,Guam,Macao,3-0
East Asian Championship qual,2012-12-01,North Korea,Taiwan,6-1
East Asian Championship qual,2012-12-01,Hong Kong,Guam,2-1
East Asian Championship qual,2012-12-03,Hong Kong,Australia,0-1
East Asian Championship qual,2012-12-03,North Korea,Guam,5-0
East Asian Championship qual,2012-12-05,Australia,North Korea,1-1
East Asian Championship qual,2012-12-05,Guam,Taiwan,1-1
East Asian Championship qual,2012-12-07,Australia,Guam,9-0
East Asian Championship qual,2012-12-07,Hong Kong,Taiwan,2-0
East Asian Championship qual,2012-12-09,Australia,Taiwan,8-0
East Asian Championship qual,2012-12-09,Hong Kong,North Korea,0-4
East Asian Championship qual,2014-07-21,Mongolia,Northern Mariana Islands,4-0
East Asian Championship qual,2014-07-21,Guam,Macao,0-0
East Asian Championship qual,2014-07-23,Guam,Mongolia,2-0
East Asian Championship qual,2014-07-23,Northern Mariana Islands,Macao,2-1
East Asian Championship qual,2014-07-25,Macao,Mongolia,3-2
East Asian Championship qual,2014-07-25,Guam,Northern Mariana Islands,5-0
East Asian Championship qual,2014-11-13,Taiwan,Guam,1-2
East Asian Championship qual,2014-11-13,North Korea,Hong Kong,2-1
East Asian Championship qual,2014-11-16,Taiwan,Hong Kong,0-1
East Asian Championship qual,2014-11-16,North Korea,Guam,5-1
East Asian Championship qual,2014-11-19,Taiwan,North Korea,0-0
East Asian Championship qual,2014-11-19,Guam,Hong Kong,0-0
East Asian Championship qual,2016-06-30,Macao,Mongolia,2-2
East Asian Championship qual,2016-06-30,Taiwan,Northern Mariana Islands,8-1
East Asian Championship qual,2016-07-02,Taiwan,Mongolia,2-0
East Asian Championship qual,2016-07-02,Macao,Northern Mariana Islands,3-1
East Asian Championship qual,2016-07-04,Mongolia,Northern Mariana Islands,8-0
East Asian Championship qual,2016-07-04,Taiwan,Macao,3-2
East Asian Championship qual,2016-11-06,North Korea,Taiwan,2-0
East Asian Championship qual,2016-11-06,Hong Kong,Guam,3-2
East Asian Championship qual,2016-11-09,Hong Kong,Taiwan,4-2
East Asian Championship qual,2016-11-09,North Korea,Guam,2-0
East Asian Championship qual,2016-11-12,Taiwan,Guam,2-0
East Asian Championship qual,2016-11-12,Hong Kong,North Korea,0-1
East Asian Championship qual,2018-09-02,Mongolia,Macao,4-1
East Asian Championship qual,2018-09-02,Guam,Northern Mariana Islands,4-0
East Asian Championship qual,2018-09-04,Mongolia,Northern Mariana Islands,9-0
East Asian Championship qual,2018-09-04,Macao,Guam,2-0
East Asian Championship qual,2018-09-06,Mongolia,Guam,1-1
East Asian Championship qual,2018-09-06,Macao,Northern Mariana Islands,1-1
East Asian Championship qual,2018-11-11,North Korea,Mongolia,4-1
East Asian Championship qual,2018-11-11,Taiwan,Hong Kong,1-2
East Asian Championship qual,2018-11-13,Taiwan,Mongolia,2-1
East Asian Championship qual,2018-11-13,Hong Kong,North Korea,0-0
East Asian Championship qual,2018-11-16,Hong Kong,Mongolia,5-1
East Asian Championship qual,2018-11-16,Taiwan,North Korea,0-2
