Matchday,Date,Home,Away,FullTime
GANEFO Tournament,1963-11-11,Egypt,North Vietnam,4-1
GANEFO Tournament,1963-11-12,China,Mali,3-1
GANEFO Tournament,1963-11-13,North Vietnam,Laos,9-1
GANEFO Tournament,1963-11-14,Indonesia,Mali,3-2
GANEFO Tournament,1963-11-14,North Korea,Somalia,14-0
GANEFO Tournament,1963-11-15,Egypt,Laos,15-0
GANEFO Tournament,1963-11-16,Indonesia,China,1-1
GANEFO Tournament,1963-11-18,Indonesia,North Korea,1-5
GANEFO Tournament,1963-11-18,Egypt,Saudi Arabia,7-0
GANEFO Tournament,1963-11-20,North Korea,North Vietnam,2-0
GANEFO Tournament,1963-11-22,Egypt,North Korea,1-1
GANEFO Tournament,1965-08-01,Guinea,Cambodia,2-1
GANEFO Tournament,1965-08-02,China,Indonesia,3-0
GANEFO Tournament,1965-08-02,North Korea,North Vietnam,1-0
GANEFO Tournament,1965-08-03,Guinea,Indonesia,3-1
GANEFO Tournament,1965-08-03,Cambodia,North Vietnam,1-1
GANEFO Tournament,1965-08-04,North Korea,China,3-0
GANEFO Tournament,1965-08-05,Cambodia,Indonesia,0-0
GANEFO Tournament,1965-08-05,North Vietnam,Guinea,2-1
GANEFO Tournament,1965-08-06,China,Cambodia,3-1
GANEFO Tournament,1965-08-06,North Korea,Guinea,3-0
GANEFO Tournament,1965-08-08,China,North Vietnam,3-3
GANEFO Tournament,1965-08-08,North Korea,Indonesia,3-0
GANEFO Tournament,1965-08-09,China,Guinea,2-0
GANEFO Tournament,1965-08-09,North Korea,Cambodia,4-0
GANEFO Tournament,1965-08-10,Indonesia,North Vietnam,2-1
GANEFO Tournament,1966-11-25,Palestine,North Yemen,5-3
GANEFO Tournament,1966-11-26,China,Palestine,7-0
GANEFO Tournament,1966-11-26,Cambodia,North Korea,0-2
GANEFO Tournament,1966-11-26,North Vietnam,North Yemen,9-0
GANEFO Tournament,1966-11-27,Cambodia,China,0-4
GANEFO Tournament,1966-11-27,North Vietnam,Palestine,4-0
GANEFO Tournament,1966-11-29,Cambodia,North Yemen,8-0
GANEFO Tournament,1966-11-29,North Korea,Palestine,5-1
GANEFO Tournament,1966-11-30,China,North Vietnam,2-0
GANEFO Tournament,1966-11-30,Cambodia,North Vietnam,2-2
GANEFO Tournament,1966-11-30,North Korea,North Yemen,14-0
GANEFO Tournament,1966-12-03,North Korea,China,2-1
GANEFO Tournament,1966-12-03,Cambodia,Palestine,4-0
GANEFO Tournament,1966-12-05,China,North Yemen,6-0
GANEFO Tournament,1966-12-06,North Korea,North Vietnam,3-1
