Matchday,Date,Home,Away,FullTime
South Asian Championship,1993-07-16,India,Sri Lanka,2-0
South Asian Championship,1993-07-16,Pakistan,Nepal,1-1
South Asian Championship,1993-07-18,Pakistan,Sri Lanka,0-4
South Asian Championship,1993-07-19,Nepal,Sri Lanka,0-0
South Asian Championship,1993-07-21,India,Nepal,1-0
South Asian Championship,1993-07-23,Pakistan,India,1-1
South Asian Championship,1995-03-25,Pakistan,Bangladesh,1-0
South Asian Championship,1995-03-27,Bangladesh,Nepal,2-0
South Asian Championship,1995-03-29,Sri Lanka,India,2-2
South Asian Championship,1995-03-29,Nepal,Pakistan,2-0
South Asian Championship,1995-03-31,Bangladesh,India,0-0
South Asian Championship,1995-03-31,Sri Lanka,Nepal,2-1
South Asian Championship,1995-04-02,Sri Lanka,India,1-0
South Asian Championship,1997-09-04,Nepal,Pakistan,0-2
South Asian Championship,1997-09-05,Bangladesh,Maldives,1-1
South Asian Championship,1997-09-06,Sri Lanka,Pakistan,2-0
South Asian Championship,1997-09-07,India,Bangladesh,3-0
South Asian Championship,1997-09-08,Nepal,Sri Lanka,1-3
South Asian Championship,1997-09-09,India,Maldives,2-2
South Asian Championship,1997-09-10,Maldives,Sri Lanka,2-1
South Asian Championship,1997-09-11,India,Pakistan,2-0
South Asian Championship,1997-09-13,India,Maldives,5-1
South Asian Championship,1997-09-13,Pakistan,Sri Lanka,1-0
South Asian Championship,1999-04-22,India,Bangladesh,0-0
South Asian Championship,1999-04-23,Maldives,Sri Lanka,0-0
South Asian Championship,1999-04-24,Bangladesh,Pakistan,4-0
South Asian Championship,1999-04-25,Nepal,Sri Lanka,3-2
South Asian Championship,1999-04-26,India,Pakistan,2-0
South Asian Championship,1999-04-27,Maldives,Nepal,3-2
South Asian Championship,1999-04-29,India,Maldives,2-1
South Asian Championship,1999-04-29,Bangladesh,Nepal,2-1
South Asian Championship,1999-05-01,India,Bangladesh,2-0
South Asian Championship,1999-05-01,Maldives,Nepal,2-0
South Asian Championship,2003-01-10,Pakistan,India,1-0
South Asian Championship,2003-01-10,Sri Lanka,Afghanistan,1-0
South Asian Championship,2003-01-11,Bangladesh,Nepal,1-0
South Asian Championship,2003-01-11,Maldives,Bhutan,6-0
South Asian Championship,2003-01-12,India,Afghanistan,4-0
South Asian Championship,2003-01-12,Pakistan,Sri Lanka,2-1
South Asian Championship,2003-01-13,Nepal,Bhutan,2-0
South Asian Championship,2003-01-13,Bangladesh,Maldives,1-0
South Asian Championship,2003-01-14,India,Sri Lanka,1-1
South Asian Championship,2003-01-14,Pakistan,Afghanistan,1-0
South Asian Championship,2003-01-15,Maldives,Nepal,3-2
South Asian Championship,2003-01-15,Bangladesh,Bhutan,3-0
South Asian Championship,2003-01-18,Bangladesh,India,2-1
South Asian Championship,2003-01-18,Maldives,Pakistan,1-0
South Asian Championship,2003-01-20,India,Pakistan,2-1
South Asian Championship,2003-01-20,Bangladesh,Maldives,1-1
South Asian Championship,2005-12-07,Maldives,Afghanistan,9-1
South Asian Championship,2005-12-07,Pakistan,Sri Lanka,1-0
South Asian Championship,2005-12-08,India,Nepal,2-1
South Asian Championship,2005-12-08,Bangladesh,Bhutan,3-0
South Asian Championship,2005-12-09,Pakistan,Afghanistan,1-0
South Asian Championship,2005-12-09,Maldives,Sri Lanka,2-0
South Asian Championship,2005-12-10,India,Bhutan,3-0
South Asian Championship,2005-12-10,Bangladesh,Nepal,2-0
South Asian Championship,2005-12-11,Afghanistan,Sri Lanka,2-1
South Asian Championship,2005-12-11,Pakistan,Maldives,0-0
South Asian Championship,2005-12-12,Bangladesh,India,1-1
South Asian Championship,2005-12-12,Nepal,Bhutan,3-1
South Asian Championship,2005-12-14,India,Maldives,1-0
South Asian Championship,2005-12-14,Pakistan,Bangladesh,0-1
South Asian Championship,2005-12-17,India,Bangladesh,2-0
South Asian Championship,2008-06-03,India,Nepal,4-0
South Asian Championship,2008-06-03,Maldives,Pakistan,3-0
South Asian Championship,2008-06-04,Sri Lanka,Afghanistan,2-2
South Asian Championship,2008-06-04,Bangladesh,Bhutan,1-1
South Asian Championship,2008-06-05,India,Pakistan,2-1
South Asian Championship,2008-06-05,Maldives,Nepal,4-1
South Asian Championship,2008-06-06,Afghanistan,Bangladesh,2-2
South Asian Championship,2008-06-06,Sri Lanka,Bhutan,2-0
South Asian Championship,2008-06-07,Maldives,India,0-1
South Asian Championship,2008-06-07,Nepal,Pakistan,4-1
South Asian Championship,2008-06-08,Bhutan,Afghanistan,3-1
South Asian Championship,2008-06-08,Sri Lanka,Bangladesh,1-0
South Asian Championship,2008-06-11,India,Bhutan,2-1
South Asian Championship,2008-06-11,Sri Lanka,Maldives,0-1
South Asian Championship,2008-06-14,Maldives,India,1-0
South Asian Championship,2009-12-04,Sri Lanka,Pakistan,1-0
South Asian Championship,2009-12-04,Bangladesh,Bhutan,4-1
South Asian Championship,2009-12-05,India,Afghanistan,1-0
South Asian Championship,2009-12-05,Maldives,Nepal,1-1
South Asian Championship,2009-12-06,Bangladesh,Pakistan,0-0
South Asian Championship,2009-12-06,Sri Lanka,Bhutan,6-0
South Asian Championship,2009-12-07,India,Nepal,1-0
South Asian Championship,2009-12-07,Maldives,Afghanistan,3-1
South Asian Championship,2009-12-08,Pakistan,Bhutan,7-0
South Asian Championship,2009-12-08,Bangladesh,Sri Lanka,2-1
South Asian Championship,2009-12-09,Maldives,India,2-0
South Asian Championship,2009-12-09,Nepal,Afghanistan,3-0
South Asian Championship,2009-12-11,Bangladesh,India,0-1
South Asian Championship,2009-12-11,Maldives,Sri Lanka,5-1
South Asian Championship,2009-12-13,India,Maldives,0-0
South Asian Championship,2011-12-02,Bangladesh,Pakistan,0-0
South Asian Championship,2011-12-02,Maldives,Nepal,1-1
South Asian Championship,2011-12-03,India,Afghanistan,1-1
South Asian Championship,2011-12-03,Sri Lanka,Bhutan,3-0
South Asian Championship,2011-12-04,Maldives,Pakistan,0-0
South Asian Championship,2011-12-04,Nepal,Bangladesh,1-0
South Asian Championship,2011-12-05,India,Bhutan,5-0
South Asian Championship,2011-12-05,Afghanistan,Sri Lanka,3-1
South Asian Championship,2011-12-06,Nepal,Pakistan,1-1
South Asian Championship,2011-12-06,Maldives,Bangladesh,3-1
South Asian Championship,2011-12-07,India,Sri Lanka,3-0
South Asian Championship,2011-12-07,Afghanistan,Bhutan,8-1
South Asian Championship,2011-12-09,India,Maldives,3-1
South Asian Championship,2011-12-09,Afghanistan,Nepal,1-0
South Asian Championship,2011-12-11,India,Afghanistan,4-0
South Asian Championship,2013-08-31,Nepal,Bangladesh,2-0
South Asian Championship,2013-09-01,India,Pakistan,1-0
South Asian Championship,2013-09-02,Afghanistan,Bhutan,3-0
South Asian Championship,2013-09-02,Maldives,Sri Lanka,10-0
South Asian Championship,2013-09-03,Bangladesh,India,1-1
South Asian Championship,2013-09-03,Nepal,Pakistan,1-1
South Asian Championship,2013-09-04,Afghanistan,Sri Lanka,3-1
South Asian Championship,2013-09-04,Maldives,Bhutan,8-2
South Asian Championship,2013-09-05,Nepal,India,2-1
South Asian Championship,2013-09-05,Pakistan,Bangladesh,2-1
South Asian Championship,2013-09-06,Afghanistan,Maldives,0-0
South Asian Championship,2013-09-06,Sri Lanka,Bhutan,5-2
South Asian Championship,2013-09-08,Nepal,Afghanistan,0-1
South Asian Championship,2013-09-09,India,Maldives,1-0
South Asian Championship,2013-09-11,Afghanistan,India,2-0
South Asian Championship,2015-12-23,Sri Lanka,Nepal,1-0
South Asian Championship,2015-12-24,Afghanistan,Bangladesh,4-0
South Asian Championship,2015-12-24,Maldives,Bhutan,3-1
South Asian Championship,2015-12-25,India,Sri Lanka,2-0
South Asian Championship,2015-12-26,Afghanistan,Bhutan,3-0
South Asian Championship,2015-12-26,Maldives,Bangladesh,3-1
South Asian Championship,2015-12-27,India,Nepal,4-1
South Asian Championship,2015-12-28,Afghanistan,Maldives,4-1
South Asian Championship,2015-12-28,Bangladesh,Bhutan,3-0
South Asian Championship,2015-12-31,India,Maldives,3-2
South Asian Championship,2015-12-31,Afghanistan,Sri Lanka,5-0
South Asian Championship,2016-01-03,India,Afghanistan,2-1
South Asian Championship,2018-09-04,Pakistan,Nepal,2-1
South Asian Championship,2018-09-04,Bangladesh,Bhutan,2-0
South Asian Championship,2018-09-05,India,Sri Lanka,2-0
South Asian Championship,2018-09-06,Bangladesh,Pakistan,1-0
South Asian Championship,2018-09-06,Nepal,Bhutan,4-0
South Asian Championship,2018-09-07,Maldives,Sri Lanka,0-0
South Asian Championship,2018-09-08,Pakistan,Bhutan,3-0
South Asian Championship,2018-09-08,Bangladesh,Nepal,0-2
South Asian Championship,2018-09-09,India,Maldives,2-0
South Asian Championship,2018-09-12,India,Pakistan,3-1
South Asian Championship,2018-09-12,Maldives,Nepal,3-0
South Asian Championship,2018-09-15,Maldives,India,2-1
South Asian Championship,2021-10-01,Bangladesh,Sri Lanka,1-0
South Asian Championship,2021-10-01,Maldives,Nepal,0-1
South Asian Championship,2021-10-04,Bangladesh,India,1-1
South Asian Championship,2021-10-04,Nepal,Sri Lanka,3-2
South Asian Championship,2021-10-07,India,Sri Lanka,0-0
