Matchday,Date,Home,Away,FullTime
South Asian Games,1984-09-18,Nepal,Maldives,4-0
South Asian Games,1984-09-18,Bangladesh,Bhutan,2-0
South Asian Games,1984-09-19,Bangladesh,Maldives,5-0
South Asian Games,1984-09-20,Nepal,Bhutan,5-0
South Asian Games,1984-09-21,Nepal,Bangladesh,0-5
South Asian Games,1984-09-21,Maldives,Bhutan,1-0
South Asian Games,1984-09-23,Nepal,Bangladesh,4-2
South Asian Games,1985-12-21,India,Nepal,2-0
South Asian Games,1985-12-21,Bangladesh,Pakistan,2-1
South Asian Games,1985-12-22,Pakistan,Maldives,3-1
South Asian Games,1985-12-22,Nepal,Bhutan,1-0
South Asian Games,1985-12-23,India,Bhutan,3-0
South Asian Games,1985-12-23,Bangladesh,Maldives,8-0
South Asian Games,1985-12-25,Bangladesh,India,1-1
South Asian Games,1985-12-25,Nepal,Pakistan,2-2
South Asian Games,1987-11-21,India,Pakistan,0-0
South Asian Games,1987-11-21,Nepal,Bangladesh,1-0
South Asian Games,1987-11-22,Pakistan,Maldives,1-0
South Asian Games,1987-11-22,Bangladesh,Bhutan,3-0
South Asian Games,1987-11-23,India,Maldives,5-0
South Asian Games,1987-11-23,Nepal,Bhutan,6-2
South Asian Games,1987-11-25,Pakistan,Bangladesh,1-0
South Asian Games,1987-11-26,India,Nepal,1-0
South Asian Games,1989-10-20,Maldives,Nepal,0-0
South Asian Games,1989-10-21,Bangladesh,Sri Lanka,3-0
South Asian Games,1989-10-22,Pakistan,Nepal,0-0
South Asian Games,1989-10-23,Bangladesh,India,1-1
South Asian Games,1989-10-24,Pakistan,Maldives,2-0
South Asian Games,1989-10-25,India,Sri Lanka,2-1
South Asian Games,1989-10-26,India,Nepal,2-1
South Asian Games,1989-10-26,Pakistan,Bangladesh,1-0
South Asian Games,1991-12-22,India,Pakistan,0-0
South Asian Games,1991-12-22,Sri Lanka,Nepal,2-2
South Asian Games,1991-12-24,Pakistan,Bangladesh,1-0
South Asian Games,1991-12-24,Maldives,Nepal,1-0
South Asian Games,1991-12-26,Bangladesh,India,2-1
South Asian Games,1991-12-26,Sri Lanka,Maldives,0-1
South Asian Games,1991-12-28,Bangladesh,Nepal,2-0
South Asian Games,1991-12-29,Pakistan,Maldives,2-0
South Asian Games,1993-12-11,Sri Lanka,Pakistan,2-1
South Asian Games,1993-12-11,Bangladesh,Maldives,0-0
South Asian Games,1993-12-13,India,Sri Lanka,2-0
South Asian Games,1993-12-13,Maldives,Nepal,0-0
South Asian Games,1993-12-15,India,Pakistan,2-2
South Asian Games,1993-12-15,Bangladesh,Nepal,0-1
South Asian Games,1993-12-18,India,Nepal,2-2
South Asian Games,1993-12-18,Sri Lanka,Maldives,3-1
South Asian Games,1995-12-19,Nepal,Maldives,1-0
South Asian Games,1995-12-21,Bangladesh,Maldives,0-0
South Asian Games,1995-12-23,India,Sri Lanka,1-0
South Asian Games,1995-12-23,Bangladesh,Nepal,2-1
South Asian Games,1995-12-25,India,Nepal,3-0
South Asian Games,1995-12-25,Bangladesh,Sri Lanka,0-0
South Asian Games,1995-12-27,India,Bangladesh,1-0
South Asian Games,1995-12-27,Nepal,Sri Lanka,0-0
South Asian Games,1999-09-24,Maldives,Sri Lanka,4-0
South Asian Games,1999-09-26,India,Pakistan,5-2
South Asian Games,1999-09-26,Nepal,Bhutan,7-0
South Asian Games,1999-09-27,Maldives,Bangladesh,2-1
South Asian Games,1999-09-28,India,Bhutan,3-0
South Asian Games,1999-09-28,Nepal,Pakistan,3-1
South Asian Games,1999-09-29,Bangladesh,Sri Lanka,1-0
South Asian Games,1999-09-30,Nepal,India,0-4
South Asian Games,1999-09-30,Pakistan,Bhutan,2-1
South Asian Games,1999-10-02,Bangladesh,India,1-0
South Asian Games,1999-10-02,Nepal,Maldives,2-1
South Asian Games,1999-10-04,India,Maldives,3-1
South Asian Games,1999-10-04,Nepal,Bangladesh,0-1
