Matchday,Date,Home,Away,FullTime
Southeast Asian Champ,1996-09-02,Thailand,Philippines,5-0
Southeast Asian Champ,1996-09-02,Indonesia,Laos,5-1
Southeast Asian Champ,1996-09-02,Vietnam,Cambodia,3-1
Southeast Asian Champ,1996-09-02,Singapore,Malaysia,1-1
Southeast Asian Champ,1996-09-04,Malaysia,Philippines,7-0
Southeast Asian Champ,1996-09-04,Singapore,Brunei,3-0
Southeast Asian Champ,1996-09-05,Laos,Vietnam,1-1
Southeast Asian Champ,1996-09-05,Myanmar,Cambodia,5-0
Southeast Asian Champ,1996-09-06,Singapore,Philippines,3-0
Southeast Asian Champ,1996-09-06,Thailand,Brunei,6-0
Southeast Asian Champ,1996-09-07,Indonesia,Cambodia,3-0
Southeast Asian Champ,1996-09-07,Vietnam,Myanmar,4-1
Southeast Asian Champ,1996-09-08,Brunei,Philippines,1-0
Southeast Asian Champ,1996-09-08,Malaysia,Thailand,1-1
Southeast Asian Champ,1996-09-09,Indonesia,Myanmar,6-1
Southeast Asian Champ,1996-09-09,Laos,Cambodia,1-0
Southeast Asian Champ,1996-09-10,Singapore,Thailand,0-1
Southeast Asian Champ,1996-09-10,Malaysia,Brunei,6-0
Southeast Asian Champ,1996-09-11,Indonesia,Vietnam,1-1
Southeast Asian Champ,1996-09-11,Myanmar,Laos,4-2
Southeast Asian Champ,1996-09-13,Malaysia,Indonesia,3-1
Southeast Asian Champ,1996-09-13,Thailand,Vietnam,4-2
Southeast Asian Champ,1996-09-15,Vietnam,Indonesia,3-2
Southeast Asian Champ,1996-09-15,Thailand,Malaysia,1-0
Southeast Asian Champ,1998-08-26,Vietnam,Laos,4-1
Southeast Asian Champ,1998-08-26,Singapore,Malaysia,2-0
Southeast Asian Champ,1998-08-27,Indonesia,Philippines,3-0
Southeast Asian Champ,1998-08-27,Myanmar,Thailand,1-1
Southeast Asian Champ,1998-08-28,Vietnam,Singapore,0-0
Southeast Asian Champ,1998-08-28,Laos,Malaysia,0-0
Southeast Asian Champ,1998-08-29,Thailand,Philippines,3-1
Southeast Asian Champ,1998-08-29,Indonesia,Myanmar,6-2
Southeast Asian Champ,1998-08-30,Vietnam,Malaysia,1-0
Southeast Asian Champ,1998-08-30,Singapore,Laos,4-1
Southeast Asian Champ,1998-08-31,Myanmar,Philippines,5-2
Southeast Asian Champ,1998-08-31,Thailand,Indonesia,3-2
Southeast Asian Champ,1998-09-02,Singapore,Indonesia,2-1
Southeast Asian Champ,1998-09-03,Vietnam,Thailand,3-0
Southeast Asian Champ,1998-09-05,Indonesia,Thailand,3-3
Southeast Asian Champ,1998-09-05,Vietnam,Singapore,0-1
Southeast Asian Champ,2000-11-05,Malaysia,Vietnam,0-0
Southeast Asian Champ,2000-11-05,Singapore,Cambodia,1-0
Southeast Asian Champ,2000-11-06,Indonesia,Philippines,3-0
Southeast Asian Champ,2000-11-06,Thailand,Myanmar,3-1
Southeast Asian Champ,2000-11-07,Vietnam,Cambodia,6-0
Southeast Asian Champ,2000-11-07,Malaysia,Laos,5-0
Southeast Asian Champ,2000-11-08,Myanmar,Philippines,3-0
Southeast Asian Champ,2000-11-09,Singapore,Laos,3-0
Southeast Asian Champ,2000-11-09,Malaysia,Cambodia,3-2
Southeast Asian Champ,2000-11-10,Thailand,Indonesia,4-1
Southeast Asian Champ,2000-11-11,Vietnam,Singapore,1-0
Southeast Asian Champ,2000-11-11,Cambodia,Laos,3-0
Southeast Asian Champ,2000-11-12,Thailand,Philippines,2-0
Southeast Asian Champ,2000-11-12,Indonesia,Myanmar,5-0
Southeast Asian Champ,2000-11-13,Vietnam,Laos,5-0
Southeast Asian Champ,2000-11-13,Malaysia,Singapore,1-0
Southeast Asian Champ,2000-11-16,Indonesia,Vietnam,3-2
Southeast Asian Champ,2000-11-16,Thailand,Malaysia,2-0
Southeast Asian Champ,2000-11-18,Thailand,Indonesia,4-1
Southeast Asian Champ,2000-11-18,Malaysia,Vietnam,3-0
Southeast Asian Champ,2002-12-15,Indonesia,Myanmar,0-0
Southeast Asian Champ,2002-12-15,Vietnam,Cambodia,9-2
Southeast Asian Champ,2002-12-17,Myanmar,Philippines,6-1
Southeast Asian Champ,2002-12-17,Indonesia,Cambodia,4-2
Southeast Asian Champ,2002-12-18,Singapore,Malaysia,0-4
Southeast Asian Champ,2002-12-18,Thailand,Laos,5-1
Southeast Asian Champ,2002-12-19,Vietnam,Philippines,4-1
Southeast Asian Champ,2002-12-19,Myanmar,Cambodia,5-0
Southeast Asian Champ,2002-12-20,Singapore,Laos,2-1
Southeast Asian Champ,2002-12-20,Malaysia,Thailand,3-1
Southeast Asian Champ,2002-12-21,Cambodia,Philippines,1-0
Southeast Asian Champ,2002-12-21,Indonesia,Vietnam,2-2
Southeast Asian Champ,2002-12-22,Singapore,Thailand,1-1
Southeast Asian Champ,2002-12-22,Laos,Malaysia,1-1
Southeast Asian Champ,2002-12-23,Indonesia,Philippines,13-1
