Matchday,Date,Home,Away,FullTime
Southeast Asian Champ qual,1998-03-14,Myanmar,Brunei,4-1
Southeast Asian Champ qual,1998-03-16,Laos,Brunei,2-1
Southeast Asian Champ qual,1998-03-18,Myanmar,Laos,3-0
Southeast Asian Champ qual,1998-03-24,Singapore,Philippines,1-0
Southeast Asian Champ qual,1998-03-26,Cambodia,Philippines,1-1
Southeast Asian Champ qual,1998-03-28,Singapore,Cambodia,3-0
Southeast Asian Champ qual,2006-11-12,Philippines,Laos,1-2
Southeast Asian Champ qual,2006-11-12,Brunei,East Timor,3-2
Southeast Asian Champ qual,2006-11-14,Philippines,East Timor,7-0
Southeast Asian Champ qual,2006-11-14,Cambodia,Laos,2-2
Southeast Asian Champ qual,2006-11-16,Brunei,Cambodia,1-1
Southeast Asian Champ qual,2006-11-16,Laos,East Timor,3-2
Southeast Asian Champ qual,2006-11-18,Philippines,Cambodia,1-0
Southeast Asian Champ qual,2006-11-18,Laos,Brunei,4-1
Southeast Asian Champ qual,2006-11-20,Philippines,Brunei,4-1
Southeast Asian Champ qual,2006-11-20,Cambodia,East Timor,4-1
Southeast Asian Champ qual,2008-10-17,Philippines,East Timor,1-0
Southeast Asian Champ qual,2008-10-17,Cambodia,Laos,3-2
Southeast Asian Champ qual,2008-10-19,Brunei,Philippines,1-1
Southeast Asian Champ qual,2008-10-19,Cambodia,East Timor,2-2
Southeast Asian Champ qual,2008-10-21,Laos,Philippines,2-1
Southeast Asian Champ qual,2008-10-21,Brunei,East Timor,4-1
Southeast Asian Champ qual,2008-10-23,Cambodia,Philippines,2-3
Southeast Asian Champ qual,2008-10-23,Laos,Brunei,3-2
Southeast Asian Champ qual,2008-10-25,Cambodia,Brunei,2-1
Southeast Asian Champ qual,2008-10-25,Laos,East Timor,2-1
Southeast Asian Champ qual,2010-10-22,Philippines,East Timor,5-0
Southeast Asian Champ qual,2010-10-22,Laos,Cambodia,0-0
Southeast Asian Champ qual,2010-10-24,Laos,Philippines,2-2
Southeast Asian Champ qual,2010-10-24,Cambodia,East Timor,4-2
Southeast Asian Champ qual,2010-10-26,Cambodia,Philippines,0-0
Southeast Asian Champ qual,2010-10-26,Laos,East Timor,6-1
Southeast Asian Champ qual,2012-10-05,Myanmar,Brunei,1-0
Southeast Asian Champ qual,2012-10-05,East Timor,Cambodia,5-1
Southeast Asian Champ qual,2012-10-07,Myanmar,East Timor,2-1
Southeast Asian Champ qual,2012-10-07,Laos,Cambodia,1-0
Southeast Asian Champ qual,2012-10-09,Brunei,Cambodia,3-2
Southeast Asian Champ qual,2012-10-09,East Timor,Laos,3-1
Southeast Asian Champ qual,2012-10-11,Myanmar,Cambodia,3-0
Southeast Asian Champ qual,2012-10-11,Laos,Brunei,3-1
Southeast Asian Champ qual,2012-10-13,Myanmar,Laos,0-0
Southeast Asian Champ qual,2012-10-13,Brunei,East Timor,2-1
Southeast Asian Champ qual,2014-10-12,Laos,Cambodia,3-2
Southeast Asian Champ qual,2014-10-12,East Timor,Brunei,4-2
Southeast Asian Champ qual,2014-10-14,East Timor,Myanmar,0-0
Southeast Asian Champ qual,2014-10-14,Laos,Brunei,4-2
Southeast Asian Champ qual,2014-10-16,Myanmar,Brunei,3-1
Southeast Asian Champ qual,2014-10-16,Cambodia,East Timor,3-2
Southeast Asian Champ qual,2014-10-18,Myanmar,Cambodia,1-0
Southeast Asian Champ qual,2014-10-18,Laos,East Timor,2-0
Southeast Asian Champ qual,2014-10-20,Laos,Myanmar,1-2
Southeast Asian Champ qual,2014-10-20,Cambodia,Brunei,1-0
Southeast Asian Champ qual,2016-10-15,Cambodia,Laos,2-1
Southeast Asian Champ qual,2016-10-15,Brunei,East Timor,2-1
Southeast Asian Champ qual,2016-10-18,Cambodia,Brunei,3-0
Southeast Asian Champ qual,2016-10-18,Laos,East Timor,2-1
Southeast Asian Champ qual,2016-10-21,Cambodia,East Timor,3-2
Southeast Asian Champ qual,2016-10-21,Laos,Brunei,4-3
Southeast Asian Champ qual,2018-09-01,East Timor,Brunei,3-1
Southeast Asian Champ qual,2018-09-08,Brunei,East Timor,1-0
Southeast Asian Champ qual,2022-11-05,Brunei,East Timor,6-2
Southeast Asian Champ qual,2022-11-08,Brunei,East Timor,0-1
