Matchday,Date,Home,Away,FullTime
Southeast Asian Games,1956-12-31,Philippines,Japan,0-2
Southeast Asian Games,1956-12-31,Philippines,Japan,0-3
Southeast Asian Games,1977-11-19,Malaysia,Indonesia,1-2
Southeast Asian Games,1977-11-20,Philippines,Brunei,4-1
Southeast Asian Games,1977-11-20,Thailand,Singapore,2-0
Southeast Asian Games,1977-11-21,Malaysia,Philippines,5-0
Southeast Asian Games,1977-11-21,Burma,Singapore,5-1
Southeast Asian Games,1977-11-22,Indonesia,Brunei,4-0
Southeast Asian Games,1977-11-22,Burma,Thailand,3-0
Southeast Asian Games,1977-11-23,Indonesia,Philippines,1-1
Southeast Asian Games,1977-11-23,Malaysia,Brunei,7-0
Southeast Asian Games,1977-11-25,Indonesia,Thailand,1-1
Southeast Asian Games,1977-11-25,Malaysia,Burma,9-1
Southeast Asian Games,1977-11-26,Malaysia,Thailand,2-0
Southeast Asian Games,1979-09-22,Indonesia,Singapore,3-0
Southeast Asian Games,1979-09-22,Thailand,Burma,1-0
Southeast Asian Games,1979-09-23,Indonesia,Thailand,1-3
Southeast Asian Games,1979-09-23,Malaysia,Singapore,2-0
Southeast Asian Games,1979-09-25,Burma,Malaysia,0-0
Southeast Asian Games,1979-09-25,Singapore,Thailand,2-2
Southeast Asian Games,1979-09-26,Indonesia,Malaysia,0-0
Southeast Asian Games,1979-09-26,Singapore,Burma,2-1
Southeast Asian Games,1979-09-28,Indonesia,Burma,2-1
Southeast Asian Games,1979-09-28,Malaysia,Thailand,1-0
Southeast Asian Games,1979-09-29,Indonesia,Thailand,0-0
Southeast Asian Games,1979-09-30,Indonesia,Malaysia,0-1
Southeast Asian Games,1981-12-06,Malaysia,Burma,1-0
Southeast Asian Games,1981-12-07,Indonesia,Singapore,1-0
Southeast Asian Games,1981-12-08,Malaysia,Thailand,2-2
Southeast Asian Games,1981-12-09,Philippines,Singapore,0-4
Southeast Asian Games,1981-12-11,Philippines,Indonesia,0-2
Southeast Asian Games,1981-12-11,Burma,Thailand,3-3
Southeast Asian Games,1981-12-13,Thailand,Indonesia,2-0
Southeast Asian Games,1981-12-13,Malaysia,Singapore,1-1
Southeast Asian Games,1981-12-14,Indonesia,Singapore,2-0
Southeast Asian Games,1981-12-15,Thailand,Malaysia,2-1
Southeast Asian Games,1983-05-28,Singapore,Malaysia,2-1
Southeast Asian Games,1983-05-29,Thailand,Indonesia,5-0
Southeast Asian Games,1983-05-29,Brunei,Burma,2-1
Southeast Asian Games,1983-05-30,Malaysia,Philippines,0-0
Southeast Asian Games,1983-05-31,Indonesia,Burma,2-1
Southeast Asian Games,1983-05-31,Thailand,Brunei,2-1
Southeast Asian Games,1983-06-01,Singapore,Philippines,5-0
Southeast Asian Games,1983-06-02,Brunei,Indonesia,1-1
Southeast Asian Games,1983-06-02,Burma,Thailand,1-0
Southeast Asian Games,1983-06-04,Singapore,Brunei,4-0
Southeast Asian Games,1983-06-04,Malaysia,Thailand,1-1
Southeast Asian Games,1983-06-05,Malaysia,Brunei,5-0
Southeast Asian Games,1983-06-06,Singapore,Thailand,1-2
Southeast Asian Games,1985-12-08,Thailand,Malaysia,1-1
Southeast Asian Games,1985-12-09,Singapore,Indonesia,1-0
Southeast Asian Games,1985-12-10,Malaysia,Philippines,6-0
Southeast Asian Games,1985-12-11,Brunei,Indonesia,1-1
Southeast Asian Games,1985-12-12,Thailand,Philippines,7-0
Southeast Asian Games,1985-12-13,Singapore,Brunei,3-0
Southeast Asian Games,1985-12-14,Malaysia,Singapore,2-2
Southeast Asian Games,1985-12-15,Thailand,Indonesia,7-0
Southeast Asian Games,1985-12-16,Malaysia,Indonesia,1-0
Southeast Asian Games,1985-12-17,Thailand,Singapore,2-0
Southeast Asian Games,1987-09-10,Malaysia,Singapore,0-0
Southeast Asian Games,1987-09-10,Thailand,Brunei,3-1
Southeast Asian Games,1987-09-12,Indonesia,Brunei,2-0
Southeast Asian Games,1987-09-12,Burma,Malaysia,2-2
Southeast Asian Games,1987-09-14,Indonesia,Thailand,0-0
Southeast Asian Games,1987-09-14,Burma,Singapore,0-0
Southeast Asian Games,1987-09-16,Malaysia,Thailand,2-0
Southeast Asian Games,1987-09-17,Indonesia,Burma,4-1
Southeast Asian Games,1987-09-19,Thailand,Burma,4-0
Southeast Asian Games,1987-09-20,Indonesia,Malaysia,1-0
Southeast Asian Games,1989-08-21,Malaysia,Philippines,3-0
Southeast Asian Games,1989-08-21,Indonesia,Brunei,6-0
Southeast Asian Games,1989-08-22,Thailand,Myanmar,3-0
Southeast Asian Games,1989-08-23,Indonesia,Philippines,5-1
Southeast Asian Games,1989-08-23,Malaysia,Brunei,2-1
Southeast Asian Games,1989-08-24,Singapore,Thailand,1-1
Southeast Asian Games,1989-08-25,Brunei,Philippines,2-0
Southeast Asian Games,1989-08-25,Malaysia,Indonesia,2-0
Southeast Asian Games,1989-08-26,Singapore,Myanmar,4-0
Southeast Asian Games,1989-08-28,Singapore,Indonesia,1-0
Southeast Asian Games,1989-08-28,Malaysia,Thailand,1-0
Southeast Asian Games,1989-08-30,Indonesia,Thailand,1-1
Southeast Asian Games,1989-08-31,Malaysia,Singapore,3-1
Southeast Asian Games,1991-11-25,Singapore,Thailand,0-0
Southeast Asian Games,1991-11-26,Philippines,Vietnam,2-2
Southeast Asian Games,1991-11-26,Indonesia,Malaysia,2-0
Southeast Asian Games,1991-11-27,Thailand,Myanmar,4-0
Southeast Asian Games,1991-11-28,Philippines,Malaysia,1-0
Southeast Asian Games,1991-11-28,Indonesia,Vietnam,1-0
Southeast Asian Games,1991-11-29,Singapore,Myanmar,2-1
Southeast Asian Games,1991-11-30,Philippines,Indonesia,1-2
Southeast Asian Games,1991-11-30,Malaysia,Vietnam,2-1
Southeast Asian Games,1991-12-02,Philippines,Thailand,2-6
Southeast Asian Games,1991-12-02,Indonesia,Singapore,0-0
Southeast Asian Games,1991-12-04,Philippines,Singapore,0-2
Southeast Asian Games,1991-12-04,Indonesia,Thailand,0-0
Southeast Asian Games,1993-06-07,Thailand,Myanmar,2-0
Southeast Asian Games,1993-06-07,Laos,Brunei,3-2
Southeast Asian Games,1993-06-09,Singapore,Philippines,7-0
Southeast Asian Games,1993-06-09,Indonesia,Vietnam,1-0
Southeast Asian Games,1993-06-09,Myanmar,Laos,7-1
Southeast Asian Games,1993-06-09,Malaysia,Brunei,3-1
Southeast Asian Games,1993-06-11,Vietnam,Philippines,1-0
Southeast Asian Games,1993-06-11,Singapore,Indonesia,1-1
Southeast Asian Games,1993-06-11,Malaysia,Laos,9-0
Southeast Asian Games,1993-06-11,Thailand,Brunei,5-2
Southeast Asian Games,1993-06-13,Myanmar,Malaysia,2-1
Southeast Asian Games,1993-06-13,Thailand,Laos,4-1
Southeast Asian Games,1993-06-15,Indonesia,Philippines,3-1
Southeast Asian Games,1993-06-15,Singapore,Vietnam,2-0
Southeast Asian Games,1993-06-15,Myanmar,Brunei,6-0
Southeast Asian Games,1993-06-15,Thailand,Malaysia,2-0
Southeast Asian Games,1993-06-17,Thailand,Indonesia,1-0
Southeast Asian Games,1993-06-17,Singapore,Myanmar,3-3
Southeast Asian Games,1993-06-19,Singapore,Indonesia,3-1
Southeast Asian Games,1993-06-20,Thailand,Myanmar,4-3
Southeast Asian Games,1995-12-04,Myanmar,Philippines,4-1
Southeast Asian Games,1995-12-04,Thailand,Indonesia,2-1
Southeast Asian Games,1995-12-04,Vietnam,Malaysia,2-0
Southeast Asian Games,1995-12-04,Brunei,Singapore,2-2
Southeast Asian Games,1995-12-06,Laos,Philippines,1-0
Southeast Asian Games,1995-12-06,Indonesia,Cambodia,10-0
Southeast Asian Games,1995-12-06,Singapore,Myanmar,4-2
Southeast Asian Games,1995-12-06,Thailand,Malaysia,0-0
Southeast Asian Games,1995-12-08,Singapore,Philippines,4-0
Southeast Asian Games,1995-12-08,Indonesia,Malaysia,3-0
Southeast Asian Games,1995-12-08,Vietnam,Cambodia,4-0
Southeast Asian Games,1995-12-08,Laos,Brunei,3-0
Southeast Asian Games,1995-12-10,Thailand,Vietnam,3-1
Southeast Asian Games,1995-12-10,Myanmar,Brunei,2-0
Southeast Asian Games,1995-12-10,Laos,Singapore,0-0
Southeast Asian Games,1995-12-10,Malaysia,Cambodia,9-0
Southeast Asian Games,1995-12-12,Philippines,Brunei,1-0
Southeast Asian Games,1995-12-12,Vietnam,Indonesia,1-0
Southeast Asian Games,1995-12-12,Myanmar,Laos,1-0
Southeast Asian Games,1995-12-12,Thailand,Cambodia,9-0
Southeast Asian Games,1995-12-14,Vietnam,Myanmar,2-1
Southeast Asian Games,1995-12-14,Thailand,Singapore,1-0
Southeast Asian Games,1995-12-16,Thailand,Vietnam,4-0
Southeast Asian Games,1995-12-16,Singapore,Myanmar,1-0
Southeast Asian Games,1997-10-05,Indonesia,Laos,5-2
Southeast Asian Games,1997-10-05,Malaysia,Vietnam,1-0
Southeast Asian Games,1997-10-05,Thailand,Myanmar,2-1
Southeast Asian Games,1997-10-05,Cambodia,Brunei,4-0
Southeast Asian Games,1997-10-07,Malaysia,Philippines,4-0
Southeast Asian Games,1997-10-07,Indonesia,Vietnam,2-2
Southeast Asian Games,1997-10-07,Myanmar,Singapore,2-2
Southeast Asian Games,1997-10-07,Thailand,Brunei,6-0
Southeast Asian Games,1997-10-09,Laos,Philippines,4-1
Southeast Asian Games,1997-10-09,Indonesia,Malaysia,4-0
Southeast Asian Games,1997-10-09,Myanmar,Brunei,6-1
Southeast Asian Games,1997-10-09,Singapore,Cambodia,2-1
Southeast Asian Games,1997-10-12,Indonesia,Philippines,2-0
Southeast Asian Games,1997-10-12,Vietnam,Laos,2-1
Southeast Asian Games,1997-10-12,Singapore,Brunei,1-0
Southeast Asian Games,1997-10-12,Thailand,Cambodia,4-0
Southeast Asian Games,1997-10-14,Vietnam,Philippines,3-0
Southeast Asian Games,1997-10-14,Cambodia,Myanmar,3-1
Southeast Asian Games,1997-10-14,Singapore,Thailand,0-0
Southeast Asian Games,1997-10-14,Laos,Malaysia,1-0
Southeast Asian Games,1997-10-16,Indonesia,Singapore,2-1
Southeast Asian Games,1997-10-16,Thailand,Vietnam,2-1
Southeast Asian Games,1997-10-18,Indonesia,Thailand,1-1
Southeast Asian Games,1997-10-18,Vietnam,Singapore,1-0
Southeast Asian Games,1999-07-30,Thailand,Philippines,9-0
Southeast Asian Games,1999-07-30,Vietnam,Laos,9-0
Southeast Asian Games,1999-07-31,Indonesia,Cambodia,1-0
Southeast Asian Games,1999-07-31,Singapore,Malaysia,2-1
Southeast Asian Games,1999-08-01,Myanmar,Philippines,4-1
Southeast Asian Games,1999-08-01,Thailand,Laos,4-1
Southeast Asian Games,1999-08-02,Indonesia,Malaysia,6-0
Southeast Asian Games,1999-08-02,Brunei,Cambodia,3-3
Southeast Asian Games,1999-08-03,Laos,Philippines,3-2
Southeast Asian Games,1999-08-03,Vietnam,Myanmar,2-0
Southeast Asian Games,1999-08-04,Brunei,Singapore,1-3
Southeast Asian Games,1999-08-04,Malaysia,Cambodia,7-2
Southeast Asian Games,1999-08-05,Thailand,Vietnam,0-0
Southeast Asian Games,1999-08-05,Laos,Myanmar,0-0
Southeast Asian Games,1999-08-06,Indonesia,Singapore,1-1
Southeast Asian Games,1999-08-06,Brunei,Malaysia,0-2
Southeast Asian Games,1999-08-08,Vietnam,Philippines,2-0
Southeast Asian Games,1999-08-08,Thailand,Myanmar,7-0
Southeast Asian Games,1999-08-09,Brunei,Indonesia,0-3
Southeast Asian Games,1999-08-09,Singapore,Cambodia,2-0
Southeast Asian Games,1999-08-12,Vietnam,Indonesia,1-0
Southeast Asian Games,1999-08-12,Thailand,Singapore,2-0
Southeast Asian Games,1999-08-14,Indonesia,Singapore,0-0
Southeast Asian Games,1999-08-14,Thailand,Vietnam,2-0
