Matchday,Date,Home,Away,FullTime
Vietnam Independence Cup,1961-10-21,South Vietnam,Indonesia,4-1
Vietnam Independence Cup,1961-10-23,Malaya,Indonesia,3-1
Vietnam Independence Cup,1961-10-26,South Vietnam,Malaya,1-0
Vietnam Independence Cup,1962-10-25,South Vietnam,Indonesia,4-0
Vietnam Independence Cup,1962-10-27,Malaya,Thailand,4-2
Vietnam Independence Cup,1962-10-28,Indonesia,Malaya,2-1
Vietnam Independence Cup,1962-10-28,South Vietnam,Thailand,0-1
Vietnam Independence Cup,1962-10-30,Indonesia,Thailand,7-0
Vietnam Independence Cup,1962-10-30,South Vietnam,Malaya,2-0
Vietnam Independence Cup,1962-10-31,South Vietnam,Indonesia,2-0
Vietnam Independence Cup,1965-11-13,South Vietnam,Thailand,4-0
Vietnam Independence Cup,1965-11-14,Malaysia,Thailand,2-1
Vietnam Independence Cup,1965-11-16,South Vietnam,Malaysia,2-2
Vietnam Independence Cup,1966-11-01,South Vietnam,Malaysia,3-2
Vietnam Independence Cup,1966-11-03,Malaysia,Thailand,1-1
Vietnam Independence Cup,1966-11-05,South Vietnam,Thailand,4-1
Vietnam Independence Cup,1967-11-04,South Vietnam,Singapore,2-0
Vietnam Independence Cup,1967-11-04,Malaysia,Thailand,3-2
Vietnam Independence Cup,1967-11-05,Australia,New Zealand,5-3
Vietnam Independence Cup,1967-11-05,South Korea,Hong Kong,1-0
Vietnam Independence Cup,1967-11-07,South Vietnam,Australia,0-1
Vietnam Independence Cup,1967-11-07,South Korea,Thailand,3-1
Vietnam Independence Cup,1967-11-08,Malaysia,Hong Kong,2-0
Vietnam Independence Cup,1967-11-08,New Zealand,Singapore,3-1
Vietnam Independence Cup,1967-11-10,South Vietnam,New Zealand,5-1
Vietnam Independence Cup,1967-11-10,Thailand,Hong Kong,5-1
Vietnam Independence Cup,1967-11-11,Australia,Singapore,5-1
Vietnam Independence Cup,1967-11-11,South Korea,Malaysia,2-1
Vietnam Independence Cup,1967-11-12,Australia,Malaysia,1-0
Vietnam Independence Cup,1967-11-12,South Vietnam,South Korea,0-3
Vietnam Independence Cup,1967-11-14,Australia,South Korea,3-2
Vietnam Independence Cup,1967-11-14,South Vietnam,Malaysia,4-1
Vietnam Independence Cup,1970-10-29,Thailand,Indonesia,2-1
Vietnam Independence Cup,1970-10-29,South Vietnam,Malaysia,1-1
Vietnam Independence Cup,1970-10-31,South Vietnam,Indonesia,3-1
Vietnam Independence Cup,1970-10-31,Thailand,Malaysia,4-1
Vietnam Independence Cup,1970-11-01,Malaysia,Indonesia,3-1
Vietnam Independence Cup,1970-11-01,South Vietnam,Thailand,1-0
Vietnam Independence Cup,1971-10-28,South Vietnam,Malaysia,0-1
Vietnam Independence Cup,1971-10-28,Thailand,Singapore,1-0
Vietnam Independence Cup,1971-10-30,South Vietnam,Thailand,3-0
Vietnam Independence Cup,1971-10-30,Malaysia,Singapore,1-1
Vietnam Independence Cup,1971-10-31,South Vietnam,Malaysia,1-1
Vietnam Independence Cup,1971-10-31,Singapore,Thailand,3-1
Vietnam Independence Cup,1972-10-28,South Vietnam,Malaysia,0-0
Vietnam Independence Cup,1972-10-28,Singapore,Khmer Republic,1-0
Vietnam Independence Cup,1972-10-29,South Vietnam,Singapore,4-1
Vietnam Independence Cup,1972-10-29,Khmer Republic,Malaysia,1-0
Vietnam Independence Cup,1972-11-01,South Vietnam,Khmer Republic,1-2
Vietnam Independence Cup,1972-11-01,Singapore,Malaysia,3-1
Vietnam Independence Cup,1973-11-01,South Vietnam,Malaysia,1-5
Vietnam Independence Cup,1973-11-03,Malaysia,Singapore,2-1
Vietnam Independence Cup,1973-11-04,South Vietnam,Singapore,4-2
Vietnam Independence Cup,1974-11-01,South Vietnam,Laos,1-0
Vietnam Independence Cup,1974-11-02,Laos,Malaysia,0-0
Vietnam Independence Cup,1974-11-03,Malaysia,Taiwan,0-0
Vietnam Independence Cup,1974-11-03,Khmer Republic,Thailand,2-2
Vietnam Independence Cup,1974-11-05,South Vietnam,Malaysia,1-0
Vietnam Independence Cup,1974-11-05,Taiwan,Laos,2-1
Vietnam Independence Cup,1974-11-07,South Vietnam,Taiwan,1-1
Vietnam Independence Cup,1974-11-09,South Vietnam,Thailand,3-2
Vietnam Independence Cup,1974-11-10,Taiwan,Thailand,3-2
