Matchday,Date,Home,Away,FullTime
West Asian Championship,2000-05-23,Iraq,Lebanon,2-1
West Asian Championship,2000-05-23,Jordan,Kyrgyzstan,2-0
West Asian Championship,2000-05-24,Iran,Kazakhstan,3-0
West Asian Championship,2000-05-24,Syria,Palestine,1-0
West Asian Championship,2000-05-25,Lebanon,Kyrgyzstan,2-0
West Asian Championship,2000-05-25,Jordan,Iraq,0-0
West Asian Championship,2000-05-26,Iran,Palestine,1-1
West Asian Championship,2000-05-26,Syria,Kazakhstan,4-0
West Asian Championship,2000-05-27,Jordan,Lebanon,0-0
West Asian Championship,2000-05-27,Iraq,Kyrgyzstan,4-0
West Asian Championship,2000-05-28,Iran,Syria,1-0
West Asian Championship,2000-05-28,Kazakhstan,Palestine,3-2
West Asian Championship,2000-05-31,Jordan,Iran,0-1
West Asian Championship,2000-05-31,Iraq,Syria,0-0
West Asian Championship,2000-06-02,Iran,Syria,1-0
West Asian Championship,2000-06-02,Jordan,Iraq,1-4
West Asian Championship,2002-08-30,Jordan,Iran,1-0
West Asian Championship,2002-08-30,Syria,Palestine,2-1
West Asian Championship,2002-09-01,Jordan,Lebanon,1-0
West Asian Championship,2002-09-01,Iraq,Palestine,2-0
West Asian Championship,2002-09-03,Iran,Lebanon,2-0
West Asian Championship,2002-09-03,Syria,Iraq,0-1
West Asian Championship,2002-09-05,Iran,Iraq,0-0
West Asian Championship,2002-09-05,Syria,Jordan,1-2
West Asian Championship,2002-09-07,Syria,Iran,2-2
West Asian Championship,2002-09-07,Iraq,Jordan,3-2
West Asian Championship,2004-06-17,Iran,Lebanon,4-0
West Asian Championship,2004-06-17,Jordan,Palestine,1-1
West Asian Championship,2004-06-19,Syria,Lebanon,3-1
West Asian Championship,2004-06-19,Iraq,Palestine,2-1
West Asian Championship,2004-06-21,Iran,Syria,7-1
West Asian Championship,2004-06-21,Jordan,Iraq,2-0
West Asian Championship,2004-06-23,Iran,Iraq,2-1
West Asian Championship,2004-06-23,Jordan,Syria,1-1
West Asian Championship,2004-06-25,Iran,Syria,4-1
West Asian Championship,2004-06-25,Jordan,Iraq,3-1
West Asian Championship,2007-06-16,Syria,Lebanon,1-0
West Asian Championship,2007-06-16,Iran,Iraq,0-0
West Asian Championship,2007-06-18,Jordan,Syria,0-1
West Asian Championship,2007-06-18,Iraq,Palestine,1-0
West Asian Championship,2007-06-20,Jordan,Lebanon,3-0
West Asian Championship,2007-06-20,Iran,Palestine,2-0
West Asian Championship,2007-06-22,Jordan,Iran,0-1
West Asian Championship,2007-06-22,Iraq,Syria,3-0
West Asian Championship,2007-06-24,Iran,Iraq,2-1
West Asian Championship,2008-08-07,Iran,Palestine,3-0
West Asian Championship,2008-08-07,Jordan,Syria,0-0
West Asian Championship,2008-08-09,Syria,Oman,2-1
West Asian Championship,2008-08-09,Qatar,Palestine,1-0
West Asian Championship,2008-08-11,Iran,Qatar,6-1
West Asian Championship,2008-08-11,Jordan,Oman,3-1
West Asian Championship,2008-08-13,Iran,Syria,2-0
West Asian Championship,2008-08-13,Jordan,Qatar,3-0
West Asian Championship,2008-08-15,Iran,Jordan,2-1
West Asian Championship,2010-09-24,Iran,Bahrain,3-0
West Asian Championship,2010-09-24,Jordan,Syria,1-1
West Asian Championship,2010-09-25,Iraq,Yemen,2-1
West Asian Championship,2010-09-26,Kuwait,Syria,2-1
West Asian Championship,2010-09-26,Bahrain,Oman,2-0
West Asian Championship,2010-09-27,Yemen,Palestine,3-1
West Asian Championship,2010-09-28,Iran,Oman,2-2
West Asian Championship,2010-09-28,Jordan,Kuwait,2-2
West Asian Championship,2010-09-29,Iraq,Palestine,3-0
West Asian Championship,2010-10-01,Iran,Iraq,2-1
West Asian Championship,2010-10-01,Kuwait,Yemen,1-1
West Asian Championship,2010-10-03,Kuwait,Iran,2-1
West Asian Championship,2012-12-08,Lebanon,Oman,1-0
West Asian Championship,2012-12-08,Kuwait,Palestine,2-1
West Asian Championship,2012-12-09,Iran,Saudi Arabia,0-0
West Asian Championship,2012-12-09,Bahrain,Yemen,1-0
West Asian Championship,2012-12-10,Iraq,Jordan,1-0
West Asian Championship,2012-12-11,Palestine,Lebanon,1-0
West Asian Championship,2012-12-11,Kuwait,Oman,0-2
West Asian Championship,2012-12-12,Bahrain,Iran,0-0
West Asian Championship,2012-12-12,Saudi Arabia,Yemen,1-0
West Asian Championship,2012-12-13,Iraq,Syria,1-1
West Asian Championship,2012-12-14,Kuwait,Lebanon,2-1
West Asian Championship,2012-12-14,Oman,Palestine,2-1
West Asian Championship,2012-12-15,Iran,Yemen,2-1
West Asian Championship,2012-12-15,Bahrain,Saudi Arabia,1-0
West Asian Championship,2012-12-16,Syria,Jordan,2-1
West Asian Championship,2012-12-18,Bahrain,Syria,1-1
West Asian Championship,2012-12-18,Iraq,Oman,2-0
West Asian Championship,2012-12-20,Syria,Iraq,1-0
West Asian Championship,2012-12-20,Oman,Bahrain,1-0
West Asian Championship,2013-12-25,Qatar,Palestine,1-0
West Asian Championship,2013-12-25,Bahrain,Oman,0-0
West Asian Championship,2013-12-26,Jordan,Lebanon,0-0
West Asian Championship,2013-12-28,Bahrain,Iraq,0-0
West Asian Championship,2013-12-28,Palestine,Saudi Arabia,0-0
West Asian Championship,2013-12-29,Kuwait,Lebanon,2-0
West Asian Championship,2013-12-31,Iraq,Oman,0-0
West Asian Championship,2013-12-31,Qatar,Saudi Arabia,4-1
West Asian Championship,2014-01-01,Jordan,Kuwait,2-1
West Asian Championship,2014-01-04,Qatar,Kuwait,3-0
