Matchday,Date,Home,Away,FullTime
CCCF Championship,1941-05-08,Curaçao,Panama,3-3
CCCF Championship,1941-05-10,Costa Rica,Nicaragua,7-2
CCCF Championship,1941-05-11,Costa Rica,Panama,7-0
CCCF Championship,1941-05-11,Curaçao,El Salvador,2-2
CCCF Championship,1941-05-13,Costa Rica,Curaçao,6-2
CCCF Championship,1941-05-13,El Salvador,Nicaragua,8-0
CCCF Championship,1941-05-15,El Salvador,Panama,4-3
CCCF Championship,1941-05-15,Curaçao,Nicaragua,9-1
CCCF Championship,1941-05-18,Costa Rica,El Salvador,3-1
CCCF Championship,1941-05-18,Panama,Nicaragua,5-2
CCCF Championship,1943-12-05,Costa Rica,Nicaragua,7-0
CCCF Championship,1943-12-05,El Salvador,Guatemala,2-2
CCCF Championship,1943-12-07,Guatemala,Costa Rica,3-2
CCCF Championship,1943-12-07,El Salvador,Nicaragua,8-1
CCCF Championship,1943-12-09,El Salvador,Costa Rica,4-2
CCCF Championship,1943-12-09,Guatemala,Nicaragua,6-2
CCCF Championship,1943-12-12,Costa Rica,Nicaragua,3-2
CCCF Championship,1943-12-12,El Salvador,Guatemala,2-1
CCCF Championship,1943-12-16,Guatemala,Costa Rica,4-2
CCCF Championship,1943-12-16,El Salvador,Nicaragua,10-1
CCCF Championship,1943-12-19,El Salvador,Costa Rica,2-4
CCCF Championship,1943-12-19,Guatemala,Nicaragua,5-1
CCCF Championship,1946-02-23,Guatemala,El Salvador,3-1
CCCF Championship,1946-02-23,Panama,Honduras,1-0
CCCF Championship,1946-02-24,Costa Rica,Nicaragua,7-1
CCCF Championship,1946-02-26,Costa Rica,Panama,7-0
CCCF Championship,1946-02-28,El Salvador,Nicaragua,7-2
CCCF Championship,1946-02-28,Honduras,Guatemala,5-3
CCCF Championship,1946-03-07,Costa Rica,Honduras,5-1
CCCF Championship,1946-03-07,El Salvador,Panama,4-1
CCCF Championship,1946-03-07,Guatemala,Nicaragua,7-0
CCCF Championship,1946-03-10,Costa Rica,Guatemala,1-4
CCCF Championship,1946-03-10,El Salvador,Honduras,3-1
CCCF Championship,1946-03-10,Nicaragua,Panama,2-0
CCCF Championship,1946-03-13,Costa Rica,El Salvador,4-0
CCCF Championship,1946-03-13,Guatemala,Panama,3-3
CCCF Championship,1946-03-13,Honduras,Nicaragua,10-0
CCCF Championship,1948-02-29,Costa Rica,El Salvador,3-1
CCCF Championship,1948-03-01,Costa Rica,Panama,7-0
CCCF Championship,1948-03-02,Guatemala,El Salvador,3-0
CCCF Championship,1948-03-03,Guatemala,Costa Rica,1-1
CCCF Championship,1948-03-04,Curaçao,Panama,3-1
CCCF Championship,1948-03-05,Guatemala,Curaçao,2-2
CCCF Championship,1948-03-06,Costa Rica,Curaçao,2-1
CCCF Championship,1948-03-07,Panama,El Salvador,2-1
CCCF Championship,1948-03-09,El Salvador,Curaçao,1-0
CCCF Championship,1948-03-09,Guatemala,Panama,4-3
CCCF Championship,1948-03-10,Costa Rica,Panama,3-1
CCCF Championship,1948-03-11,El Salvador,Curaçao,2-0
CCCF Championship,1948-03-13,Guatemala,El Salvador,1-1
CCCF Championship,1948-03-14,Panama,Curaçao,5-2
CCCF Championship,1948-03-16,Panama,El Salvador,2-0
CCCF Championship,1948-03-17,Guatemala,Costa Rica,3-2
CCCF Championship,1948-03-18,Costa Rica,El Salvador,6-0
CCCF Championship,1948-03-18,Guatemala,Curaçao,2-2
CCCF Championship,1948-03-20,Curaçao,Costa Rica,4-1
CCCF Championship,1948-03-21,Guatemala,Panama,4-5
CCCF Championship,1951-02-25,Costa Rica,Nicaragua,8-1
CCCF Championship,1951-02-27,Panama,Costa Rica,2-0
CCCF Championship,1951-02-28,Panama,Nicaragua,4-0
CCCF Championship,1951-03-02,Panama,Costa Rica,1-1
CCCF Championship,1951-03-03,Costa Rica,Nicaragua,4-1
CCCF Championship,1951-03-04,Panama,Nicaragua,6-2
CCCF Championship,1953-03-08,Costa Rica,El Salvador,5-1
CCCF Championship,1953-03-08,Honduras,Nicaragua,2-1
CCCF Championship,1953-03-09,Guatemala,Netherlands Antilles,1-1
CCCF Championship,1953-03-10,Costa Rica,Panama,3-0
CCCF Championship,1953-03-10,El Salvador,Nicaragua,4-1
CCCF Championship,1953-03-11,Guatemala,Honduras,1-0
CCCF Championship,1953-03-11,Netherlands Antilles,Nicaragua,8-0
CCCF Championship,1953-03-12,Netherlands Antilles,Panama,4-2
CCCF Championship,1953-03-13,Costa Rica,Honduras,4-1
CCCF Championship,1953-03-13,Guatemala,El Salvador,3-2
CCCF Championship,1953-03-14,Nicaragua,Panama,2-0
CCCF Championship,1953-03-15,Costa Rica,Netherlands Antilles,1-0
CCCF Championship,1953-03-15,Honduras,El Salvador,3-0
CCCF Championship,1953-03-17,Costa Rica,Nicaragua,3-0
CCCF Championship,1953-03-17,Guatemala,Panama,2-2
CCCF Championship,1953-03-19,El Salvador,Panama,2-1
CCCF Championship,1953-03-19,Guatemala,Nicaragua,1-0
CCCF Championship,1953-03-19,Honduras,Netherlands Antilles,4-3
CCCF Championship,1953-03-21,Honduras,Panama,3-1
CCCF Championship,1953-03-22,Costa Rica,Guatemala,3-0
CCCF Championship,1953-03-22,El Salvador,Netherlands Antilles,1-1
CCCF Championship,1955-08-14,Costa Rica,Aruba,3-2
CCCF Championship,1955-08-14,Honduras,Cuba,3-0
CCCF Championship,1955-08-15,El Salvador,Guatemala,3-2
CCCF Championship,1955-08-16,Costa Rica,Cuba,6-0
CCCF Championship,1955-08-16,Curaçao,Aruba,2-1
CCCF Championship,1955-08-17,Honduras,El Salvador,3-1
CCCF Championship,1955-08-18,Guatemala,Curaçao,4-1
CCCF Championship,1955-08-19,Costa Rica,El Salvador,4-0
CCCF Championship,1955-08-19,Aruba,Cuba,5-1
CCCF Championship,1955-08-20,Honduras,Curaçao,0-2
CCCF Championship,1955-08-21,Costa Rica,Guatemala,2-0
CCCF Championship,1955-08-21,El Salvador,Cuba,2-1
CCCF Championship,1955-08-22,Honduras,Aruba,1-1
CCCF Championship,1955-08-24,Costa Rica,Curaçao,2-1
CCCF Championship,1955-08-24,El Salvador,Aruba,2-0
CCCF Championship,1955-08-26,Curaçao,El Salvador,3-0
CCCF Championship,1955-08-28,Honduras,Costa Rica,1-2
CCCF Championship,1955-08-28,Curaçao,Cuba,2-0
CCCF Championship,1957-08-11,Honduras,Panama,2-1
CCCF Championship,1957-08-13,Curaçao,Haiti,1-3
CCCF Championship,1957-08-14,Panama,Cuba,1-0
CCCF Championship,1957-08-16,Haiti,Honduras,2-1
CCCF Championship,1957-08-18,Curaçao,Cuba,2-0
CCCF Championship,1957-08-19,Haiti,Panama,3-1
CCCF Championship,1957-08-21,Curaçao,Panama,3-0
CCCF Championship,1957-08-21,Honduras,Cuba,2-0
CCCF Championship,1957-08-23,Haiti,Cuba,6-1
CCCF Championship,1957-08-25,Curaçao,Honduras,1-1
CCCF Championship,1960-02-14,Costa Rica,Netherlands Antilles,1-1
CCCF Championship,1960-02-15,Cuba,Suriname,0-2
CCCF Championship,1960-02-17,Costa Rica,Suriname,3-1
CCCF Championship,1960-02-19,Honduras,Netherlands Antilles,3-3
CCCF Championship,1960-02-21,Cuba,Costa Rica,0-5
CCCF Championship,1960-02-21,Honduras,Suriname,1-1
CCCF Championship,1960-02-23,Cuba,Netherlands Antilles,3-4
CCCF Championship,1960-02-25,Costa Rica,Honduras,1-1
CCCF Championship,1960-02-27,Netherlands Antilles,Suriname,1-0
CCCF Championship,1960-02-27,Cuba,Honduras,2-1
CCCF Championship,1960-02-29,Costa Rica,Netherlands Antilles,4-0
CCCF Championship,1961-03-05,Costa Rica,Cuba,4-1
CCCF Championship,1961-03-06,El Salvador,Netherlands Antilles,0-0
CCCF Championship,1961-03-06,Guatemala,Panama,2-0
CCCF Championship,1961-03-07,Haiti,Cuba,2-1
CCCF Championship,1961-03-07,Honduras,Nicaragua,6-0
CCCF Championship,1961-03-08,Costa Rica,Panama,6-1
CCCF Championship,1961-03-09,El Salvador,Nicaragua,10-2
CCCF Championship,1961-03-09,Haiti,Guatemala,3-1
CCCF Championship,1961-03-10,Honduras,Netherlands Antilles,4-2
CCCF Championship,1961-03-10,Panama,Cuba,1-0
CCCF Championship,1961-03-11,Costa Rica,Haiti,3-0
CCCF Championship,1961-03-12,El Salvador,Honduras,1-0
CCCF Championship,1961-03-12,Guatemala,Cuba,2-0
