Matchday,Date,Home,Away,FullTime
CONCACAF Ch & Car Ch q,2008-07-27,Netherlands Antilles,Aruba,0-0
CONCACAF Ch & Car Ch q,2008-07-29,Grenada,Aruba,3-1
CONCACAF Ch & Car Ch q,2008-07-31,Netherlands Antilles,Grenada,2-0
CONCACAF Ch & Car Ch q,2008-08-08,Guyana,Dominica,3-0
CONCACAF Ch & Car Ch q,2008-08-09,Suriname,Dominica,3-1
CONCACAF Ch & Car Ch q,2008-08-10,Guyana,Suriname,1-1
CONCACAF Ch & Car Ch q,2008-08-27,Antigua and Barbuda,Bermuda,4-0
CONCACAF Ch & Car Ch q,2008-08-27,Cayman Islands,Saint Martin,3-0
CONCACAF Ch & Car Ch q,2008-08-30,Bermuda,Saint Martin,7-0
CONCACAF Ch & Car Ch q,2008-08-30,Cayman Islands,Antigua and Barbuda,1-1
CONCACAF Ch & Car Ch q,2008-08-31,Cayman Islands,Bermuda,0-0
CONCACAF Ch & Car Ch q,2008-08-31,Antigua and Barbuda,Saint Martin,3-2
CONCACAF Ch & Car Ch q,2008-09-15,Martinique,St Vincent & Grenadines,3-0
CONCACAF Ch & Car Ch q,2008-09-17,St Vincent & Grenadines,Anguilla,3-1
CONCACAF Ch & Car Ch q,2008-09-19,Martinique,Anguilla,3-1
CONCACAF Ch & Car Ch q,2008-09-24,Saint Kitts and Nevis,British Virgin Islands,4-0
CONCACAF Ch & Car Ch q,2008-09-26,Barbados,British Virgin Islands,2-1
CONCACAF Ch & Car Ch q,2008-09-28,Saint Kitts and Nevis,Barbados,1-3
CONCACAF Ch & Car Ch q,2008-10-11,Grenada,Martinique,2-2
CONCACAF Ch & Car Ch q,2008-10-11,Guadeloupe,Cayman Islands,7-1
CONCACAF Ch & Car Ch q,2008-10-13,Martinique,Cayman Islands,1-0
CONCACAF Ch & Car Ch q,2008-10-13,Guadeloupe,Grenada,2-1
CONCACAF Ch & Car Ch q,2008-10-15,Guadeloupe,Martinique,3-1
CONCACAF Ch & Car Ch q,2008-10-15,Grenada,Cayman Islands,4-2
