Matchday,Date,Home,Away,FullTime
CONCACAF Ch & Car Cup q,1991-05-08,Suriname,Aruba,1-0
CONCACAF Ch & Car Cup q,1991-05-10,Guyana,Aruba,4-1
CONCACAF Ch & Car Cup q,1991-05-10,Haiti,Puerto Rico,3-2
CONCACAF Ch & Car Cup q,1991-05-10,Cayman Islands,British Virgin Islands,2-1
CONCACAF Ch & Car Cup q,1991-05-12,Dominican Republic,Haiti,1-1
CONCACAF Ch & Car Cup q,1991-05-12,Guyana,Suriname,1-1
CONCACAF Ch & Car Cup q,1991-05-12,Saint Lucia,Montserrat,3-0
CONCACAF Ch & Car Cup q,1991-05-12,Saint Kitts and Nevis,Cayman Islands,1-1
CONCACAF Ch & Car Cup q,1991-05-14,Saint Kitts and Nevis,British Virgin Islands,0-0
CONCACAF Ch & Car Cup q,1991-05-14,Dominican Republic,Puerto Rico,3-1
CONCACAF Ch & Car Cup q,1991-05-14,Anguilla,Montserrat,1-1
CONCACAF Ch & Car Cup q,1991-05-15,Martinique,French Guiana,1-2
CONCACAF Ch & Car Cup q,1991-05-16,Saint Lucia,Anguilla,6-0
CONCACAF Ch & Car Cup q,1991-05-17,Guadeloupe,French Guiana,1-0
CONCACAF Ch & Car Cup q,1991-05-19,Martinique,Guadeloupe,3-1
CONCACAF Ch & Car Cup q,1993-03-01,French Guiana,Guadeloupe,2-1
CONCACAF Ch & Car Cup q,1993-03-03,Martinique,Guadeloupe,4-1
CONCACAF Ch & Car Cup q,1993-03-05,Martinique,French Guiana,2-1
CONCACAF Ch & Car Cup q,1993-03-11,Guyana,Cayman Islands,3-2
CONCACAF Ch & Car Cup q,1993-03-11,Puerto Rico,Barbados,1-0
CONCACAF Ch & Car Cup q,1993-03-12,Guyana,Puerto Rico,0-2
CONCACAF Ch & Car Cup q,1993-03-12,Barbados,Cayman Islands,6-1
CONCACAF Ch & Car Cup q,1993-03-14,Guyana,Barbados,0-3
CONCACAF Ch & Car Cup q,1993-03-14,Puerto Rico,Cayman Islands,4-0
CONCACAF Ch & Car Cup q,1993-04-02,Saint Kitts and Nevis,British Virgin Islands,5-1
CONCACAF Ch & Car Cup q,1993-04-02,Sint Maarten,Antigua and Barbuda,1-0
CONCACAF Ch & Car Cup q,1993-04-04,Dominican Republic,British Virgin Islands,3-1
CONCACAF Ch & Car Cup q,1993-04-04,Anguilla,Antigua and Barbuda,0-4
CONCACAF Ch & Car Cup q,1993-04-06,Saint Kitts and Nevis,Dominican Republic,2-2
CONCACAF Ch & Car Cup q,1993-04-06,Anguilla,Sint Maarten,0-1
CONCACAF Ch & Car Cup q,1993-04-25,Grenada,Dominica,1-1
