Matchday,Date,Home,Away,FullTime
CONCACAF Ch q & C Am Cup,2011-01-14,Costa Rica,Honduras,1-1
CONCACAF Ch q & C Am Cup,2011-01-14,El Salvador,Nicaragua,2-0
CONCACAF Ch q & C Am Cup,2011-01-14,Panama,Belize,2-0
CONCACAF Ch q & C Am Cup,2011-01-16,Costa Rica,Guatemala,2-0
CONCACAF Ch q & C Am Cup,2011-01-16,El Salvador,Belize,5-2
CONCACAF Ch q & C Am Cup,2011-01-16,Panama,Nicaragua,2-0
CONCACAF Ch q & C Am Cup,2011-01-18,Panama,El Salvador,2-0
CONCACAF Ch q & C Am Cup,2011-01-18,Honduras,Guatemala,3-1
CONCACAF Ch q & C Am Cup,2011-01-18,Belize,Nicaragua,1-1
CONCACAF Ch q & C Am Cup,2011-01-21,Guatemala,Nicaragua,2-1
CONCACAF Ch q & C Am Cup,2013-01-18,Costa Rica,Belize,1-0
CONCACAF Ch q & C Am Cup,2013-01-18,El Salvador,Honduras,1-1
CONCACAF Ch q & C Am Cup,2013-01-18,Guatemala,Nicaragua,1-1
CONCACAF Ch q & C Am Cup,2013-01-20,Costa Rica,Nicaragua,2-0
CONCACAF Ch q & C Am Cup,2013-01-20,El Salvador,Panama,0-0
CONCACAF Ch q & C Am Cup,2013-01-20,Belize,Guatemala,0-0
CONCACAF Ch q & C Am Cup,2013-01-22,Costa Rica,Guatemala,1-1
CONCACAF Ch q & C Am Cup,2013-01-22,Honduras,Panama,1-1
CONCACAF Ch q & C Am Cup,2013-01-22,Belize,Nicaragua,2-1
CONCACAF Ch q & C Am Cup,2013-01-25,Panama,Guatemala,3-1
CONCACAF Ch q & C Am Cup,2014-09-03,Costa Rica,Nicaragua,3-0
CONCACAF Ch q & C Am Cup,2014-09-03,Guatemala,El Salvador,2-1
CONCACAF Ch q & C Am Cup,2014-09-03,Honduras,Belize,2-0
CONCACAF Ch q & C Am Cup,2014-09-07,Costa Rica,Panama,2-2
CONCACAF Ch q & C Am Cup,2014-09-07,El Salvador,Honduras,1-0
CONCACAF Ch q & C Am Cup,2014-09-07,Guatemala,Belize,2-1
CONCACAF Ch q & C Am Cup,2014-09-10,El Salvador,Belize,2-0
CONCACAF Ch q & C Am Cup,2014-09-10,Guatemala,Honduras,2-0
CONCACAF Ch q & C Am Cup,2014-09-10,Panama,Nicaragua,2-0
CONCACAF Ch q & C Am Cup,2014-09-13,Honduras,Nicaragua,1-0
CONCACAF Ch q & C Am Cup,2017-01-13,Costa Rica,El Salvador,0-0
CONCACAF Ch q & C Am Cup,2017-01-13,Honduras,Nicaragua,2-1
CONCACAF Ch q & C Am Cup,2017-01-13,Panama,Belize,0-0
CONCACAF Ch q & C Am Cup,2017-01-15,Costa Rica,Belize,3-0
CONCACAF Ch q & C Am Cup,2017-01-15,Honduras,El Salvador,2-1
CONCACAF Ch q & C Am Cup,2017-01-15,Panama,Nicaragua,2-1
CONCACAF Ch q & C Am Cup,2017-01-17,Costa Rica,Nicaragua,0-0
CONCACAF Ch q & C Am Cup,2017-01-17,El Salvador,Belize,3-1
CONCACAF Ch q & C Am Cup,2017-01-17,Panama,Honduras,0-1
CONCACAF Ch q & C Am Cup,2017-01-20,Costa Rica,Honduras,1-1
CONCACAF Ch q & C Am Cup,2017-01-20,Panama,El Salvador,1-0
CONCACAF Ch q & C Am Cup,2017-01-20,Nicaragua,Belize,3-1
CONCACAF Ch q & C Am Cup,2017-01-22,Panama,Costa Rica,1-0
CONCACAF Ch q & C Am Cup,2017-01-22,El Salvador,Nicaragua,1-0
CONCACAF Ch q & C Am Cup,2017-01-22,Honduras,Belize,1-0
