Matchday,Date,Home,Away,FullTime
CONCACAF Ch q & Car Cup,1991-05-23,Trinidad and Tobago,Dominican Republic,7-0
CONCACAF Ch q & Car Cup,1991-05-23,Martinique,Saint Lucia,0-0
CONCACAF Ch q & Car Cup,1991-05-24,Jamaica,Guyana,6-0
CONCACAF Ch q & Car Cup,1991-05-25,Trinidad and Tobago,Martinique,1-0
CONCACAF Ch q & Car Cup,1991-05-25,Dominican Republic,Saint Lucia,0-0
CONCACAF Ch q & Car Cup,1991-05-26,Jamaica,Cayman Islands,3-2
CONCACAF Ch q & Car Cup,1991-05-27,Saint Lucia,Trinidad and Tobago,2-1
CONCACAF Ch q & Car Cup,1991-05-27,Martinique,Dominican Republic,4-1
CONCACAF Ch q & Car Cup,1991-05-28,Guyana,Cayman Islands,2-1
CONCACAF Ch q & Car Cup,1991-05-30,Jamaica,Saint Lucia,2-0
CONCACAF Ch q & Car Cup,1991-05-30,Trinidad and Tobago,Guyana,3-1
CONCACAF Ch q & Car Cup,1993-05-21,Jamaica,Saint Kitts and Nevis,4-1
CONCACAF Ch q & Car Cup,1993-05-21,Trinidad and Tobago,St Vincent & Grenadines,4-1
CONCACAF Ch q & Car Cup,1993-05-21,Martinique,Saint Lucia,2-0
CONCACAF Ch q & Car Cup,1993-05-21,Puerto Rico,Sint Maarten,3-0
CONCACAF Ch q & Car Cup,1993-05-23,Jamaica,Sint Maarten,2-0
CONCACAF Ch q & Car Cup,1993-05-23,Saint Lucia,Trinidad and Tobago,1-1
CONCACAF Ch q & Car Cup,1993-05-23,Martinique,St Vincent & Grenadines,3-0
CONCACAF Ch q & Car Cup,1993-05-23,Saint Kitts and Nevis,Puerto Rico,1-0
CONCACAF Ch q & Car Cup,1993-05-25,Jamaica,Puerto Rico,1-0
CONCACAF Ch q & Car Cup,1993-05-25,Martinique,Trinidad and Tobago,3-2
CONCACAF Ch q & Car Cup,1993-05-25,St Vincent & Grenadines,Saint Lucia,4-1
CONCACAF Ch q & Car Cup,1993-05-25,Saint Kitts and Nevis,Sint Maarten,2-2
CONCACAF Ch q & Car Cup,1993-05-28,Jamaica,Trinidad and Tobago,3-0
CONCACAF Ch q & Car Cup,1993-05-28,Martinique,Saint Kitts and Nevis,1-1
CONCACAF Ch q & Car Cup,1995-07-19,Jamaica,Saint Lucia,2-1
CONCACAF Ch q & Car Cup,1995-07-19,Trinidad and Tobago,Cuba,2-0
CONCACAF Ch q & Car Cup,1995-07-21,Jamaica,Cuba,1-2
CONCACAF Ch q & Car Cup,1995-07-21,Trinidad and Tobago,Saint Lucia,5-0
CONCACAF Ch q & Car Cup,1995-07-21,St Vincent & Grenadines,French Guiana,3-1
CONCACAF Ch q & Car Cup,1995-07-21,Cayman Islands,Antigua and Barbuda,2-0
CONCACAF Ch q & Car Cup,1995-07-23,Jamaica,Trinidad and Tobago,1-0
CONCACAF Ch q & Car Cup,1995-07-23,Cuba,Saint Lucia,2-0
CONCACAF Ch q & Car Cup,1995-07-23,Cayman Islands,French Guiana,1-0
CONCACAF Ch q & Car Cup,1995-07-23,St Vincent & Grenadines,Antigua and Barbuda,5-1
CONCACAF Ch q & Car Cup,1995-07-25,Antigua and Barbuda,French Guiana,2-1
CONCACAF Ch q & Car Cup,1995-07-25,Cayman Islands,St Vincent & Grenadines,2-2
