Matchday,Date,Home,Away,FullTime
CONCACAF Champ qual,1965-03-07,El Salvador,Nicaragua,4-0
CONCACAF Champ qual,1965-03-11,Nicaragua,Honduras,2-0
CONCACAF Champ qual,1965-03-14,El Salvador,Honduras,3-1
CONCACAF Champ qual,1967-01-11,Jamaica,Netherlands Antilles,1-1
CONCACAF Champ qual,1967-01-12,Cuba,Haiti,1-1
CONCACAF Champ qual,1967-01-13,Trinidad and Tobago,Netherlands Antilles,2-1
CONCACAF Champ qual,1967-01-14,Jamaica,Cuba,2-1
CONCACAF Champ qual,1967-01-16,Haiti,Trinidad and Tobago,4-2
CONCACAF Champ qual,1967-01-17,Cuba,Netherlands Antilles,2-2
CONCACAF Champ qual,1967-01-18,Jamaica,Trinidad and Tobago,1-1
CONCACAF Champ qual,1967-01-19,Haiti,Netherlands Antilles,1-0
CONCACAF Champ qual,1967-01-20,Trinidad and Tobago,Cuba,2-1
CONCACAF Champ qual,1967-01-21,Jamaica,Haiti,0-1
CONCACAF Champ qual,1967-02-13,Guatemala,Panama,3-1
CONCACAF Champ qual,1967-02-15,Guatemala,Nicaragua,3-1
CONCACAF Champ qual,1967-02-17,Nicaragua,Panama,3-1
CONCACAF Champ qual,1969-10-21,Mexico,Bermuda,3-0
CONCACAF Champ qual,1969-11-02,Bermuda,Mexico,2-1
CONCACAF Champ qual,1969-11-03,Jamaica,Panama,1-1
CONCACAF Champ qual,1969-11-05,Jamaica,Panama,2-1
CONCACAF Champ qual,1971-09-09,Nicaragua,El Salvador,2-3
CONCACAF Champ qual,1971-09-15,El Salvador,Nicaragua,1-0
CONCACAF Champ qual,1971-10-01,Jamaica,Cuba,0-1
CONCACAF Champ qual,1971-10-01,Suriname,Guyana,4-1
CONCACAF Champ qual,1971-10-03,Bermuda,Mexico,0-2
CONCACAF Champ qual,1971-10-04,Honduras,Guatemala,1-0
CONCACAF Champ qual,1971-10-04,Cuba,Jamaica,0-0
CONCACAF Champ qual,1971-10-04,Guyana,Suriname,2-3
CONCACAF Champ qual,1971-10-07,Guatemala,Honduras,1-1
CONCACAF Champ qual,1971-10-13,Mexico,Bermuda,4-0
CONCACAF Champ qual,1997-10-04,Saint Kitts and Nevis,Cuba,0-2
CONCACAF Champ qual,1999-10-06,Canada,Cuba,0-0
CONCACAF Champ qual,1999-10-06,El Salvador,Haiti,1-1
CONCACAF Champ qual,1999-10-08,Canada,El Salvador,2-1
CONCACAF Champ qual,1999-10-08,Haiti,Cuba,1-0
CONCACAF Champ qual,1999-10-10,Canada,Haiti,2-1
CONCACAF Champ qual,1999-10-10,Cuba,El Salvador,3-1
CONCACAF Champ qual,2001-07-29,Panama,Cuba,0-0
CONCACAF Champ qual,2001-08-05,Cuba,Panama,1-0
CONCACAF Champ qual,2002-07-06,Grenada,Saint Martin,8-3
CONCACAF Champ qual,2002-07-07,Guadeloupe,Puerto Rico,4-0
CONCACAF Champ qual,2002-07-14,British Virgin Islands,Saint Lucia,1-3
CONCACAF Champ qual,2002-07-21,Puerto Rico,Guadeloupe,0-2
CONCACAF Champ qual,2002-07-28,Aruba,Suriname,0-2
CONCACAF Champ qual,2002-07-28,Guyana,Netherlands Antilles,2-1
CONCACAF Champ qual,2002-07-28,Saint Lucia,British Virgin Islands,8-1
