Matchday,Date,Home,Away,FullTime
CONCACAF Nations League,2021-06-03,United States,Honduras,1-0
CONCACAF Nations League,2021-06-03,Costa Rica,Mexico,0-0
CONCACAF Nations League,2021-06-06,United States,Mexico,3-2
CONCACAF Nations League,2021-06-06,Costa Rica,Honduras,2-2
CONCACAF Nations League,2023-06-15,United States,Mexico,3-0
CONCACAF Nations League,2023-06-15,Canada,Panama,2-0
CONCACAF Nations League,2023-06-18,United States,Canada,2-0
CONCACAF Nations League,2023-06-18,Mexico,Panama,1-0
CONCACAF Nations League,2024-03-21,United States,Jamaica,3-1
CONCACAF Nations League,2024-03-21,Mexico,Panama,3-0
CONCACAF Nations League,2024-03-24,Jamaica,Panama,1-0
CONCACAF Nations League,2024-03-24,United States,Mexico,2-0
