Matchday,Date,Home,Away,FullTime
CONCACAF Nations League A,2019-09-05,Bermuda,Panama,1-4
CONCACAF Nations League A,2019-09-06,Martinique,Trinidad and Tobago,1-1
CONCACAF Nations League A,2019-09-07,Canada,Cuba,6-0
CONCACAF Nations League A,2019-09-07,Curaçao,Haiti,1-0
CONCACAF Nations League A,2019-09-08,Panama,Bermuda,0-2
CONCACAF Nations League A,2019-09-09,Trinidad and Tobago,Martinique,2-2
CONCACAF Nations League A,2019-09-10,Canada,Cuba,1-0
CONCACAF Nations League A,2019-09-10,Haiti,Curaçao,1-1
CONCACAF Nations League A,2019-10-10,Costa Rica,Haiti,1-1
CONCACAF Nations League A,2019-10-10,Trinidad and Tobago,Honduras,0-2
CONCACAF Nations League A,2019-10-11,United States,Cuba,7-0
CONCACAF Nations League A,2019-10-11,Bermuda,Mexico,1-5
CONCACAF Nations League A,2019-10-13,Costa Rica,Curaçao,0-0
CONCACAF Nations League A,2019-10-13,Honduras,Martinique,1-0
CONCACAF Nations League A,2019-10-15,Canada,United States,2-0
CONCACAF Nations League A,2019-10-15,Mexico,Panama,3-1
CONCACAF Nations League A,2019-11-14,Curaçao,Costa Rica,1-2
CONCACAF Nations League A,2019-11-14,Martinique,Honduras,1-1
CONCACAF Nations League A,2019-11-15,United States,Canada,4-1
CONCACAF Nations League A,2019-11-15,Panama,Mexico,0-3
CONCACAF Nations League A,2019-11-17,Costa Rica,Haiti,1-1
CONCACAF Nations League A,2019-11-17,Honduras,Trinidad and Tobago,4-0
CONCACAF Nations League A,2019-11-19,United States,Cuba,4-0
CONCACAF Nations League A,2019-11-19,Mexico,Bermuda,2-1
CONCACAF Nations League A,2022-06-02,Panama,Costa Rica,2-0
CONCACAF Nations League A,2022-06-03,Curaçao,Honduras,0-1
CONCACAF Nations League A,2022-06-04,El Salvador,Grenada,3-1
CONCACAF Nations League A,2022-06-04,Suriname,Jamaica,1-1
CONCACAF Nations League A,2022-06-05,Costa Rica,Martinique,2-0
CONCACAF Nations League A,2022-06-06,Honduras,Curaçao,1-2
CONCACAF Nations League A,2022-06-07,Grenada,El Salvador,2-2
CONCACAF Nations League A,2022-06-07,Jamaica,Suriname,3-1
CONCACAF Nations League A,2022-06-09,Canada,Curaçao,4-0
CONCACAF Nations League A,2022-06-09,Panama,Martinique,5-0
CONCACAF Nations League A,2022-06-10,United States,Grenada,5-0
CONCACAF Nations League A,2022-06-11,Mexico,Suriname,3-0
CONCACAF Nations League A,2022-06-12,Martinique,Panama,0-0
CONCACAF Nations League A,2022-06-13,Honduras,Canada,2-1
CONCACAF Nations League A,2022-06-14,El Salvador,United States,1-1
CONCACAF Nations League A,2022-06-14,Jamaica,Mexico,1-1
CONCACAF Nations League A,2023-03-23,Suriname,Mexico,0-2
CONCACAF Nations League A,2023-03-24,Grenada,United States,1-7
CONCACAF Nations League A,2023-03-25,Curaçao,Canada,0-2
CONCACAF Nations League A,2023-03-25,Martinique,Costa Rica,1-2
CONCACAF Nations League A,2023-03-26,Mexico,Jamaica,2-2
CONCACAF Nations League A,2023-03-27,United States,El Salvador,1-0
CONCACAF Nations League A,2023-03-28,Canada,Honduras,4-1
CONCACAF Nations League A,2023-03-28,Costa Rica,Panama,0-1
CONCACAF Nations League A,2023-09-07,Guatemala,El Salvador,2-0
CONCACAF Nations League A,2023-09-07,Trinidad and Tobago,Curaçao,1-0
CONCACAF Nations League A,2023-09-07,Panama,Martinique,3-0
CONCACAF Nations League A,2023-09-08,Cuba,Haiti,0-0
CONCACAF Nations League A,2023-09-08,Jamaica,Honduras,1-0
CONCACAF Nations League A,2023-09-08,Grenada,Suriname,1-1
CONCACAF Nations League A,2023-09-10,El Salvador,Trinidad and Tobago,2-3
CONCACAF Nations League A,2023-09-10,Guatemala,Panama,1-1
CONCACAF Nations League A,2023-09-10,Martinique,Curaçao,1-0
CONCACAF Nations League A,2023-09-12,Jamaica,Haiti,2-2
CONCACAF Nations League A,2023-09-12,Honduras,Grenada,4-0
CONCACAF Nations League A,2023-09-12,Cuba,Suriname,1-0
CONCACAF Nations League A,2023-10-12,Suriname,Haiti,1-1
CONCACAF Nations League A,2023-10-12,Grenada,Jamaica,1-4
CONCACAF Nations League A,2023-10-12,Cuba,Honduras,0-0
CONCACAF Nations League A,2023-10-13,Martinique,El Salvador,1-0
CONCACAF Nations League A,2023-10-13,Trinidad and Tobago,Guatemala,3-2
CONCACAF Nations League A,2023-10-13,Curaçao,Panama,1-2
CONCACAF Nations League A,2023-10-15,Jamaica,Haiti,3-2
CONCACAF Nations League A,2023-10-15,Honduras,Cuba,4-0
CONCACAF Nations League A,2023-10-15,Suriname,Grenada,4-0
CONCACAF Nations League A,2023-10-17,El Salvador,Martinique,0-0
CONCACAF Nations League A,2023-10-17,Panama,Guatemala,3-0
CONCACAF Nations League A,2023-10-17,Curaçao,Trinidad and Tobago,5-3
CONCACAF Nations League A,2023-11-16,United States,Trinidad and Tobago,3-0
CONCACAF Nations League A,2023-11-16,Costa Rica,Panama,0-3
CONCACAF Nations League A,2023-11-17,Honduras,Mexico,2-0
CONCACAF Nations League A,2023-11-18,Jamaica,Canada,1-2
CONCACAF Nations League A,2023-11-20,Trinidad and Tobago,United States,2-1
CONCACAF Nations League A,2023-11-20,Panama,Costa Rica,3-1
CONCACAF Nations League A,2023-11-21,Canada,Jamaica,2-3
CONCACAF Nations League A,2023-11-21,Mexico,Honduras,2-0
