Matchday,Date,Home,Away,FullTime
CONCACAF Nations League B,2019-09-05,Nicaragua,St Vincent & Grenadines,1-1
CONCACAF Nations League B,2019-09-05,Dominica,Suriname,1-2
CONCACAF Nations League B,2019-09-05,Grenada,Saint Kitts and Nevis,2-1
CONCACAF Nations League B,2019-09-06,Guyana,Aruba,1-0
CONCACAF Nations League B,2019-09-06,Jamaica,Antigua and Barbuda,6-0
CONCACAF Nations League B,2019-09-07,El Salvador,Saint Lucia,3-0
CONCACAF Nations League B,2019-09-07,Montserrat,Dominican Republic,2-1
CONCACAF Nations League B,2019-09-08,Suriname,Nicaragua,6-0
CONCACAF Nations League B,2019-09-08,St Vincent & Grenadines,Dominica,1-0
CONCACAF Nations League B,2019-09-08,Saint Kitts and Nevis,French Guiana,2-2
CONCACAF Nations League B,2019-09-08,Belize,Grenada,1-2
CONCACAF Nations League B,2019-09-09,Antigua and Barbuda,Aruba,2-1
CONCACAF Nations League B,2019-09-09,Guyana,Jamaica,0-4
CONCACAF Nations League B,2019-09-10,Dominican Republic,El Salvador,1-0
CONCACAF Nations League B,2019-09-10,Montserrat,Saint Lucia,1-1
CONCACAF Nations League B,2019-10-10,French Guiana,Grenada,0-0
CONCACAF Nations League B,2019-10-10,Belize,Saint Kitts and Nevis,0-4
CONCACAF Nations League B,2019-10-11,Antigua and Barbuda,Guyana,2-1
CONCACAF Nations League B,2019-10-11,Nicaragua,Dominica,3-1
CONCACAF Nations League B,2019-10-11,St Vincent & Grenadines,Suriname,2-2
CONCACAF Nations League B,2019-10-12,Montserrat,El Salvador,0-2
CONCACAF Nations League B,2019-10-12,Jamaica,Aruba,2-0
CONCACAF Nations League B,2019-10-12,Dominican Republic,Saint Lucia,3-0
CONCACAF Nations League B,2019-10-13,Grenada,French Guiana,1-0
CONCACAF Nations League B,2019-10-13,Saint Kitts and Nevis,Belize,0-1
CONCACAF Nations League B,2019-10-14,Guyana,Antigua and Barbuda,5-1
CONCACAF Nations League B,2019-10-14,Dominica,Nicaragua,0-4
CONCACAF Nations League B,2019-10-14,Suriname,St Vincent & Grenadines,0-1
CONCACAF Nations League B,2019-10-15,Saint Lucia,El Salvador,0-2
CONCACAF Nations League B,2019-10-15,Jamaica,Aruba,6-0
CONCACAF Nations League B,2019-10-15,Dominican Republic,Montserrat,0-0
CONCACAF Nations League B,2019-11-14,Belize,French Guiana,2-0
CONCACAF Nations League B,2019-11-14,Saint Kitts and Nevis,Grenada,0-0
CONCACAF Nations League B,2019-11-15,Guyana,Aruba,4-2
CONCACAF Nations League B,2019-11-15,Antigua and Barbuda,Jamaica,0-2
CONCACAF Nations League B,2019-11-15,St Vincent & Grenadines,Nicaragua,1-0
CONCACAF Nations League B,2019-11-15,Suriname,Dominica,4-0
CONCACAF Nations League B,2019-11-16,El Salvador,Montserrat,1-0
CONCACAF Nations League B,2019-11-16,Saint Lucia,Dominican Republic,1-0
CONCACAF Nations League B,2019-11-17,French Guiana,Saint Kitts and Nevis,3-1
CONCACAF Nations League B,2019-11-17,Grenada,Belize,3-2
CONCACAF Nations League B,2019-11-18,Antigua and Barbuda,Aruba,3-2
CONCACAF Nations League B,2019-11-18,Jamaica,Guyana,1-1
CONCACAF Nations League B,2019-11-18,Nicaragua,Suriname,1-2
CONCACAF Nations League B,2019-11-18,Dominica,St Vincent & Grenadines,1-0
CONCACAF Nations League B,2019-11-19,El Salvador,Dominican Republic,2-0
CONCACAF Nations League B,2019-11-19,Saint Lucia,Montserrat,0-1
CONCACAF Nations League B,2022-06-02,French Guiana,Guatemala,2-0
CONCACAF Nations League B,2022-06-02,Antigua and Barbuda,Barbados,1-0
CONCACAF Nations League B,2022-06-02,Guadeloupe,Cuba,2-1
CONCACAF Nations League B,2022-06-02,Belize,Dominican Republic,0-2
CONCACAF Nations League B,2022-06-03,Nicaragua,Trinidad and Tobago,2-1
CONCACAF Nations League B,2022-06-03,Bahamas,St Vincent & Grenadines,1-0
CONCACAF Nations League B,2022-06-04,Bermuda,Haiti,0-0
CONCACAF Nations League B,2022-06-04,Guyana,Montserrat,2-1
CONCACAF Nations League B,2022-06-05,Guatemala,Belize,2-0
CONCACAF Nations League B,2022-06-05,Cuba,Barbados,3-0
CONCACAF Nations League B,2022-06-05,Antigua and Barbuda,Guadeloupe,1-0
CONCACAF Nations League B,2022-06-05,Dominican Republic,French Guiana,2-3
CONCACAF Nations League B,2022-06-06,Trinidad and Tobago,Bahamas,1-0
CONCACAF Nations League B,2022-06-06,St Vincent & Grenadines,Nicaragua,2-2
CONCACAF Nations League B,2022-06-07,Haiti,Montserrat,3-2
CONCACAF Nations League B,2022-06-07,Guyana,Bermuda,2-1
CONCACAF Nations League B,2022-06-09,Barbados,Guadeloupe,0-1
CONCACAF Nations League B,2022-06-09,Cuba,Antigua and Barbuda,2-0
CONCACAF Nations League B,2022-06-09,Belize,French Guiana,1-1
CONCACAF Nations League B,2022-06-10,Dominican Republic,Guatemala,1-1
CONCACAF Nations League B,2022-06-10,St Vincent & Grenadines,Trinidad and Tobago,0-2
CONCACAF Nations League B,2022-06-10,Bahamas,Nicaragua,0-2
CONCACAF Nations League B,2022-06-11,Guyana,Haiti,2-6
CONCACAF Nations League B,2022-06-11,Montserrat,Bermuda,3-2
CONCACAF Nations League B,2022-06-12,Guadeloupe,Barbados,2-1
CONCACAF Nations League B,2022-06-12,Cuba,Antigua and Barbuda,3-1
CONCACAF Nations League B,2022-06-13,Guatemala,Dominican Republic,2-0
CONCACAF Nations League B,2022-06-13,Trinidad and Tobago,St Vincent & Grenadines,4-1
CONCACAF Nations League B,2022-06-13,Nicaragua,Bahamas,4-0
CONCACAF Nations League B,2022-06-14,Haiti,Guyana,6-0
CONCACAF Nations League B,2022-06-14,French Guiana,Belize,1-0
CONCACAF Nations League B,2023-03-23,Barbados,Cuba,0-1
CONCACAF Nations League B,2023-03-23,Guadeloupe,Antigua and Barbuda,0-1
CONCACAF Nations League B,2023-03-23,French Guiana,Dominican Republic,1-1
CONCACAF Nations League B,2023-03-24,Belize,Guatemala,1-2
CONCACAF Nations League B,2023-03-24,Bahamas,Trinidad and Tobago,0-3
CONCACAF Nations League B,2023-03-24,Nicaragua,St Vincent & Grenadines,4-1
CONCACAF Nations League B,2023-03-25,Montserrat,Haiti,0-4
CONCACAF Nations League B,2023-03-25,Bermuda,Guyana,0-2
CONCACAF Nations League B,2023-03-26,Antigua and Barbuda,Barbados,1-2
CONCACAF Nations League B,2023-03-26,Cuba,Guadeloupe,1-0
CONCACAF Nations League B,2023-03-27,Guatemala,French Guiana,4-0
CONCACAF Nations League B,2023-03-27,Trinidad and Tobago,Nicaragua,1-1
CONCACAF Nations League B,2023-03-27,Dominican Republic,Belize,2-0
CONCACAF Nations League B,2023-03-27,St Vincent & Grenadines,Bahamas,1-1
CONCACAF Nations League B,2023-03-28,Haiti,Bermuda,3-1
CONCACAF Nations League B,2023-03-28,Guyana,Montserrat,0-0
CONCACAF Nations League B,2023-09-07,Saint Kitts and Nevis,Guadeloupe,1-2
CONCACAF Nations League B,2023-09-07,Saint Lucia,Sint Maarten,5-1
CONCACAF Nations League B,2023-09-08,Barbados,Montserrat,2-3
CONCACAF Nations League B,2023-09-08,Dominican Republic,Nicaragua,0-2
CONCACAF Nations League B,2023-09-08,Bermuda,French Guiana,0-0
CONCACAF Nations League B,2023-09-08,Belize,St Vincent & Grenadines,1-2
CONCACAF Nations League B,2023-09-09,Antigua and Barbuda,Guyana,1-5
CONCACAF Nations League B,2023-09-09,Bahamas,Puerto Rico,1-6
CONCACAF Nations League B,2023-09-10,Guadeloupe,Sint Maarten,4-0
CONCACAF Nations League B,2023-09-10,Saint Lucia,Saint Kitts and Nevis,2-0
CONCACAF Nations League B,2023-09-11,Nicaragua,Barbados,5-1
CONCACAF Nations League B,2023-09-11,Dominican Republic,Montserrat,3-0
CONCACAF Nations League B,2023-09-12,Guyana,Bahamas,3-2
CONCACAF Nations League B,2023-09-12,French Guiana,Belize,0-2
CONCACAF Nations League B,2023-09-12,Puerto Rico,Antigua and Barbuda,5-0
CONCACAF Nations League B,2023-09-12,St Vincent & Grenadines,Bermuda,4-3
CONCACAF Nations League B,2023-10-12,Saint Lucia,Guadeloupe,2-1
CONCACAF Nations League B,2023-10-12,Saint Kitts and Nevis,Sint Maarten,3-2
CONCACAF Nations League B,2023-10-13,Barbados,Dominican Republic,0-5
CONCACAF Nations League B,2023-10-13,Montserrat,Nicaragua,0-3
CONCACAF Nations League B,2023-10-13,St Vincent & Grenadines,French Guiana,1-4
CONCACAF Nations League B,2023-10-13,Belize,Bermuda,0-1
CONCACAF Nations League B,2023-10-14,Guyana,Puerto Rico,3-1
CONCACAF Nations League B,2023-10-14,Bahamas,Antigua and Barbuda,1-4
CONCACAF Nations League B,2023-10-15,Guadeloupe,Saint Lucia,2-0
CONCACAF Nations League B,2023-10-15,Saint Kitts and Nevis,Sint Maarten,0-1
CONCACAF Nations League B,2023-10-16,Dominican Republic,Barbados,5-2
CONCACAF Nations League B,2023-10-16,Nicaragua,Montserrat,3-0
CONCACAF Nations League B,2023-10-16,French Guiana,St Vincent & Grenadines,3-2
CONCACAF Nations League B,2023-10-17,Guyana,Puerto Rico,3-1
CONCACAF Nations League B,2023-10-17,Bermuda,Belize,1-1
CONCACAF Nations League B,2023-10-17,Antigua and Barbuda,Bahamas,2-2
CONCACAF Nations League B,2023-11-16,Guadeloupe,Sint Maarten,2-0
CONCACAF Nations League B,2023-11-16,Saint Kitts and Nevis,Saint Lucia,0-0
CONCACAF Nations League B,2023-11-17,Barbados,Nicaragua,0-4
CONCACAF Nations League B,2023-11-17,Belize,French Guiana,1-0
CONCACAF Nations League B,2023-11-17,Montserrat,Dominican Republic,2-1
