Matchday,Date,Home,Away,FullTime
CONCACAF Nations League C,2019-09-05,Guatemala,Anguilla,10-0
CONCACAF Nations League C,2019-09-05,Barbados,Saint Martin,4-0
CONCACAF Nations League C,2019-09-05,US Virgin Islands,Cayman Islands,0-2
CONCACAF Nations League C,2019-09-06,Bonaire,British Virgin Islands,4-2
CONCACAF Nations League C,2019-09-07,Guadeloupe,Sint Maarten,5-1
CONCACAF Nations League C,2019-09-08,Cayman Islands,Barbados,3-2
CONCACAF Nations League C,2019-09-08,US Virgin Islands,Saint Martin,2-1
CONCACAF Nations League C,2019-09-09,Bahamas,Bonaire,2-1
CONCACAF Nations League C,2019-09-10,Puerto Rico,Guatemala,0-5
CONCACAF Nations League C,2019-09-10,Turks and Caicos Islands,Guadeloupe,0-3
CONCACAF Nations League C,2019-10-10,Bahamas,British Virgin Islands,4-0
CONCACAF Nations League C,2019-10-10,Turks and Caicos Islands,Sint Maarten,5-2
CONCACAF Nations League C,2019-10-12,Anguilla,Guatemala,0-5
CONCACAF Nations League C,2019-10-12,Barbados,US Virgin Islands,1-0
CONCACAF Nations League C,2019-10-12,Saint Martin,Cayman Islands,3-0
CONCACAF Nations League C,2019-10-13,Bonaire,British Virgin Islands,4-3
CONCACAF Nations League C,2019-10-14,Guadeloupe,Sint Maarten,2-1
CONCACAF Nations League C,2019-10-15,US Virgin Islands,Barbados,0-4
CONCACAF Nations League C,2019-10-15,Anguilla,Puerto Rico,2-3
CONCACAF Nations League C,2019-10-15,Cayman Islands,Saint Martin,1-0
CONCACAF Nations League C,2019-11-14,Bahamas,British Virgin Islands,3-0
CONCACAF Nations League C,2019-11-14,Turks and Caicos Islands,Sint Maarten,3-2
CONCACAF Nations League C,2019-11-16,Guatemala,Puerto Rico,5-0
CONCACAF Nations League C,2019-11-16,Saint Martin,Barbados,1-0
CONCACAF Nations League C,2019-11-16,Cayman Islands,US Virgin Islands,1-0
CONCACAF Nations League C,2019-11-17,Guadeloupe,Turks and Caicos Islands,10-0
CONCACAF Nations League C,2019-11-17,Bahamas,Bonaire,1-1
CONCACAF Nations League C,2019-11-19,Barbados,Cayman Islands,3-0
CONCACAF Nations League C,2019-11-19,Puerto Rico,Anguilla,3-0
CONCACAF Nations League C,2019-11-19,US Virgin Islands,Saint Martin,1-2
CONCACAF Nations League C,2022-06-02,Anguilla,Dominica,0-0
CONCACAF Nations League C,2022-06-03,Aruba,Saint Martin,0-0
CONCACAF Nations League C,2022-06-03,British Virgin Islands,Cayman Islands,1-1
CONCACAF Nations League C,2022-06-03,Sint Maarten,US Virgin Islands,1-1
CONCACAF Nations League C,2022-06-03,Turks and Caicos Islands,Bonaire,1-4
