Matchday,Date,Home,Away,FullTime
CONCACAF Nations League q,2018-09-06,Guyana,Barbados,2-2
CONCACAF Nations League q,2018-09-06,Dominica,Suriname,0-0
CONCACAF Nations League q,2018-09-07,Anguilla,French Guiana,0-5
CONCACAF Nations League q,2018-09-07,Antigua and Barbuda,Saint Lucia,0-3
CONCACAF Nations League q,2018-09-07,Belize,Bahamas,4-0
CONCACAF Nations League q,2018-09-08,Montserrat,El Salvador,1-2
CONCACAF Nations League q,2018-09-08,St Vincent & Grenadines,Nicaragua,0-2
CONCACAF Nations League q,2018-09-08,Cuba,Turks and Caicos Islands,11-0
CONCACAF Nations League q,2018-09-09,Canada,US Virgin Islands,8-0
CONCACAF Nations League q,2018-09-09,Aruba,Bermuda,3-1
CONCACAF Nations League q,2018-09-09,Jamaica,Cayman Islands,4-0
CONCACAF Nations League q,2018-09-09,Saint Kitts and Nevis,Puerto Rico,1-0
CONCACAF Nations League q,2018-09-09,Dominican Republic,Bonaire,5-0
CONCACAF Nations League q,2018-09-10,Curaçao,Grenada,10-0
CONCACAF Nations League q,2018-09-10,Haiti,Sint Maarten,13-0
CONCACAF Nations League q,2018-09-11,Guadeloupe,Saint Martin,3-0
CONCACAF Nations League q,2018-10-11,French Guiana,St Vincent & Grenadines,0-1
CONCACAF Nations League q,2018-10-12,Curaçao,US Virgin Islands,5-0
CONCACAF Nations League q,2018-10-12,Grenada,Cuba,0-2
CONCACAF Nations League q,2018-10-12,Dominican Republic,Cayman Islands,3-0
CONCACAF Nations League q,2018-10-12,Bermuda,Sint Maarten,12-0
CONCACAF Nations League q,2018-10-12,Bahamas,Antigua and Barbuda,0-6
CONCACAF Nations League q,2018-10-13,El Salvador,Barbados,3-0
CONCACAF Nations League q,2018-10-13,Turks and Caicos Islands,Guyana,0-8
CONCACAF Nations League q,2018-10-13,Puerto Rico,Martinique,0-1
CONCACAF Nations League q,2018-10-13,Suriname,British Virgin Islands,5-0
CONCACAF Nations League q,2018-10-14,Jamaica,Bonaire,6-0
CONCACAF Nations League q,2018-10-14,Nicaragua,Anguilla,6-0
CONCACAF Nations League q,2018-10-14,Saint Kitts and Nevis,Saint Martin,10-0
CONCACAF Nations League q,2018-10-14,Montserrat,Belize,1-0
CONCACAF Nations League q,2018-10-16,Canada,Dominica,5-0
CONCACAF Nations League q,2018-10-16,Guadeloupe,Aruba,0-0
CONCACAF Nations League q,2018-10-16,Haiti,Saint Lucia,2-1
CONCACAF Nations League q,2018-10-16,Martinique,British Virgin Islands,4-0
CONCACAF Nations League q,2018-11-16,Bermuda,El Salvador,1-0
CONCACAF Nations League q,2018-11-16,Aruba,Montserrat,0-2
CONCACAF Nations League q,2018-11-16,Grenada,Saint Martin,5-2
CONCACAF Nations League q,2018-11-16,Belize,Puerto Rico,1-0
CONCACAF Nations League q,2018-11-17,Nicaragua,Haiti,0-2
CONCACAF Nations League q,2018-11-17,Jamaica,Suriname,2-1
CONCACAF Nations League q,2018-11-17,Cuba,Dominican Republic,1-0
CONCACAF Nations League q,2018-11-17,Cayman Islands,Saint Lucia,0-0
CONCACAF Nations League q,2018-11-18,Saint Kitts and Nevis,Canada,0-1
CONCACAF Nations League q,2018-11-18,Barbados,US Virgin Islands,3-0
CONCACAF Nations League q,2018-11-18,Turks and Caicos Islands,St Vincent & Grenadines,3-2
CONCACAF Nations League q,2018-11-18,Bahamas,Anguilla,1-1
CONCACAF Nations League q,2018-11-19,Curaçao,Guadeloupe,6-0
CONCACAF Nations League q,2018-11-19,Martinique,Antigua and Barbuda,4-2
CONCACAF Nations League q,2018-11-20,French Guiana,Guyana,2-1
CONCACAF Nations League q,2018-11-20,Dominica,Sint Maarten,2-0
CONCACAF Nations League q,2019-03-21,St Vincent & Grenadines,Bonaire,2-1
CONCACAF Nations League q,2019-03-21,British Virgin Islands,Turks and Caicos Islands,2-2
CONCACAF Nations League q,2019-03-22,Saint Lucia,Aruba,3-2
CONCACAF Nations League q,2019-03-22,Cayman Islands,Montserrat,1-2
CONCACAF Nations League q,2019-03-22,Anguilla,US Virgin Islands,0-3
CONCACAF Nations League q,2019-03-23,El Salvador,Jamaica,2-0
CONCACAF Nations League q,2019-03-23,Antigua and Barbuda,Curaçao,2-1
CONCACAF Nations League q,2019-03-23,Guyana,Belize,2-1
CONCACAF Nations League q,2019-03-23,Guadeloupe,Martinique,0-1
CONCACAF Nations League q,2019-03-23,Dominica,Bahamas,4-0
CONCACAF Nations League q,2019-03-23,Suriname,Saint Kitts and Nevis,2-0
CONCACAF Nations League q,2019-03-23,Sint Maarten,Saint Martin,4-3
CONCACAF Nations League q,2019-03-24,Canada,French Guiana,4-1
CONCACAF Nations League q,2019-03-24,Haiti,Cuba,2-1
CONCACAF Nations League q,2019-03-24,Barbados,Nicaragua,0-1
CONCACAF Nations League q,2019-03-24,Puerto Rico,Grenada,0-2
CONCACAF Nations League q,2019-03-24,Dominican Republic,Bermuda,1-3
CONCACAF Nations League q,2019-03-24,Bonaire,British Virgin Islands,2-1
