Matchday,Date,Home,Away,FullTime
World Cup and CONCACAF Ch q,1969-04-20,Haiti,United States,2-0
World Cup and CONCACAF Ch q,1969-05-11,United States,Haiti,0-1
World Cup and CONCACAF Ch q,1972-04-15,Haiti,Puerto Rico,7-0
World Cup and CONCACAF Ch q,1972-04-23,Puerto Rico,Haiti,0-5
World Cup and CONCACAF Ch q,1972-08-20,Canada,United States,3-2
World Cup and CONCACAF Ch q,1972-08-24,Canada,Mexico,0-1
World Cup and CONCACAF Ch q,1972-08-29,United States,Canada,2-2
World Cup and CONCACAF Ch q,1972-09-03,Mexico,United States,3-1
World Cup and CONCACAF Ch q,1972-09-06,Mexico,Canada,2-1
World Cup and CONCACAF Ch q,1972-09-10,United States,Mexico,1-2
World Cup and CONCACAF Ch q,1972-11-10,Trinidad and Tobago,Antigua and Barbuda,11-1
World Cup and CONCACAF Ch q,1972-11-19,Antigua and Barbuda,Trinidad and Tobago,1-2
World Cup and CONCACAF Ch q,1972-11-28,Trinidad and Tobago,Suriname,2-1
World Cup and CONCACAF Ch q,1972-11-30,Trinidad and Tobago,Suriname,1-1
World Cup and CONCACAF Ch q,1972-12-03,Honduras,Costa Rica,2-1
World Cup and CONCACAF Ch q,1972-12-03,Guatemala,El Salvador,1-0
World Cup and CONCACAF Ch q,1972-12-03,Antigua and Barbuda,Suriname,0-6
World Cup and CONCACAF Ch q,1972-12-05,Antigua and Barbuda,Suriname,1-3
World Cup and CONCACAF Ch q,1972-12-10,Costa Rica,Honduras,3-3
World Cup and CONCACAF Ch q,1972-12-10,El Salvador,Guatemala,0-1
World Cup and CONCACAF Ch q,1976-04-02,Dominican Republic,Haiti,0-3
World Cup and CONCACAF Ch q,1976-04-04,Panama,Costa Rica,3-2
World Cup and CONCACAF Ch q,1976-04-17,Haiti,Dominican Republic,3-0
World Cup and CONCACAF Ch q,1976-05-02,Panama,El Salvador,1-1
World Cup and CONCACAF Ch q,1976-07-04,Guyana,Suriname,2-0
World Cup and CONCACAF Ch q,1976-07-11,Costa Rica,Panama,3-0
World Cup and CONCACAF Ch q,1976-07-31,Netherlands Antilles,Haiti,1-2
World Cup and CONCACAF Ch q,1976-08-01,El Salvador,Panama,4-1
World Cup and CONCACAF Ch q,1976-08-14,Haiti,Netherlands Antilles,7-0
