Matchday,Date,Home,Away,FullTime
Balkan Cup,1929-10-06,Romania,Yugoslavia,2-1
Balkan Cup,1930-01-26,Greece,Yugoslavia,2-1
Balkan Cup,1930-05-25,Romania,Greece,8-1
Balkan Cup,1930-10-12,Bulgaria,Romania,5-3
Balkan Cup,1930-11-16,Bulgaria,Yugoslavia,0-3
Balkan Cup,1930-12-07,Greece,Bulgaria,6-1
Balkan Cup,1931-03-15,Yugoslavia,Greece,4-1
Balkan Cup,1931-04-19,Yugoslavia,Bulgaria,1-0
Balkan Cup,1931-05-10,Romania,Bulgaria,5-2
Balkan Cup,1931-06-28,Yugoslavia,Romania,2-4
Balkan Cup,1931-09-27,Bulgaria,Turkey,5-1
Balkan Cup,1931-10-02,Turkey,Yugoslavia,2-0
Balkan Cup,1931-10-04,Bulgaria,Yugoslavia,3-2
Balkan Cup,1931-10-25,Bulgaria,Greece,2-1
Balkan Cup,1931-11-29,Greece,Romania,2-4
Balkan Cup,1932-06-26,Bulgaria,Romania,2-0
Balkan Cup,1932-06-26,Yugoslavia,Greece,7-1
Balkan Cup,1932-06-28,Romania,Greece,3-0
Balkan Cup,1932-06-30,Yugoslavia,Bulgaria,2-3
Balkan Cup,1932-07-02,Bulgaria,Greece,2-0
Balkan Cup,1932-07-03,Yugoslavia,Romania,3-1
Balkan Cup,1933-06-03,Yugoslavia,Greece,5-3
Balkan Cup,1933-06-04,Romania,Bulgaria,7-0
Balkan Cup,1933-06-06,Romania,Greece,1-0
Balkan Cup,1933-06-07,Yugoslavia,Bulgaria,4-0
Balkan Cup,1933-06-10,Bulgaria,Greece,2-0
Balkan Cup,1933-06-11,Romania,Yugoslavia,5-0
Balkan Cup,1934-12-23,Greece,Yugoslavia,2-1
Balkan Cup,1934-12-25,Yugoslavia,Bulgaria,4-3
Balkan Cup,1934-12-27,Greece,Romania,2-2
Balkan Cup,1934-12-30,Romania,Bulgaria,3-2
Balkan Cup,1935-01-01,Yugoslavia,Romania,4-0
Balkan Cup,1935-01-01,Greece,Bulgaria,1-2
Balkan Cup,1935-06-16,Bulgaria,Greece,5-2
Balkan Cup,1935-06-17,Yugoslavia,Romania,2-0
Balkan Cup,1935-06-19,Bulgaria,Romania,4-0
Balkan Cup,1935-06-21,Yugoslavia,Greece,6-1
Balkan Cup,1935-06-24,Greece,Romania,2-2
Balkan Cup,1935-06-24,Bulgaria,Yugoslavia,3-3
Balkan Cup,1936-05-17,Romania,Greece,5-2
Balkan Cup,1936-05-21,Bulgaria,Greece,5-4
Balkan Cup,1936-05-24,Romania,Bulgaria,4-1
Balkan Cup,1946-10-07,Albania,Yugoslavia,2-3
Balkan Cup,1946-10-08,Bulgaria,Romania,2-2
Balkan Cup,1946-10-09,Albania,Bulgaria,3-1
Balkan Cup,1946-10-11,Romania,Yugoslavia,2-1
Balkan Cup,1946-10-13,Albania,Romania,1-0
Balkan Cup,1946-10-13,Yugoslavia,Bulgaria,2-1
Balkan Cup,1973-04-18,Turkey,Bulgaria,5-2
Balkan Cup,1974-05-08,Bulgaria,Turkey,5-1
Balkan Cup,1974-05-29,Romania,Greece,3-1
Balkan Cup,1975-09-24,Greece,Romania,1-1
Balkan Cup,1976-05-12,Bulgaria,Romania,1-0
Balkan Cup,1976-11-28,Romania,Bulgaria,3-2
Balkan Cup,1977-02-16,Turkey,Bulgaria,2-0
Balkan Cup,1977-03-23,Romania,Turkey,4-0
Balkan Cup,1977-09-21,Bulgaria,Turkey,3-1
Balkan Cup,1977-11-16,Greece,Yugoslavia,0-0
Balkan Cup,1978-03-22,Turkey,Romania,1-1
Balkan Cup,1978-05-03,Romania,Bulgaria,2-0
Balkan Cup,1978-05-31,Bulgaria,Romania,1-1
Balkan Cup,1978-11-15,Yugoslavia,Greece,4-1
Balkan Cup,1980-03-30,Yugoslavia,Romania,2-0
Balkan Cup,1980-08-27,Romania,Yugoslavia,4-1
