Matchday,Date,Home,Away,FullTime
Baltic Cup,1928-07-25,Latvia,Lithuania,3-0
Baltic Cup,1928-07-26,Estonia,Lithuania,6-0
Baltic Cup,1928-07-27,Estonia,Latvia,0-1
Baltic Cup,1929-08-14,Latvia,Lithuania,3-1
Baltic Cup,1929-08-15,Estonia,Lithuania,5-2
Baltic Cup,1929-08-16,Latvia,Estonia,2-2
Baltic Cup,1930-08-15,Lithuania,Estonia,2-1
Baltic Cup,1930-08-16,Latvia,Estonia,3-2
Baltic Cup,1930-08-17,Lithuania,Latvia,3-3
Baltic Cup,1931-08-30,Estonia,Lithuania,2-0
Baltic Cup,1931-08-31,Latvia,Lithuania,1-0
Baltic Cup,1931-09-01,Estonia,Latvia,3-1
Baltic Cup,1932-08-28,Latvia,Lithuania,4-1
Baltic Cup,1932-08-29,Lithuania,Estonia,2-1
Baltic Cup,1932-08-30,Latvia,Estonia,1-0
Baltic Cup,1933-09-02,Lithuania,Estonia,1-1
Baltic Cup,1933-09-03,Latvia,Estonia,1-0
Baltic Cup,1933-09-04,Lithuania,Latvia,2-2
Baltic Cup,1935-08-20,Estonia,Lithuania,1-2
Baltic Cup,1935-08-21,Latvia,Lithuania,2-2
Baltic Cup,1935-08-22,Estonia,Latvia,1-1
Baltic Cup,1936-08-29,Latvia,Lithuania,2-1
Baltic Cup,1936-08-30,Estonia,Lithuania,2-1
Baltic Cup,1936-08-31,Latvia,Estonia,2-1
Baltic Cup,1937-09-04,Estonia,Latvia,1-1
Baltic Cup,1937-09-05,Lithuania,Estonia,0-4
Baltic Cup,1937-09-07,Latvia,Estonia,2-0
Baltic Cup,1938-09-03,Estonia,Lithuania,3-1
Baltic Cup,1938-09-04,Latvia,Lithuania,1-1
Baltic Cup,1938-09-05,Estonia,Latvia,1-1
Baltic Cup,1940-09-06,Latvia,Lithuania,1-0
Baltic Cup,1940-09-07,Lithuania,Estonia,1-1
Baltic Cup,1940-09-08,Latvia,Estonia,2-2
Baltic Cup,1948-09-26,Latvia,Lithuania,0-1
Baltic Cup,1948-09-27,Lithuania,Estonia,2-1
Baltic Cup,1948-09-28,Latvia,Estonia,1-1
Baltic Cup,1949-10-23,Lithuania,Estonia,2-1
Baltic Cup,1949-10-24,Latvia,Estonia,2-1
Baltic Cup,1949-10-25,Lithuania,Latvia,1-0
Baltic Cup,1991-11-15,Lithuania,Estonia,4-1
Baltic Cup,1991-11-16,Latvia,Estonia,2-0
Baltic Cup,1991-11-17,Lithuania,Latvia,1-1
Baltic Cup,1992-07-10,Latvia,Estonia,2-1
Baltic Cup,1992-07-11,Estonia,Lithuania,1-1
Baltic Cup,1992-07-12,Latvia,Lithuania,2-3
Baltic Cup,1993-07-02,Estonia,Latvia,0-2
Baltic Cup,1993-07-03,Latvia,Lithuania,0-0
Baltic Cup,1993-07-04,Estonia,Lithuania,2-1
Baltic Cup,1994-07-29,Lithuania,Estonia,3-0
Baltic Cup,1994-07-30,Latvia,Estonia,2-0
Baltic Cup,1994-07-31,Lithuania,Latvia,1-0
Baltic Cup,1995-05-19,Latvia,Estonia,2-0
Baltic Cup,1995-05-20,Lithuania,Estonia,7-0
Baltic Cup,1995-05-21,Latvia,Lithuania,2-0
Baltic Cup,1996-07-07,Estonia,Latvia,1-1
