Matchday,Date,Home,Away,FullTime
British Championship,1884-01-26,Ireland,Scotland,0-5
British Championship,1884-02-09,Wales,Ireland,6-0
British Championship,1884-02-23,Ireland,England,1-8
British Championship,1884-03-15,Scotland,England,1-0
British Championship,1884-03-17,Wales,England,0-4
British Championship,1884-03-29,Scotland,Wales,4-1
British Championship,1885-02-28,England,Ireland,4-0
British Championship,1885-03-14,Scotland,Ireland,8-2
British Championship,1885-03-14,England,Wales,1-1
British Championship,1885-03-21,England,Scotland,1-1
British Championship,1885-03-23,Wales,Scotland,1-8
British Championship,1885-04-11,Ireland,Wales,2-8
British Championship,1886-02-27,Wales,Ireland,5-0
British Championship,1886-03-13,Ireland,England,1-6
British Championship,1886-03-20,Ireland,Scotland,2-7
British Championship,1886-03-27,Scotland,England,1-1
British Championship,1886-03-29,Wales,England,1-3
British Championship,1886-04-10,Scotland,Wales,4-1
British Championship,1887-02-05,England,Ireland,7-0
British Championship,1887-02-19,Scotland,Ireland,4-1
British Championship,1887-02-26,England,Wales,4-0
British Championship,1887-03-12,Ireland,Wales,4-1
British Championship,1887-03-19,England,Scotland,2-3
British Championship,1887-03-21,Wales,Scotland,0-2
British Championship,1888-02-04,England,Wales,5-1
British Championship,1888-03-03,Wales,Ireland,11-0
British Championship,1888-03-10,Scotland,Wales,5-1
British Championship,1888-03-17,Scotland,England,0-5
British Championship,1888-03-24,Ireland,Scotland,2-10
British Championship,1888-04-07,Ireland,England,1-5
British Championship,1889-02-23,England,Wales,4-1
British Championship,1889-03-02,England,Ireland,6-1
British Championship,1889-03-09,Scotland,Ireland,7-0
British Championship,1889-04-13,England,Scotland,2-3
British Championship,1889-04-15,Wales,Scotland,0-0
British Championship,1889-04-27,Ireland,Wales,1-3
British Championship,1890-02-08,Wales,Ireland,5-2
British Championship,1890-03-15,Ireland,England,1-9
British Championship,1890-03-15,Wales,England,1-3
British Championship,1890-03-22,Scotland,Wales,5-0
British Championship,1890-03-29,Ireland,Scotland,1-4
British Championship,1890-04-05,Scotland,England,1-1
British Championship,1891-02-07,Ireland,Wales,7-2
British Championship,1891-03-07,England,Wales,4-1
British Championship,1891-03-07,England,Ireland,6-1
British Championship,1891-03-21,Wales,Scotland,3-4
British Championship,1891-03-28,Scotland,Ireland,2-1
British Championship,1891-04-04,England,Scotland,2-1
British Championship,1892-02-27,Wales,Ireland,1-1
British Championship,1892-03-05,Ireland,England,0-2
British Championship,1892-03-05,Wales,England,0-2
British Championship,1892-03-19,Ireland,Scotland,2-3
British Championship,1892-03-26,Scotland,Wales,6-1
British Championship,1892-04-02,Scotland,England,1-4
British Championship,1893-02-25,England,Ireland,6-1
British Championship,1893-03-13,England,Wales,6-0
British Championship,1893-03-18,Wales,Scotland,0-8
British Championship,1893-03-25,Scotland,Ireland,6-1
British Championship,1893-04-01,England,Scotland,5-2
British Championship,1893-04-08,Ireland,Wales,4-3
British Championship,1894-02-24,Wales,Ireland,4-1
British Championship,1894-03-03,Ireland,England,2-2
British Championship,1894-03-12,Wales,England,1-5
British Championship,1894-03-24,Scotland,Wales,5-2
British Championship,1894-03-31,Ireland,Scotland,1-2
British Championship,1894-04-07,Scotland,England,2-2
British Championship,1895-03-09,England,Ireland,9-0
British Championship,1895-03-16,Ireland,Wales,2-2
British Championship,1895-03-18,England,Wales,1-1
British Championship,1895-03-23,Wales,Scotland,2-2
British Championship,1895-03-30,Scotland,Ireland,3-1
British Championship,1895-04-06,England,Scotland,3-0
British Championship,1896-02-29,Wales,Ireland,6-1
British Championship,1896-03-07,Ireland,England,0-2
British Championship,1896-03-16,Wales,England,1-9
British Championship,1896-03-21,Scotland,Wales,4-0
British Championship,1896-03-28,Ireland,Scotland,3-3
British Championship,1896-04-04,Scotland,England,2-1
British Championship,1897-02-20,England,Ireland,6-0
