Matchday,Date,Home,Away,FullTime
European Nations League,2019-06-05,Portugal,Switzerland,3-1
European Nations League,2019-06-06,Netherlands,England,3-1
European Nations League,2019-06-09,England,Switzerland,0-0
European Nations League,2019-06-09,Portugal,Netherlands,1-0
European Nations League,2021-10-06,Italy,Spain,1-2
European Nations League,2021-10-07,France,Belgium,3-2
European Nations League,2021-10-10,Italy,Belgium,2-1
European Nations League,2021-10-10,France,Spain,2-1
European Nations League,2023-06-14,Netherlands,Croatia,2-4
European Nations League,2023-06-15,Spain,Italy,2-1
European Nations League,2023-06-18,Netherlands,Italy,2-3
European Nations League,2023-06-18,Croatia,Spain,0-0
