Matchday,Date,Home,Away,FullTime
European Nations League A,2018-09-06,Germany,France,0-0
European Nations League A,2018-09-07,Italy,Poland,1-1
European Nations League A,2018-09-08,England,Spain,1-2
European Nations League A,2018-09-08,Switzerland,Iceland,6-0
European Nations League A,2018-09-09,France,Netherlands,2-1
European Nations League A,2018-09-10,Portugal,Italy,1-0
European Nations League A,2018-09-11,Iceland,Belgium,0-3
European Nations League A,2018-09-11,Spain,Croatia,6-0
European Nations League A,2018-10-11,Poland,Portugal,2-3
European Nations League A,2018-10-12,Croatia,England,0-0
European Nations League A,2018-10-12,Belgium,Switzerland,2-1
European Nations League A,2018-10-13,Netherlands,Germany,3-0
European Nations League A,2018-10-14,Poland,Italy,0-1
European Nations League A,2018-10-15,Spain,England,2-3
European Nations League A,2018-10-15,Iceland,Switzerland,1-2
European Nations League A,2018-10-16,France,Germany,2-1
European Nations League A,2018-11-15,Belgium,Iceland,2-0
European Nations League A,2018-11-15,Croatia,Spain,3-2
European Nations League A,2018-11-16,Netherlands,France,2-0
European Nations League A,2018-11-17,Italy,Portugal,0-0
European Nations League A,2018-11-18,England,Croatia,2-1
European Nations League A,2018-11-18,Switzerland,Belgium,5-2
European Nations League A,2018-11-19,Germany,Netherlands,2-2
European Nations League A,2018-11-20,Portugal,Poland,1-1
European Nations League A,2020-09-03,Ukraine,Switzerland,2-1
European Nations League A,2020-09-03,Germany,Spain,1-1
European Nations League A,2020-09-04,Netherlands,Poland,1-0
European Nations League A,2020-09-04,Italy,Bosnia and Herzegovina,1-1
European Nations League A,2020-09-05,Iceland,England,0-1
European Nations League A,2020-09-05,Denmark,Belgium,0-2
European Nations League A,2020-09-05,Sweden,France,0-1
European Nations League A,2020-09-05,Portugal,Croatia,4-1
European Nations League A,2020-09-06,Switzerland,Germany,1-1
European Nations League A,2020-09-06,Spain,Ukraine,4-0
European Nations League A,2020-09-07,Netherlands,Italy,0-1
European Nations League A,2020-09-07,Bosnia and Herzegovina,Poland,1-2
European Nations League A,2020-09-08,Denmark,England,0-0
European Nations League A,2020-09-08,Belgium,Iceland,5-1
European Nations League A,2020-09-08,France,Croatia,4-2
European Nations League A,2020-09-08,Sweden,Portugal,0-2
European Nations League A,2020-10-10,Spain,Switzerland,1-0
European Nations League A,2020-10-10,Ukraine,Germany,1-2
European Nations League A,2020-10-11,England,Belgium,2-1
European Nations League A,2020-10-11,France,Portugal,0-0
European Nations League A,2020-10-11,Bosnia and Herzegovina,Netherlands,0-0
European Nations League A,2020-10-11,Croatia,Sweden,2-1
European Nations League A,2020-10-11,Poland,Italy,0-0
European Nations League A,2020-10-11,Iceland,Denmark,0-3
European Nations League A,2020-10-13,Germany,Switzerland,3-3
European Nations League A,2020-10-13,Ukraine,Spain,1-0
European Nations League A,2020-10-14,England,Denmark,0-1
European Nations League A,2020-10-14,Iceland,Belgium,1-2
European Nations League A,2020-10-14,Croatia,France,1-2
European Nations League A,2020-10-14,Italy,Netherlands,1-1
European Nations League A,2020-10-14,Portugal,Sweden,3-0
European Nations League A,2020-10-14,Poland,Bosnia and Herzegovina,3-0
European Nations League A,2020-11-14,Portugal,France,0-1
European Nations League A,2020-11-14,Switzerland,Spain,1-1
European Nations League A,2020-11-14,Germany,Ukraine,3-1
European Nations League A,2020-11-14,Sweden,Croatia,2-1
European Nations League A,2020-11-15,Belgium,England,2-0
European Nations League A,2020-11-15,Netherlands,Bosnia and Herzegovina,3-1
European Nations League A,2020-11-15,Italy,Poland,2-0
European Nations League A,2020-11-15,Denmark,Iceland,2-1
European Nations League A,2020-11-17,France,Sweden,4-2
European Nations League A,2020-11-17,Spain,Germany,6-0
European Nations League A,2020-11-17,Croatia,Portugal,2-3
European Nations League A,2020-11-18,England,Iceland,4-0
European Nations League A,2020-11-18,Belgium,Denmark,4-2
European Nations League A,2020-11-18,Poland,Netherlands,1-2
European Nations League A,2020-11-18,Bosnia and Herzegovina,Italy,0-2
European Nations League A,2022-06-01,Poland,Wales,2-1
European Nations League A,2022-06-02,Czechia,Switzerland,2-1
European Nations League A,2022-06-02,Spain,Portugal,1-1
European Nations League A,2022-06-03,Croatia,Austria,0-3
European Nations League A,2022-06-03,Belgium,Netherlands,1-4
European Nations League A,2022-06-03,France,Denmark,1-2
European Nations League A,2022-06-04,Hungary,England,1-0
European Nations League A,2022-06-04,Italy,Germany,1-1
European Nations League A,2022-06-05,Portugal,Switzerland,4-0
European Nations League A,2022-06-05,Czechia,Spain,2-2
European Nations League A,2022-06-06,Austria,Denmark,1-2
European Nations League A,2022-06-06,Croatia,France,1-1
European Nations League A,2022-06-07,Germany,England,1-1
European Nations League A,2022-06-07,Italy,Hungary,2-1
European Nations League A,2022-06-08,Wales,Netherlands,1-2
European Nations League A,2022-06-08,Belgium,Poland,6-1
European Nations League A,2022-06-09,Switzerland,Spain,0-1
European Nations League A,2022-06-09,Portugal,Czechia,2-0
European Nations League A,2022-06-10,Austria,France,1-1
European Nations League A,2022-06-10,Denmark,Croatia,0-1
European Nations League A,2022-06-11,England,Italy,0-0
European Nations League A,2022-06-11,Wales,Belgium,1-1
European Nations League A,2022-06-11,Hungary,Germany,1-1
European Nations League A,2022-06-11,Netherlands,Poland,2-2
European Nations League A,2022-06-12,Switzerland,Portugal,1-0
European Nations League A,2022-06-12,Spain,Czechia,2-0
European Nations League A,2022-06-13,Denmark,Austria,2-0
European Nations League A,2022-06-13,France,Croatia,0-1
European Nations League A,2022-06-14,England,Hungary,0-4
European Nations League A,2022-06-14,Netherlands,Wales,3-2
European Nations League A,2022-06-14,Poland,Belgium,0-1
European Nations League A,2022-06-14,Germany,Italy,5-2
European Nations League A,2022-09-22,Belgium,Wales,2-1
European Nations League A,2022-09-22,France,Austria,2-0
European Nations League A,2022-09-22,Poland,Netherlands,0-2
European Nations League A,2022-09-22,Croatia,Denmark,2-1
European Nations League A,2022-09-23,Italy,England,1-0
European Nations League A,2022-09-23,Germany,Hungary,0-1
European Nations League A,2022-09-24,Spain,Switzerland,1-2
European Nations League A,2022-09-24,Czechia,Portugal,0-4
European Nations League A,2022-09-25,Wales,Poland,0-1
European Nations League A,2022-09-25,Austria,Croatia,1-3
European Nations League A,2022-09-25,Netherlands,Belgium,1-0
European Nations League A,2022-09-25,Denmark,France,2-0
European Nations League A,2022-09-26,England,Germany,3-3
European Nations League A,2022-09-26,Hungary,Italy,0-2
European Nations League A,2022-09-27,Switzerland,Czechia,2-1
European Nations League A,2022-09-27,Portugal,Spain,0-1
