Matchday,Date,Home,Away,FullTime
European Nations League B,2018-09-06,Wales,Ireland,4-1
European Nations League B,2018-09-06,Czechia,Ukraine,1-2
European Nations League B,2018-09-07,Turkey,Russia,1-2
European Nations League B,2018-09-08,Northern Ireland,Bosnia and Herzegovina,1-2
European Nations League B,2018-09-09,Denmark,Wales,2-0
European Nations League B,2018-09-09,Ukraine,Slovakia,1-0
European Nations League B,2018-09-10,Sweden,Turkey,2-3
European Nations League B,2018-09-11,Bosnia and Herzegovina,Austria,1-0
European Nations League B,2018-10-11,Russia,Sweden,0-0
European Nations League B,2018-10-12,Austria,Northern Ireland,1-0
European Nations League B,2018-10-13,Ireland,Denmark,0-0
European Nations League B,2018-10-13,Slovakia,Czechia,1-2
European Nations League B,2018-10-14,Russia,Turkey,2-0
European Nations League B,2018-10-15,Bosnia and Herzegovina,Northern Ireland,2-0
European Nations League B,2018-10-16,Ireland,Wales,0-1
European Nations League B,2018-10-16,Ukraine,Czechia,1-0
European Nations League B,2018-11-15,Austria,Bosnia and Herzegovina,0-0
European Nations League B,2018-11-16,Wales,Denmark,1-2
European Nations League B,2018-11-16,Slovakia,Ukraine,4-1
European Nations League B,2018-11-17,Turkey,Sweden,0-1
European Nations League B,2018-11-18,Northern Ireland,Austria,1-2
European Nations League B,2018-11-19,Denmark,Ireland,0-0
European Nations League B,2018-11-19,Czechia,Slovakia,1-0
European Nations League B,2018-11-20,Sweden,Russia,2-0
European Nations League B,2020-09-03,Finland,Wales,0-1
European Nations League B,2020-09-03,Turkey,Hungary,0-1
European Nations League B,2020-09-03,Russia,Serbia,3-1
European Nations League B,2020-09-03,Bulgaria,Ireland,1-1
European Nations League B,2020-09-04,Scotland,Israel,1-1
European Nations League B,2020-09-04,Romania,Northern Ireland,1-1
European Nations League B,2020-09-04,Norway,Austria,1-2
European Nations League B,2020-09-04,Slovakia,Czechia,1-3
European Nations League B,2020-09-06,Wales,Bulgaria,1-0
European Nations League B,2020-09-06,Hungary,Russia,2-3
European Nations League B,2020-09-06,Ireland,Finland,0-1
European Nations League B,2020-09-06,Serbia,Turkey,0-0
European Nations League B,2020-09-07,Czechia,Scotland,1-2
European Nations League B,2020-09-07,Northern Ireland,Norway,1-5
European Nations League B,2020-09-07,Austria,Romania,2-3
European Nations League B,2020-09-07,Israel,Slovakia,1-1
European Nations League B,2020-10-11,Scotland,Slovakia,1-0
European Nations League B,2020-10-11,Ireland,Wales,0-0
European Nations League B,2020-10-11,Northern Ireland,Austria,0-1
European Nations League B,2020-10-11,Serbia,Hungary,0-1
European Nations League B,2020-10-11,Norway,Romania,4-0
European Nations League B,2020-10-11,Finland,Bulgaria,2-0
European Nations League B,2020-10-11,Russia,Turkey,1-1
European Nations League B,2020-10-11,Israel,Czechia,1-2
European Nations League B,2020-10-14,Scotland,Czechia,1-0
European Nations League B,2020-10-14,Bulgaria,Wales,0-1
European Nations League B,2020-10-14,Norway,Northern Ireland,1-0
European Nations League B,2020-10-14,Romania,Austria,0-1
European Nations League B,2020-10-14,Russia,Hungary,0-0
European Nations League B,2020-10-14,Finland,Ireland,1-0
European Nations League B,2020-10-14,Turkey,Serbia,2-2
European Nations League B,2020-10-14,Slovakia,Israel,2-3
European Nations League B,2020-11-15,Slovakia,Scotland,1-0
European Nations League B,2020-11-15,Wales,Ireland,1-0
European Nations League B,2020-11-15,Austria,Northern Ireland,2-1
European Nations League B,2020-11-15,Hungary,Serbia,1-1
European Nations League B,2020-11-15,Bulgaria,Finland,1-2
European Nations League B,2020-11-15,Turkey,Russia,3-2
European Nations League B,2020-11-15,Czechia,Israel,1-0
European Nations League B,2020-11-18,Israel,Scotland,1-0
European Nations League B,2020-11-18,Wales,Finland,3-1
European Nations League B,2020-11-18,Northern Ireland,Romania,1-1
European Nations League B,2020-11-18,Austria,Norway,1-1
European Nations League B,2020-11-18,Hungary,Turkey,2-0
European Nations League B,2020-11-18,Serbia,Russia,5-0
European Nations League B,2020-11-18,Ireland,Bulgaria,0-0
European Nations League B,2020-11-18,Czechia,Slovakia,2-0
European Nations League B,2022-06-02,Slovenia,Sweden,0-2
European Nations League B,2022-06-02,Serbia,Norway,0-1
European Nations League B,2022-06-02,Israel,Iceland,2-2
European Nations League B,2022-06-04,Finland,Bosnia and Herzegovina,1-1
European Nations League B,2022-06-04,Montenegro,Romania,2-0
European Nations League B,2022-06-04,Armenia,Ireland,1-0
European Nations League B,2022-06-05,Sweden,Norway,1-2
European Nations League B,2022-06-05,Serbia,Slovenia,4-1
European Nations League B,2022-06-06,Iceland,Albania,1-1
European Nations League B,2022-06-07,Finland,Montenegro,2-0
European Nations League B,2022-06-07,Bosnia and Herzegovina,Romania,1-0
European Nations League B,2022-06-08,Scotland,Armenia,2-0
European Nations League B,2022-06-08,Ireland,Ukraine,0-1
European Nations League B,2022-06-09,Sweden,Serbia,0-1
European Nations League B,2022-06-09,Norway,Slovenia,0-0
European Nations League B,2022-06-10,Albania,Israel,1-2
European Nations League B,2022-06-11,Ireland,Scotland,3-0
European Nations League B,2022-06-11,Romania,Finland,1-0
European Nations League B,2022-06-11,Ukraine,Armenia,3-0
European Nations League B,2022-06-11,Montenegro,Bosnia and Herzegovina,1-1
European Nations League B,2022-06-12,Norway,Sweden,3-2
European Nations League B,2022-06-12,Slovenia,Serbia,2-2
European Nations League B,2022-06-13,Iceland,Israel,2-2
European Nations League B,2022-06-14,Armenia,Scotland,1-4
European Nations League B,2022-06-14,Bosnia and Herzegovina,Finland,3-2
European Nations League B,2022-06-14,Romania,Montenegro,0-3
European Nations League B,2022-06-14,Ireland,Ukraine,1-1
European Nations League B,2022-09-21,Scotland,Ukraine,3-0
European Nations League B,2022-09-23,Finland,Romania,1-1
European Nations League B,2022-09-23,Bosnia and Herzegovina,Montenegro,1-0
European Nations League B,2022-09-24,Scotland,Ireland,2-1
European Nations League B,2022-09-24,Serbia,Sweden,4-1
European Nations League B,2022-09-24,Slovenia,Norway,2-1
European Nations League B,2022-09-24,Armenia,Ukraine,0-5
European Nations League B,2022-09-24,Israel,Albania,2-1
European Nations League B,2022-09-26,Montenegro,Finland,0-2
European Nations League B,2022-09-26,Romania,Bosnia and Herzegovina,4-1
European Nations League B,2022-09-27,Scotland,Ukraine,0-0
European Nations League B,2022-09-27,Sweden,Slovenia,1-1
European Nations League B,2022-09-27,Norway,Serbia,0-2
European Nations League B,2022-09-27,Ireland,Armenia,3-2
European Nations League B,2022-09-27,Albania,Iceland,1-1
