Matchday,Date,Home,Away,FullTime
European Nations League C,2018-09-06,Norway,Cyprus,2-0
European Nations League C,2018-09-06,Slovenia,Bulgaria,1-2
European Nations League C,2018-09-07,Romania,Montenegro,0-0
European Nations League C,2018-09-07,Lithuania,Serbia,0-1
European Nations League C,2018-09-07,Albania,Israel,1-0
European Nations League C,2018-09-08,Finland,Hungary,1-0
European Nations League C,2018-09-08,Estonia,Greece,0-1
European Nations League C,2018-09-09,Bulgaria,Norway,1-0
European Nations League C,2018-09-09,Cyprus,Slovenia,2-1
European Nations League C,2018-09-10,Scotland,Albania,2-0
European Nations League C,2018-09-10,Serbia,Romania,2-2
European Nations League C,2018-09-10,Montenegro,Lithuania,2-0
European Nations League C,2018-09-11,Hungary,Greece,2-1
European Nations League C,2018-09-11,Finland,Estonia,1-0
European Nations League C,2018-10-11,Israel,Scotland,2-1
European Nations League C,2018-10-11,Lithuania,Romania,1-2
European Nations League C,2018-10-11,Montenegro,Serbia,0-2
European Nations League C,2018-10-12,Greece,Hungary,1-0
European Nations League C,2018-10-12,Estonia,Finland,0-1
European Nations League C,2018-10-13,Norway,Slovenia,1-0
European Nations League C,2018-10-13,Bulgaria,Cyprus,2-1
European Nations League C,2018-10-14,Romania,Serbia,0-0
European Nations League C,2018-10-14,Lithuania,Montenegro,1-4
European Nations League C,2018-10-14,Israel,Albania,2-0
European Nations League C,2018-10-15,Estonia,Hungary,3-3
European Nations League C,2018-10-15,Finland,Greece,2-0
European Nations League C,2018-10-16,Norway,Bulgaria,1-0
European Nations League C,2018-10-16,Slovenia,Cyprus,1-1
European Nations League C,2018-11-15,Hungary,Estonia,2-0
European Nations League C,2018-11-15,Greece,Finland,1-0
European Nations League C,2018-11-16,Slovenia,Norway,1-1
European Nations League C,2018-11-16,Cyprus,Bulgaria,1-1
European Nations League C,2018-11-17,Albania,Scotland,0-4
European Nations League C,2018-11-17,Romania,Lithuania,3-0
European Nations League C,2018-11-17,Serbia,Montenegro,2-1
European Nations League C,2018-11-18,Hungary,Finland,2-0
European Nations League C,2018-11-18,Greece,Estonia,0-1
European Nations League C,2018-11-19,Cyprus,Norway,0-2
European Nations League C,2018-11-19,Bulgaria,Slovenia,1-1
European Nations League C,2018-11-20,Scotland,Israel,3-2
European Nations League C,2018-11-20,Montenegro,Romania,0-1
European Nations League C,2018-11-20,Serbia,Lithuania,4-1
