Matchday,Date,Home,Away,FullTime
European Nations League D,2018-09-06,Latvia,Andorra,0-0
European Nations League D,2018-09-06,Armenia,Liechtenstein,2-1
European Nations League D,2018-09-06,Kazakhstan,Georgia,0-2
European Nations League D,2018-09-06,Gibraltar,Macedonia,0-2
European Nations League D,2018-09-07,Faroe Islands,Malta,3-1
European Nations League D,2018-09-07,Azerbaijan,Kosovo,0-0
European Nations League D,2018-09-08,Luxembourg,Moldova,4-0
European Nations League D,2018-09-08,Belarus,San Marino,5-0
European Nations League D,2018-09-09,Georgia,Latvia,1-0
European Nations League D,2018-09-09,Macedonia,Armenia,2-0
European Nations League D,2018-09-09,Liechtenstein,Gibraltar,2-0
European Nations League D,2018-09-10,Malta,Azerbaijan,1-1
European Nations League D,2018-09-10,Kosovo,Faroe Islands,2-0
European Nations League D,2018-09-10,Andorra,Kazakhstan,1-1
European Nations League D,2018-09-11,San Marino,Luxembourg,0-3
European Nations League D,2018-09-11,Moldova,Belarus,0-0
European Nations League D,2018-10-11,Kosovo,Malta,3-1
European Nations League D,2018-10-11,Faroe Islands,Azerbaijan,0-3
European Nations League D,2018-10-12,Belarus,Luxembourg,1-0
European Nations League D,2018-10-12,Moldova,San Marino,2-0
European Nations League D,2018-10-13,Latvia,Kazakhstan,1-1
European Nations League D,2018-10-13,Armenia,Gibraltar,0-1
European Nations League D,2018-10-13,Georgia,Andorra,3-0
European Nations League D,2018-10-13,Macedonia,Liechtenstein,4-1
European Nations League D,2018-10-14,Azerbaijan,Malta,1-1
European Nations League D,2018-10-14,Faroe Islands,Kosovo,1-1
European Nations League D,2018-10-15,Luxembourg,San Marino,3-0
European Nations League D,2018-10-15,Belarus,Moldova,0-0
European Nations League D,2018-10-16,Latvia,Georgia,0-3
European Nations League D,2018-10-16,Armenia,Macedonia,4-0
European Nations League D,2018-10-16,Kazakhstan,Andorra,4-0
European Nations League D,2018-10-16,Gibraltar,Liechtenstein,2-1
European Nations League D,2018-11-15,Luxembourg,Belarus,0-2
European Nations League D,2018-11-15,Kazakhstan,Latvia,1-1
European Nations League D,2018-11-15,San Marino,Moldova,0-1
European Nations League D,2018-11-15,Andorra,Georgia,1-1
European Nations League D,2018-11-16,Gibraltar,Armenia,2-6
European Nations League D,2018-11-16,Liechtenstein,Macedonia,0-2
European Nations League D,2018-11-17,Malta,Kosovo,0-5
European Nations League D,2018-11-17,Azerbaijan,Faroe Islands,2-0
European Nations League D,2018-11-18,Moldova,Luxembourg,1-1
European Nations League D,2018-11-18,San Marino,Belarus,0-2
European Nations League D,2018-11-19,Andorra,Latvia,0-0
European Nations League D,2018-11-19,Liechtenstein,Armenia,2-2
European Nations League D,2018-11-19,Georgia,Kazakhstan,2-1
European Nations League D,2018-11-19,Macedonia,Gibraltar,4-0
European Nations League D,2018-11-20,Malta,Faroe Islands,1-1
European Nations League D,2018-11-20,Kosovo,Azerbaijan,4-0
European Nations League D,2020-09-03,Latvia,Andorra,0-0
European Nations League D,2020-09-03,Faroe Islands,Malta,3-2
European Nations League D,2020-09-05,Gibraltar,San Marino,1-0
European Nations League D,2020-09-06,Malta,Latvia,1-1
European Nations League D,2020-09-06,Andorra,Faroe Islands,0-1
European Nations League D,2020-09-08,Liechtenstein,San Marino,2-0
European Nations League D,2020-10-10,Faroe Islands,Latvia,1-1
European Nations League D,2020-10-10,Andorra,Malta,0-0
European Nations League D,2020-10-10,Liechtenstein,Gibraltar,0-1
European Nations League D,2020-10-13,Latvia,Malta,0-1
European Nations League D,2020-10-13,Faroe Islands,Andorra,2-0
European Nations League D,2020-10-13,Liechtenstein,San Marino,0-0
European Nations League D,2020-11-14,Latvia,Faroe Islands,1-1
European Nations League D,2020-11-14,Malta,Andorra,3-1
European Nations League D,2020-11-14,San Marino,Gibraltar,0-0
European Nations League D,2020-11-17,Andorra,Latvia,0-5
European Nations League D,2020-11-17,Malta,Faroe Islands,1-1
European Nations League D,2020-11-17,Gibraltar,Liechtenstein,1-1
European Nations League D,2022-06-02,Estonia,San Marino,2-0
European Nations League D,2022-06-03,Latvia,Andorra,3-0
European Nations League D,2022-06-03,Liechtenstein,Moldova,0-2
European Nations League D,2022-06-05,San Marino,Malta,0-2
European Nations League D,2022-06-06,Latvia,Liechtenstein,1-0
European Nations League D,2022-06-06,Andorra,Moldova,0-0
European Nations League D,2022-06-09,Malta,Estonia,1-2
European Nations League D,2022-06-10,Moldova,Latvia,2-4
European Nations League D,2022-06-10,Andorra,Liechtenstein,2-1
European Nations League D,2022-06-12,Malta,San Marino,1-0
European Nations League D,2022-06-14,Liechtenstein,Latvia,0-2
European Nations League D,2022-06-14,Moldova,Andorra,2-1
European Nations League D,2022-09-22,Latvia,Moldova,1-2
European Nations League D,2022-09-22,Liechtenstein,Andorra,0-2
European Nations League D,2022-09-23,Estonia,Malta,2-1
European Nations League D,2022-09-25,Andorra,Latvia,1-1
European Nations League D,2022-09-25,Moldova,Liechtenstein,2-0
European Nations League D,2022-09-26,San Marino,Estonia,0-4
