Matchday,Date,Home,Away,FullTime
International Cup,1927-09-18,Czechoslovakia,Austria,2-0
International Cup,1927-09-25,Hungary,Austria,5-3
International Cup,1927-10-23,Czechoslovakia,Italy,2-2
International Cup,1927-11-06,Italy,Austria,0-1
International Cup,1928-01-01,Italy,Switzerland,3-2
International Cup,1928-03-25,Italy,Hungary,4-3
International Cup,1928-04-01,Austria,Czechoslovakia,0-1
International Cup,1928-04-22,Hungary,Czechoslovakia,2-0
International Cup,1928-10-07,Austria,Hungary,5-1
International Cup,1928-10-14,Switzerland,Italy,2-3
International Cup,1928-10-28,Austria,Switzerland,2-0
International Cup,1928-11-01,Hungary,Switzerland,3-1
International Cup,1929-03-03,Italy,Czechoslovakia,4-2
International Cup,1929-04-07,Austria,Italy,3-0
International Cup,1929-04-14,Switzerland,Hungary,4-5
International Cup,1929-05-05,Switzerland,Czechoslovakia,1-4
International Cup,1929-09-08,Czechoslovakia,Hungary,1-1
International Cup,1929-10-06,Czechoslovakia,Switzerland,5-0
International Cup,1929-10-27,Switzerland,Austria,1-3
International Cup,1930-05-11,Hungary,Italy,0-5
International Cup,1931-02-22,Italy,Austria,2-1
International Cup,1931-03-22,Czechoslovakia,Hungary,3-3
International Cup,1931-03-29,Switzerland,Italy,1-1
International Cup,1931-04-12,Austria,Czechoslovakia,2-1
International Cup,1931-04-12,Hungary,Switzerland,6-2
International Cup,1931-05-03,Austria,Hungary,0-0
International Cup,1931-06-13,Czechoslovakia,Switzerland,7-3
International Cup,1931-10-04,Hungary,Austria,2-2
International Cup,1931-11-15,Italy,Czechoslovakia,2-2
International Cup,1931-11-29,Switzerland,Austria,1-8
International Cup,1931-12-13,Italy,Hungary,3-2
International Cup,1932-02-14,Italy,Switzerland,3-0
International Cup,1932-03-20,Austria,Italy,2-1
International Cup,1932-04-17,Switzerland,Czechoslovakia,5-1
International Cup,1932-05-08,Hungary,Italy,1-1
International Cup,1932-05-22,Czechoslovakia,Austria,1-1
International Cup,1932-06-19,Switzerland,Hungary,3-1
International Cup,1932-09-18,Hungary,Czechoslovakia,2-1
International Cup,1932-10-23,Austria,Switzerland,3-1
International Cup,1932-10-28,Czechoslovakia,Italy,2-1
International Cup,1933-04-02,Switzerland,Italy,0-3
International Cup,1933-05-07,Italy,Czechoslovakia,2-0
International Cup,1933-09-17,Hungary,Switzerland,3-0
International Cup,1933-10-22,Hungary,Italy,0-1
International Cup,1933-12-03,Italy,Switzerland,5-2
International Cup,1934-02-11,Italy,Austria,2-4
International Cup,1934-03-25,Switzerland,Austria,2-3
International Cup,1934-04-29,Czechoslovakia,Hungary,2-2
International Cup,1934-09-23,Austria,Czechoslovakia,2-2
International Cup,1934-10-07,Hungary,Austria,3-1
International Cup,1934-10-14,Switzerland,Czechoslovakia,2-2
International Cup,1934-11-11,Austria,Switzerland,3-0
International Cup,1935-03-17,Czechoslovakia,Switzerland,3-1
International Cup,1935-03-24,Austria,Italy,0-2
International Cup,1935-04-14,Czechoslovakia,Austria,0-0
International Cup,1935-04-14,Switzerland,Hungary,6-2
International Cup,1935-09-22,Hungary,Czechoslovakia,1-0
International Cup,1935-10-06,Austria,Hungary,4-4
International Cup,1935-10-28,Czechoslovakia,Italy,2-1
International Cup,1935-11-24,Italy,Hungary,2-2
International Cup,1936-03-22,Austria,Czechoslovakia,1-1
International Cup,1936-09-27,Hungary,Austria,5-3
International Cup,1936-10-18,Czechoslovakia,Hungary,5-2
International Cup,1936-10-25,Italy,Switzerland,4-2
International Cup,1936-11-08,Switzerland,Austria,1-3
International Cup,1937-02-21,Czechoslovakia,Switzerland,5-3
International Cup,1937-03-21,Austria,Italy,2-0
International Cup,1937-04-11,Switzerland,Hungary,1-5
International Cup,1937-04-25,Italy,Hungary,2-0
International Cup,1937-05-23,Czechoslovakia,Italy,0-1
International Cup,1937-09-19,Austria,Switzerland,4-3
International Cup,1937-09-19,Hungary,Czechoslovakia,8-3
International Cup,1937-10-10,Austria,Hungary,1-2
International Cup,1937-10-24,Czechoslovakia,Austria,2-1
International Cup,1937-10-31,Switzerland,Italy,2-2
International Cup,1937-11-14,Hungary,Switzerland,2-0
International Cup,1938-04-03,Switzerland,Czechoslovakia,4-0
International Cup,1948-04-21,Hungary,Switzerland,7-4
International Cup,1948-05-02,Austria,Hungary,3-2
International Cup,1948-10-10,Switzerland,Czechoslovakia,1-1
International Cup,1948-10-31,Czechoslovakia,Austria,3-1
International Cup,1949-04-03,Switzerland,Austria,1-2
International Cup,1949-04-10,Czechoslovakia,Hungary,5-2
International Cup,1949-05-08,Hungary,Austria,6-1
International Cup,1949-05-22,Italy,Austria,3-1
International Cup,1949-06-12,Hungary,Italy,1-1
International Cup,1949-09-25,Austria,Czechoslovakia,3-1
International Cup,1950-03-19,Austria,Switzerland,3-3
International Cup,1950-04-02,Austria,Italy,1-0
International Cup,1951-11-25,Switzerland,Italy,1-1
International Cup,1952-09-20,Switzerland,Hungary,2-4
International Cup,1952-12-28,Italy,Switzerland,2-0
International Cup,1953-04-26,Czechoslovakia,Italy,2-0
International Cup,1953-05-17,Italy,Hungary,0-3
International Cup,1953-09-20,Czechoslovakia,Switzerland,5-0
International Cup,1953-12-13,Italy,Czechoslovakia,3-0
International Cup,1955-03-27,Czechoslovakia,Austria,3-2
International Cup,1955-04-24,Austria,Hungary,2-2
International Cup,1955-05-01,Switzerland,Austria,2-3
International Cup,1955-05-29,Italy,Yugoslavia,0-4
International Cup,1955-06-26,Yugoslavia,Switzerland,0-0
International Cup,1955-09-17,Switzerland,Hungary,4-5
International Cup,1955-10-02,Czechoslovakia,Hungary,1-3
International Cup,1955-10-16,Hungary,Austria,6-1
International Cup,1955-10-30,Austria,Yugoslavia,2-1
International Cup,1955-11-27,Hungary,Italy,2-0
International Cup,1956-04-29,Hungary,Yugoslavia,2-2
International Cup,1956-05-10,Switzerland,Czechoslovakia,1-6
International Cup,1956-05-20,Hungary,Czechoslovakia,2-4
International Cup,1956-06-17,Yugoslavia,Austria,1-1
International Cup,1956-09-16,Yugoslavia,Hungary,1-3
International Cup,1956-09-30,Yugoslavia,Czechoslovakia,1-2
International Cup,1956-11-11,Switzerland,Italy,1-1
International Cup,1956-12-09,Italy,Austria,2-1
International Cup,1957-04-14,Austria,Switzerland,4-0
International Cup,1957-05-12,Yugoslavia,Italy,6-1
International Cup,1957-05-18,Czechoslovakia,Yugoslavia,1-0
International Cup,1957-10-13,Austria,Czechoslovakia,2-2
International Cup,1958-03-23,Austria,Italy,3-2
International Cup,1958-09-20,Czechoslovakia,Switzerland,2-1
International Cup,1958-12-13,Italy,Czechoslovakia,1-1
International Cup,1959-04-26,Switzerland,Yugoslavia,1-5
International Cup,1959-10-25,Hungary,Switzerland,8-0
International Cup,1959-11-01,Czechoslovakia,Italy,2-1
International Cup,1959-11-29,Italy,Hungary,1-1
International Cup,1960-01-06,Italy,Switzerland,3-0
