Matchday,Date,Home,Away,FullTime
World Cup q & British Ch,1949-10-01,Northern Ireland,Scotland,2-8
World Cup q & British Ch,1949-10-15,Wales,England,1-4
World Cup q & British Ch,1949-11-09,Scotland,Wales,2-0
World Cup q & British Ch,1949-11-16,England,Northern Ireland,9-2
World Cup q & British Ch,1950-03-08,Wales,Northern Ireland,0-0
World Cup q & British Ch,1950-04-15,Scotland,England,0-1
World Cup q & British Ch,1953-10-03,Northern Ireland,Scotland,1-3
World Cup q & British Ch,1953-10-10,Wales,England,1-4
World Cup q & British Ch,1953-11-04,Scotland,Wales,3-3
World Cup q & British Ch,1953-11-11,England,Northern Ireland,3-1
World Cup q & British Ch,1954-03-31,Wales,Northern Ireland,1-2
World Cup q & British Ch,1954-04-03,Scotland,England,2-4
