Matchday,Date,Home,Away,FullTime
Oceania Nations Cup,1973-02-17,New Zealand,Fiji,5-1
Oceania Nations Cup,1973-02-17,Tahiti,New Caledonia,2-1
Oceania Nations Cup,1973-02-18,New Zealand,Tahiti,1-1
Oceania Nations Cup,1973-02-18,New Caledonia,New Hebrides,4-1
Oceania Nations Cup,1973-02-20,New Caledonia,Fiji,2-0
Oceania Nations Cup,1973-02-20,Tahiti,New Hebrides,1-0
Oceania Nations Cup,1973-02-21,New Zealand,New Caledonia,2-1
Oceania Nations Cup,1973-02-21,New Hebrides,Fiji,2-1
Oceania Nations Cup,1973-02-23,New Zealand,New Hebrides,3-1
Oceania Nations Cup,1973-02-23,Tahiti,Fiji,4-0
Oceania Nations Cup,1973-02-24,New Zealand,Tahiti,2-0
Oceania Nations Cup,1973-02-24,New Caledonia,New Hebrides,2-1
Oceania Nations Cup,1980-02-24,New Caledonia,Australia,0-8
Oceania Nations Cup,1980-02-24,Papua New Guinea,New Hebrides,4-3
Oceania Nations Cup,1980-02-25,Tahiti,New Zealand,3-1
Oceania Nations Cup,1980-02-25,Fiji,Solomon Islands,3-1
Oceania Nations Cup,1980-02-26,Australia,Papua New Guinea,11-2
Oceania Nations Cup,1980-02-26,New Caledonia,New Hebrides,4-3
Oceania Nations Cup,1980-02-27,Fiji,New Zealand,4-0
Oceania Nations Cup,1980-02-27,Tahiti,Solomon Islands,12-1
Oceania Nations Cup,1980-02-28,Australia,New Hebrides,1-0
Oceania Nations Cup,1980-02-28,New Caledonia,Papua New Guinea,8-0
Oceania Nations Cup,1980-02-29,New Zealand,Solomon Islands,6-1
Oceania Nations Cup,1980-02-29,Tahiti,Fiji,6-3
Oceania Nations Cup,1980-03-01,Australia,Tahiti,4-2
Oceania Nations Cup,1980-03-01,New Caledonia,Fiji,2-1
Oceania Nations Cup,1995-11-17,Solomon Islands,Tahiti,0-1
Oceania Nations Cup,1996-05-11,Tahiti,Solomon Islands,2-1
Oceania Nations Cup,1996-10-27,Tahiti,Australia,0-6
Oceania Nations Cup,1996-11-01,Australia,Tahiti,5-0
Oceania Nations Cup,1998-09-25,Australia,Fiji,3-1
Oceania Nations Cup,1998-09-25,New Zealand,Tahiti,1-0
Oceania Nations Cup,1998-09-28,Australia,Cook Islands,16-0
Oceania Nations Cup,1998-09-28,New Zealand,Vanuatu,8-1
Oceania Nations Cup,1998-09-30,Tahiti,Vanuatu,5-1
Oceania Nations Cup,1998-09-30,Fiji,Cook Islands,3-0
Oceania Nations Cup,1998-10-02,Australia,Tahiti,4-1
Oceania Nations Cup,1998-10-02,New Zealand,Fiji,1-0
Oceania Nations Cup,1998-10-04,Australia,New Zealand,0-1
Oceania Nations Cup,1998-10-04,Fiji,Tahiti,4-2
Oceania Nations Cup,2000-06-19,Australia,Cook Islands,17-0
Oceania Nations Cup,2000-06-19,Tahiti,New Zealand,0-2
Oceania Nations Cup,2000-06-21,New Zealand,Vanuatu,3-1
Oceania Nations Cup,2000-06-21,Solomon Islands,Cook Islands,5-1
Oceania Nations Cup,2000-06-23,Australia,Solomon Islands,6-0
Oceania Nations Cup,2000-06-23,Tahiti,Vanuatu,2-3
Oceania Nations Cup,2000-06-25,Australia,Vanuatu,1-0
Oceania Nations Cup,2000-06-25,New Zealand,Solomon Islands,2-0
Oceania Nations Cup,2000-06-28,Australia,New Zealand,2-0
Oceania Nations Cup,2000-06-28,Solomon Islands,Vanuatu,2-1
Oceania Nations Cup,2002-07-05,New Zealand,Tahiti,4-0
Oceania Nations Cup,2002-07-05,Papua New Guinea,Solomon Islands,0-0
Oceania Nations Cup,2002-07-06,Australia,Vanuatu,2-0
Oceania Nations Cup,2002-07-06,Fiji,New Caledonia,2-1
Oceania Nations Cup,2002-07-07,New Zealand,Papua New Guinea,9-1
Oceania Nations Cup,2002-07-07,Tahiti,Solomon Islands,3-2
Oceania Nations Cup,2002-07-08,Australia,New Caledonia,11-0
Oceania Nations Cup,2002-07-08,Vanuatu,Fiji,1-0
Oceania Nations Cup,2002-07-09,New Zealand,Solomon Islands,6-1
Oceania Nations Cup,2002-07-09,Tahiti,Papua New Guinea,3-1
Oceania Nations Cup,2002-07-10,Australia,Fiji,8-0
Oceania Nations Cup,2002-07-10,Vanuatu,New Caledonia,1-0
Oceania Nations Cup,2002-07-12,Australia,Tahiti,2-1
Oceania Nations Cup,2002-07-12,New Zealand,Vanuatu,3-0
Oceania Nations Cup,2002-07-14,New Zealand,Australia,1-0
Oceania Nations Cup,2002-07-14,Tahiti,Vanuatu,1-0
Oceania Nations Cup,2004-10-09,Solomon Islands,Australia,1-5
Oceania Nations Cup,2004-10-12,Australia,Solomon Islands,6-0
Oceania Nations Cup,2012-06-08,New Caledonia,New Zealand,2-0
Oceania Nations Cup,2012-06-08,Solomon Islands,Tahiti,0-1
Oceania Nations Cup,2012-06-10,Solomon Islands,New Zealand,3-4
Oceania Nations Cup,2012-06-10,Tahiti,New Caledonia,1-0
Oceania Nations Cup,2016-06-08,New Zealand,New Caledonia,1-0
Oceania Nations Cup,2016-06-08,Papua New Guinea,Solomon Islands,2-1
Oceania Nations Cup,2016-06-11,Papua New Guinea,New Zealand,0-0
Oceania Nations Cup,2024-06-15,Vanuatu,Solomon Islands,1-0
Oceania Nations Cup,2024-06-16,Tahiti,Samoa,2-0
Oceania Nations Cup,2024-06-16,Fiji,Papua New Guinea,5-1
Oceania Nations Cup,2024-06-18,New Zealand,Solomon Islands,3-0
