Matchday,Date,Home,Away,FullTime
Oceania Nations Cup qualifier,2002-03-09,New Caledonia,Eastern Samoa,10-0
Oceania Nations Cup qualifier,2002-03-09,Samoa,Tonga,2-0
Oceania Nations Cup qualifier,2002-03-12,Papua New Guinea,New Caledonia,4-1
Oceania Nations Cup qualifier,2002-03-12,Tonga,Eastern Samoa,7-2
Oceania Nations Cup qualifier,2002-03-14,Papua New Guinea,Tonga,5-0
Oceania Nations Cup qualifier,2002-03-14,Samoa,Eastern Samoa,5-0
Oceania Nations Cup qualifier,2002-03-16,New Caledonia,Tonga,9-0
Oceania Nations Cup qualifier,2002-03-16,Samoa,Papua New Guinea,1-4
Oceania Nations Cup qualifier,2002-03-18,Samoa,New Caledonia,0-5
Oceania Nations Cup qualifier,2002-03-18,Papua New Guinea,Eastern Samoa,7-0
Oceania Nations Cup qualifier,2024-03-20,Tonga,Samoa,1-4
Oceania Nations Cup qualifier,2024-03-23,Samoa,Cook Islands,1-0
Oceania Nations Cup qualifier,2024-03-26,Tonga,Cook Islands,0-1
