Matchday,Date,Home,Away,FullTime
South Pacific Games,1963-08-29,Fiji,Papua New Guinea,3-1
South Pacific Games,1963-08-30,Solomon Islands,New Hebrides,6-3
South Pacific Games,1963-09-01,New Caledonia,Tahiti,2-1
South Pacific Games,1963-09-01,Fiji,Solomon Islands,5-0
South Pacific Games,1963-09-06,Tahiti,Solomon Islands,18-0
South Pacific Games,1963-09-07,Fiji,New Caledonia,2-8
South Pacific Games,1966-12-09,New Caledonia,Solomon Islands,8-0
South Pacific Games,1966-12-09,Tahiti,Papua New Guinea,4-3
South Pacific Games,1966-12-11,Tahiti,Wallis and Futuna,5-0
South Pacific Games,1966-12-12,New Caledonia,New Hebrides,5-0
South Pacific Games,1966-12-13,New Hebrides,Solomon Islands,4-4
South Pacific Games,1966-12-13,Papua New Guinea,Wallis and Futuna,9-1
South Pacific Games,1966-12-15,New Caledonia,Papua New Guinea,4-0
South Pacific Games,1966-12-15,Tahiti,New Hebrides,3-0
South Pacific Games,1966-12-17,New Caledonia,Tahiti,0-2
South Pacific Games,1966-12-17,New Hebrides,Papua New Guinea,5-2
South Pacific Games,1969-08-14,Papua New Guinea,New Caledonia,1-4
South Pacific Games,1969-08-14,New Hebrides,Tahiti,3-3
South Pacific Games,1969-08-14,Fiji,Solomon Islands,5-1
South Pacific Games,1969-08-15,New Caledonia,Solomon Islands,1-1
South Pacific Games,1969-08-15,Fiji,New Hebrides,5-2
South Pacific Games,1969-08-15,Papua New Guinea,Tahiti,1-3
South Pacific Games,1969-08-16,New Caledonia,New Hebrides,2-0
South Pacific Games,1969-08-16,Tahiti,Fiji,2-0
South Pacific Games,1969-08-16,Papua New Guinea,Solomon Islands,4-0
South Pacific Games,1969-08-18,New Caledonia,Fiji,11-0
South Pacific Games,1969-08-18,Papua New Guinea,New Hebrides,2-1
South Pacific Games,1969-08-18,Tahiti,Solomon Islands,7-0
South Pacific Games,1969-08-20,Solomon Islands,New Hebrides,7-2
South Pacific Games,1969-08-20,Papua New Guinea,Fiji,1-1
South Pacific Games,1969-08-22,New Caledonia,Tahiti,2-1
South Pacific Games,1969-08-22,Papua New Guinea,Fiji,2-1
South Pacific Games,1971-09-09,New Caledonia,Fiji,5-1
South Pacific Games,1971-09-09,Tahiti,Papua New Guinea,2-2
South Pacific Games,1971-09-11,New Hebrides,Fiji,6-4
South Pacific Games,1971-09-11,Papua New Guinea,Cook Islands,16-1
South Pacific Games,1971-09-13,New Caledonia,New Hebrides,0-0
South Pacific Games,1971-09-13,Tahiti,Cook Islands,30-0
South Pacific Games,1971-09-15,Fiji,Cook Islands,15-1
South Pacific Games,1971-09-16,New Caledonia,Papua New Guinea,4-0
South Pacific Games,1971-09-16,Tahiti,New Hebrides,1-2
South Pacific Games,1971-09-18,New Caledonia,New Hebrides,7-1
South Pacific Games,1971-09-18,Tahiti,Papua New Guinea,8-1
South Pacific Games,1975-08-02,Guam,Solomon Islands,1-5
South Pacific Games,1975-08-02,New Caledonia,Tahiti,3-0
South Pacific Games,1975-08-02,New Hebrides,Papua New Guinea,3-0
South Pacific Games,1975-08-04,Guam,Fiji,0-11
South Pacific Games,1975-08-04,New Caledonia,New Hebrides,3-1
South Pacific Games,1975-08-04,Tahiti,Papua New Guinea,4-2
South Pacific Games,1975-08-05,New Caledonia,Papua New Guinea,5-1
South Pacific Games,1975-08-05,Tahiti,New Hebrides,3-0
South Pacific Games,1975-08-05,Fiji,Solomon Islands,1-1
South Pacific Games,1975-08-07,New Caledonia,Solomon Islands,4-0
South Pacific Games,1975-08-07,Tahiti,Fiji,3-0
South Pacific Games,1975-08-08,Solomon Islands,Fiji,3-2
South Pacific Games,1975-08-09,Tahiti,New Caledonia,2-1
South Pacific Games,1979-08-29,New Hebrides,Guam,4-0
South Pacific Games,1979-08-29,Fiji,Papua New Guinea,0-0
South Pacific Games,1979-08-29,Tahiti,Tonga,8-0
South Pacific Games,1979-08-29,Solomon Islands,Wallis and Futuna,6-0
South Pacific Games,1979-08-30,New Caledonia,Guam,10-1
South Pacific Games,1979-08-30,Fiji,Kiribati,24-0
South Pacific Games,1979-08-30,Tahiti,Tuvalu,18-0
South Pacific Games,1979-08-31,New Caledonia,New Hebrides,3-0
South Pacific Games,1979-08-31,Papua New Guinea,Kiribati,13-0
South Pacific Games,1979-08-31,Solomon Islands,Western Samoa,12-0
South Pacific Games,1979-09-01,Tuvalu,Tonga,5-3
South Pacific Games,1979-09-01,Wallis and Futuna,Western Samoa,3-1
South Pacific Games,1979-09-03,New Caledonia,Tuvalu,11-0
South Pacific Games,1979-09-03,Tahiti,New Hebrides,1-0
South Pacific Games,1979-09-03,Fiji,Wallis and Futuna,5-0
South Pacific Games,1979-09-03,Solomon Islands,Papua New Guinea,3-2
South Pacific Games,1979-09-04,Tahiti,New Caledonia,3-2
South Pacific Games,1979-09-04,Fiji,Solomon Islands,2-0
South Pacific Games,1979-09-05,Guam,Western Samoa,4-2
South Pacific Games,1979-09-05,New Hebrides,Papua New Guinea,2-0
South Pacific Games,1979-09-05,Tonga,Wallis and Futuna,1-0
South Pacific Games,1979-09-05,Kiribati,Tuvalu,3-3
South Pacific Games,1979-09-06,Guam,Tuvalu,7-2
South Pacific Games,1979-09-06,New Hebrides,Tonga,7-1
South Pacific Games,1979-09-07,Solomon Islands,New Caledonia,3-1
South Pacific Games,1979-09-07,Fiji,Tahiti,0-3
South Pacific Games,1983-08-20,Tahiti,Niue,14-0
South Pacific Games,1983-08-20,Wallis and Futuna,Tonga,3-0
South Pacific Games,1983-08-20,Western Samoa,Eastern Samoa,3-1
South Pacific Games,1983-08-22,Papua New Guinea,Niue,19-0
South Pacific Games,1983-08-22,Western Samoa,Tonga,3-3
South Pacific Games,1983-08-22,Eastern Samoa,Wallis and Futuna,3-0
South Pacific Games,1983-08-24,Fiji,Solomon Islands,10-0
South Pacific Games,1983-08-24,Tahiti,Papua New Guinea,2-1
South Pacific Games,1983-08-24,Tonga,Eastern Samoa,3-2
South Pacific Games,1983-08-24,Western Samoa,Wallis and Futuna,1-2
South Pacific Games,1983-08-26,Fiji,Vanuatu,6-0
South Pacific Games,1983-09-15,Tahiti,Fiji,1-0
South Pacific Games,1983-09-30,Fiji,New Caledonia,3-2
South Pacific Games,1983-09-30,Fiji,New Caledonia,5-1
South Pacific Games,1983-09-30,New Caledonia,Solomon Islands,1-0
South Pacific Games,1983-09-30,New Caledonia,Papua New Guinea,2-1
South Pacific Games,1983-09-30,New Caledonia,Wallis and Futuna,4-0
South Pacific Games,1983-09-30,New Caledonia,Vanuatu,6-2
South Pacific Games,1983-09-30,Fiji,Papua New Guinea,2-0
South Pacific Games,1983-09-30,Tahiti,Papua New Guinea,6-1
South Pacific Games,1983-09-30,Western Samoa,Tahiti,0-2
South Pacific Games,1987-12-09,New Caledonia,Eastern Samoa,10-0
South Pacific Games,1987-12-09,Vanuatu,Wallis and Futuna,6-1
South Pacific Games,1987-12-09,Papua New Guinea,Tahiti,0-0
South Pacific Games,1987-12-10,New Caledonia,Papua New Guinea,2-0
South Pacific Games,1987-12-10,Vanuatu,Eastern Samoa,7-0
South Pacific Games,1987-12-10,Tahiti,Wallis and Futuna,4-0
