Matchday,Date,Home,Away,FullTime
South Pacific Mini Games,1981-07-07,Tahiti,New Caledonia,1-0
South Pacific Mini Games,1981-07-07,Vanuatu,Western Samoa,13-1
South Pacific Mini Games,1981-07-07,Solomon Islands,Fiji,1-2
South Pacific Mini Games,1981-07-08,New Caledonia,Vanuatu,2-2
South Pacific Mini Games,1981-07-08,Papua New Guinea,Fiji,3-2
South Pacific Mini Games,1981-07-08,Tahiti,Western Samoa,13-0
South Pacific Mini Games,1981-07-09,Solomon Islands,New Caledonia,1-1
South Pacific Mini Games,1981-07-09,Tahiti,Vanuatu,1-1
South Pacific Mini Games,1981-07-09,Papua New Guinea,Western Samoa,4-1
South Pacific Mini Games,1981-07-10,New Caledonia,Papua New Guinea,5-1
South Pacific Mini Games,1981-07-10,Fiji,Vanuatu,1-1
South Pacific Mini Games,1981-07-10,Solomon Islands,Western Samoa,5-0
South Pacific Mini Games,1981-07-11,Solomon Islands,Vanuatu,2-1
South Pacific Mini Games,1981-07-11,Fiji,Western Samoa,4-0
South Pacific Mini Games,1981-07-11,Tahiti,Papua New Guinea,5-0
South Pacific Mini Games,1981-07-13,New Caledonia,Fiji,3-0
South Pacific Mini Games,1981-07-13,Papua New Guinea,Vanuatu,3-2
South Pacific Mini Games,1981-07-13,Solomon Islands,Tahiti,1-4
South Pacific Mini Games,1981-07-14,New Caledonia,Western Samoa,8-0
South Pacific Mini Games,1981-07-14,Tahiti,Fiji,6-0
South Pacific Mini Games,1981-07-14,Solomon Islands,Papua New Guinea,1-2
South Pacific Mini Games,1981-07-15,Tahiti,New Caledonia,1-0
South Pacific Mini Games,1981-07-15,Papua New Guinea,Vanuatu,1-0
South Pacific Mini Games,1993-12-07,Tahiti,Guam,11-0
South Pacific Mini Games,1993-12-07,Vanuatu,Tonga,3-0
South Pacific Mini Games,1993-12-07,Fiji,Solomon Islands,1-0
South Pacific Mini Games,1993-12-08,New Caledonia,Papua New Guinea,1-1
South Pacific Mini Games,1993-12-09,Tahiti,Fiji,1-0
South Pacific Mini Games,1993-12-10,Vanuatu,New Caledonia,1-1
South Pacific Mini Games,1993-12-10,Papua New Guinea,Tonga,5-0
South Pacific Mini Games,1993-12-11,Solomon Islands,Guam,12-1
South Pacific Mini Games,1993-12-13,Fiji,Guam,12-0
South Pacific Mini Games,1993-12-13,New Caledonia,Tonga,11-0
South Pacific Mini Games,1993-12-13,Vanuatu,Papua New Guinea,1-0
South Pacific Mini Games,1993-12-13,Tahiti,Solomon Islands,3-0
South Pacific Mini Games,1993-12-14,Tahiti,New Caledonia,2-1
South Pacific Mini Games,1993-12-14,Vanuatu,Fiji,0-2
South Pacific Mini Games,1993-12-16,Vanuatu,New Caledonia,1-2
South Pacific Mini Games,1993-12-16,Tahiti,Fiji,3-0
