Matchday,Date,Home,Away,FullTime
WC and Oce Cup q,2004-05-10,Papua New Guinea,Vanuatu,1-1
WC and Oce Cup q,2004-05-10,Tahiti,Cook Islands,2-0
WC and Oce Cup q,2004-05-10,Solomon Islands,Tonga,6-0
WC and Oce Cup q,2004-05-10,Samoa,Eastern Samoa,4-0
WC and Oce Cup q,2004-05-12,New Caledonia,Tahiti,0-0
WC and Oce Cup q,2004-05-12,Vanuatu,Eastern Samoa,9-1
WC and Oce Cup q,2004-05-12,Fiji,Papua New Guinea,4-2
WC and Oce Cup q,2004-05-12,Solomon Islands,Cook Islands,5-0
WC and Oce Cup q,2004-05-15,Solomon Islands,New Caledonia,2-0
WC and Oce Cup q,2004-05-15,Samoa,Vanuatu,0-3
WC and Oce Cup q,2004-05-15,Fiji,Eastern Samoa,11-0
WC and Oce Cup q,2004-05-15,Tonga,Cook Islands,2-1
WC and Oce Cup q,2004-05-17,New Caledonia,Cook Islands,8-0
WC and Oce Cup q,2004-05-17,Samoa,Fiji,0-4
WC and Oce Cup q,2004-05-17,Tahiti,Tonga,2-0
WC and Oce Cup q,2004-05-17,Papua New Guinea,Eastern Samoa,10-0
WC and Oce Cup q,2004-05-19,New Caledonia,Tonga,8-0
WC and Oce Cup q,2004-05-19,Vanuatu,Fiji,3-0
WC and Oce Cup q,2004-05-19,Solomon Islands,Tahiti,1-1
WC and Oce Cup q,2004-05-19,Samoa,Papua New Guinea,1-4
WC and Oce Cup q,2011-11-22,Samoa,Cook Islands,3-2
WC and Oce Cup q,2011-11-22,Eastern Samoa,Tonga,2-1
WC and Oce Cup q,2011-11-24,Cook Islands,Eastern Samoa,1-1
WC and Oce Cup q,2011-11-24,Samoa,Tonga,1-1
WC and Oce Cup q,2011-11-26,Tonga,Cook Islands,2-1
WC and Oce Cup q,2011-11-26,Samoa,Eastern Samoa,1-0
WC and Oce Cup q,2015-08-31,Tonga,Cook Islands,0-3
WC and Oce Cup q,2015-08-31,Samoa,Eastern Samoa,3-2
WC and Oce Cup q,2015-09-02,Cook Islands,Samoa,1-0
WC and Oce Cup q,2015-09-02,Tonga,Eastern Samoa,1-2
WC and Oce Cup q,2015-09-04,Eastern Samoa,Cook Islands,2-0
WC and Oce Cup q,2015-09-04,Tonga,Samoa,0-3
