Matchday,Date,Home,Away,FullTime
WC q and Oce Cup,2004-05-29,Australia,New Zealand,1-0
WC q and Oce Cup,2004-05-29,Solomon Islands,Vanuatu,1-0
WC q and Oce Cup,2004-05-29,Fiji,Tahiti,0-0
WC q and Oce Cup,2004-05-31,Australia,Tahiti,9-0
WC q and Oce Cup,2004-05-31,New Zealand,Solomon Islands,3-0
WC q and Oce Cup,2004-05-31,Fiji,Vanuatu,1-0
WC q and Oce Cup,2004-06-02,Australia,Fiji,6-1
WC q and Oce Cup,2004-06-02,Vanuatu,New Zealand,4-2
WC q and Oce Cup,2004-06-02,Solomon Islands,Tahiti,4-0
WC q and Oce Cup,2004-06-04,Australia,Vanuatu,3-0
WC q and Oce Cup,2004-06-04,New Zealand,Tahiti,10-0
WC q and Oce Cup,2004-06-04,Solomon Islands,Fiji,2-1
WC q and Oce Cup,2004-06-06,Australia,Solomon Islands,2-2
WC q and Oce Cup,2004-06-06,New Zealand,Fiji,2-0
WC q and Oce Cup,2004-06-06,Tahiti,Vanuatu,2-1
WC q and Oce Cup,2007-10-17,Fiji,New Zealand,0-2
WC q and Oce Cup,2007-11-17,Vanuatu,New Zealand,1-2
WC q and Oce Cup,2007-11-17,Fiji,New Caledonia,3-3
WC q and Oce Cup,2007-11-21,New Zealand,Vanuatu,4-1
WC q and Oce Cup,2007-11-21,New Caledonia,Fiji,4-0
WC q and Oce Cup,2008-06-14,Vanuatu,New Caledonia,1-1
WC q and Oce Cup,2008-06-21,New Caledonia,Vanuatu,3-0
WC q and Oce Cup,2008-09-06,New Caledonia,New Zealand,1-3
WC q and Oce Cup,2008-09-06,Fiji,Vanuatu,2-0
WC q and Oce Cup,2008-09-10,New Zealand,New Caledonia,3-0
WC q and Oce Cup,2008-09-10,Vanuatu,Fiji,2-1
WC q and Oce Cup,2008-11-19,Fiji,New Zealand,2-0
WC q and Oce Cup,2012-06-01,New Caledonia,Vanuatu,5-2
WC q and Oce Cup,2012-06-01,Tahiti,Samoa,10-1
WC q and Oce Cup,2012-06-02,New Zealand,Fiji,1-0
WC q and Oce Cup,2012-06-02,Solomon Islands,Papua New Guinea,1-0
WC q and Oce Cup,2012-06-03,Tahiti,New Caledonia,4-3
WC q and Oce Cup,2012-06-03,Vanuatu,Samoa,5-0
WC q and Oce Cup,2012-06-04,New Zealand,Papua New Guinea,2-1
WC q and Oce Cup,2012-06-04,Solomon Islands,Fiji,0-0
WC q and Oce Cup,2012-06-05,New Caledonia,Samoa,9-0
WC q and Oce Cup,2012-06-05,Tahiti,Vanuatu,4-1
WC q and Oce Cup,2012-06-06,Solomon Islands,New Zealand,1-1
WC q and Oce Cup,2012-06-06,Fiji,Papua New Guinea,1-1
WC q and Oce Cup,2016-05-28,New Zealand,Fiji,3-1
WC q and Oce Cup,2016-05-28,Solomon Islands,Vanuatu,1-0
WC q and Oce Cup,2016-05-29,Papua New Guinea,New Caledonia,1-1
WC q and Oce Cup,2016-05-29,Tahiti,Samoa,4-0
WC q and Oce Cup,2016-05-31,New Zealand,Vanuatu,5-0
WC q and Oce Cup,2016-05-31,Fiji,Solomon Islands,1-0
WC q and Oce Cup,2016-06-01,New Caledonia,Samoa,7-0
WC q and Oce Cup,2016-06-01,Papua New Guinea,Tahiti,2-2
WC q and Oce Cup,2016-06-04,New Zealand,Solomon Islands,1-0
WC q and Oce Cup,2016-06-04,Vanuatu,Fiji,3-2
WC q and Oce Cup,2016-06-05,New Caledonia,Tahiti,1-1
WC q and Oce Cup,2016-06-05,Papua New Guinea,Samoa,8-0
